score,reple
10,이 시국 필람 영화. 세상 모든 성 범죄자들이 자신의 ‘죄만큼’ 벌 받을 때까지.
10,"여성들끼리 연대가 중요함. 모른척하고 침묵할수록 결국 내 딸, 내 친구, 나로 다시 돌아온다."
10,와 진짜 너무 재미있다 짜릿하고 소름 돋고 화나고 공감되고 ㅠㅠ 언니들 최고다 또 봐야지
10,세 배우들이 캐리하는 재밌는 영화
10,기대했던 만큼 재밌게 봤다. 배우들 연기도 쩔고 진짜 통쾌함 진짜 지금 봐야 하는 영화
10,"잠시도 눈을 뗄 수 없었다. 긴장감+몰입감+속도감 쩔어줌 ㅠㅠ 영화 자체로도 재미있는데다 강력한 메시지까지 완벽했다. 한 사람 한 사람의 용기가 모여 세상을 바꿀 수 있다. 우리는 변화하고 있다, 지금도."
9,내용. 연기  모두 좋았어요~~
6,배우들의 명연기에 비해 너무 밋밋한 연출.. 그래도 메시지는 명확하게 전달했다. 사실 그것마저도 배우들의 덕이 큰 영화다
10,"세 배우의 합이 너무 좋았고, 지금 상황에 딱 맞는 영화라고 느껴졌다! 엘리베이터 장면이 너무 강렬하게 기억에 남음 ㅠㅠ"
10,피해자가 자신을 혐오하는 상황이 너무 안타깝다.목소리를 낸 피해자들은 모두 정말 대단한 사람들이다.우리는 피해자들이 떳떳하게 살아갈 수 있는 사회를 만들어야할 것이다
10,이 영화는 정말 물건이다. 찐 연기파 여배우 3명의 출연만으로도 기대가 됐었는데 실제 영화를 보니 시간 가는 줄 모르고 몰입해서 봐 버렸다.
9,이런 영화가 나올 수 있다는 것이 이미 세상이 변화하고 있다는 증거 같아서 좋네요
10,누구나 공감할 수 있는 연대의 힘. 오랜만에 보게 된 좋은 영화였다.
9,소송으로 뭘 원하나고요?그런 짓을 안하는거요
9,이 영화를 본날 서울시장이 사망했다. 그래서 이런 영화가 이제는 충격적이라는 느낌이 들질 않는다. 내부를 들여다보는 방식이 참 섬세하다. 왜 이런 사건이 드러나더라도 끝까지 끌고 가기 힘든지 사건이 진행되는 방송사 내부를 현미경처럼 들여다 보면서 점진적으로 그 이유를 몸소 체감할 수 있는 구성이다. 통쾌한 결말보다는 씁쓸해보이는 현실 그대로 보여주는 점도 좋다. 각본과 편집이 정말 마음에 든다.
10,"와,, 진짜 전개나 연출도 대박이고 배우들은 말할 것도 없음 한번 더 보고 싶음 ㅠㅠ"
10,멋진 세 배우가 짜릿하게 날려버린 통쾌한 한방!! 강추!!!
10,OST 연출 연기 빠지는곳이 없는 웰메이드영화!!더불어 적절한 시의성까지~!여자 비서 고용을 금지하자는 수많은 빡대가리들에게 이 영화를 권한다.
10,"기다렸던 작품인데 역시나 좋았다. 배우들 연기는 말할 것도 없고, 사이다 같은 내용에 속이 뻥~ 보는 내내 통쾌했다!"
10,"왜 남자는 일을 맡길때 일을 잘하기만 바라면서 왜 여자는 성적인 행동까지 하길 바라나. ""나는 여자들에게 일을 줬다""고 뻔뻔하게 말하는 로저에게 치가 떨렸다."
10,왜 짜릿한 역전극이라는 카피가 영화 보니 느껴졌어요! 배우들의 연기에 빠지고 영화의 스토리에 한번 더 빠지는 영화!
10,실화 바탕이라던데 몰입감 장난없었음.. 사이다같은 후반부분까지 완벽함!
10,"사회생활을 앞두거나 사회생활 중인 모든 사람들이 꼭 봐야할 영화. 실화를 바탕으로 한, 명백한 범죄에 대한 영화에 페미니즘 영화라는 이름만을 붙여 열심히 까내리는 사람들아. 성폭행 피해 사실 말하면 페미니즘인가요?"
10,몰입도 최고다! 조금은 뻔한 스토리를 뻔하지 않게 연출했고 무지 재밌다. 샤를리즈 테른의 분장을 보니 아카데미 분장상 받은 이유를 알겠더라. 그녀는 여전히 아릅답다!!
6,성추행 박원순 생각나는 영화
10,세상에는 많은 비리가 있지만누군가는 그에 맞서고 싸워서 조금씩 좋은 세상이 됩니다.정말 강추하는 영화입니다.
10,But not the last..
10,너무 멋있는 영화 이 일이 불과 2016년이라는게 너무 화났지만 미투운동의 시초를 볼 수 있어서 좋았습니다 세상이 바뀌었으면 좋겠어요
10,직장내 성희롱이 이렇다. 이걸 페미 어쩌고 하시는 분들은 지능문제 심각한개 분명하다 이게 남녀갈등 일으키는 문제라고 보다니 ㅉㅉ
10,짜릿해!! 개봉 기다린 보람이 있다ㅠㅠ 사이다 제대로 마신 기분
9,"남성중심의 미디어, 권력과 맞서싸우는 멋진 여성들의 이야기."
