score,reple
9,"헐리우드 관점이 아닌, 러시아의 시각에서 본 2차 세계대전 영화라 흥미롭다. 선전영화 느낌도 없고, 전쟁 속의 러시아 민중의 고뇌와, 정치감찰을 쉴세없이 받아야 하는 어려움이 새롭게 다가온다. 독소전쟁의 참상을 적나라하게 느낄수 있다."
10,OOO기 강철비2때문에 망한영화;;;하...강철비보다 100만배낫다....이런영화가 롯데타워에서도 하루1회상영하더라 ㅋㅋ개같은 스크린쿼터제....
9,몰입도가 상당함. 길게 늘어뜨려서 쓰고 일점 남기신 분은 본인이 집중을 못 하신듯. 최근 나온 작품 중 가장 훌륭함. 전쟁 영화 좋아하면 보면 후회 절대 안함
5,88hh 야 너는 평론가 한줄평 배끼고 당당하냐 ㅋㅋㅋ
10,꼭 한번 봐야하는 영화
10,간만에 영화같은 영화본기분 전쟁영화특유의 박진가과 액션씬 전부 좋았다. 한국영화처럼 신파가득한 느낌이랑 완전달라서좋았음
8,뭐 어쩔수 없는 결과이긴 하지만 끝마무리가 좀 아쉽긴함 그러나 충분히 재밌게 볼 작품임
8,전쟁 앞에서 대부분의 것들이 무의미해지네요. 러시아어와 독일어를 같이 들을 수 있어서 좋았어요.
9,"전쟁터에서 깨닫게 되는 공산주의의 모순, 그리고 감시사회의 무서움, 그럼에도 조국을 사랑하여 참전한 진정한 러시아남자들을 존경합니다."
7,전쟁 액션 리얼해서 좋았고 재밌게 보았다
5,평론가 한줄평 베낀건 무슨 생각이냐 ㅋㅋㅋㅋ
9,하루 한번 상영해서 아침 일찍 보고왔습니다. 몰입도 짱. 전쟁의 생생한 장면과 감정들이 현실감있게 표현되었다 생각합니다.
8,국뽕 요소 없는 불곰국식 전쟁 영화
6,실제 당시 전쟁 안에 있는 듯한 느낌이 들 정도로 사실적(잔인하기도) 이었지만 살짝 지루하긴 했다.
10,스토리가 매우 탄탄해서 시간 가는 줄 모르고 봤어요
10,기대하며 봤는데 재밌습니다!
8,꽤 몰입해서 봤습니다.
8,나치가 잘못 했네
10,기대안하고 봤는데 정말 강추합니다. 전쟁영화 좋아하시면 믿고보셔도 됩니다. 오늘 아웃포스트와 이거 2편봤는데 둘중에 이영화를 더 재밌게 봤네요
9,목숨걸고 지원해 조국을 지키려는  피끓는 청춘들에게 현실보다 정치가 우선인 전쟁터라니
6,공산당 소련의 전쟁상황을 잘 보여준 영화지만 진부한 대화가 너무 많아  몰입도가 떨어지고 지루한 감이 큰게 단점이네
10,시청자 네티즌 수치를 보고 보는게 정확한듯.. 평론가 놈들 따위때문에 못볼뻔 했던 영화가 인생영화가 될줄은...
7,설원이 핏빛으로 물들때까지 싸워야 했던 지옥
10,"이건 정말 명화 입니다. 남편과 보고 나서 부모님도 함께 예매해 드렸습니다. 이런 영화가 이렇게 몇 안되는 상영관에서 한다는게 너무 아쉽네요 정말 작품성, 연출, 연기, 모든게 완벽합니다. 이 영화 오래오래 많은 이들이 보길 바랍니다."
5,초반 사실적 전쟁 액션은 볼만하다. 이후 인물간의 감정과 이념부분의 갈등을 오래 보여주니 지루한 느낌이 있다
9,"마더 러시아를 위해 충성하여 목숨 바치자도 아니고, 독일군 놈들 무조건 나빠도 아니고, 그저 다양한 하나하나의 인물들이 지옥같은 전장에서 살아남기 위해 싸운다는 느낌.좋다"
8,기대안하고 보면 재밌다
10,
10,재밌네요 강력추천합니다!!!
6,러시아판 저니스엔드 ?
10,
7,죽음과 폭력에 무감각해지는 전쟁터에서도 그 일을 수행하는 인간이 최소한의 양심과 인간성을 가지고 있음을 확인할수 있었다. 모두에게 사연이 있으며 결국 전쟁터도 사람 사는(?) 공간이라는걸. 또한 서부전선의 모습에만 익숙하던 우리에게 독소전쟁의 참혹함을 잘 보여준다.
8,"한정된 공간안에서 전진과 후퇴를 반복하며 느끼는 공허함. 무엇을 위한 전쟁인지 알수 없으나, 결국 조국의 뜻을 위해 삶을 내던지는 군인들. 그속에서 나타나는 공산사회의 불합리함. 그럼에도 순응하는 애국심이 낳은 결과화려한 영상미, 극적인 스토리는 없다. 담담하지만 때때론 유쾌하게 끌어가는 영화. 공짜표가 생겨서 보았는데, 강추는 못해도 실망은 안할만한 영화"
7,관람객 1600명중 내가 있네...실화의 힘인가... 매우 리얼했다. 다만 좀 지루함
8,일방적으로 5점이하의 낮은 평점은 그냥 자기 자신의 영화 관람 수준을 보여주는 것이 아닌지.. 단순히 때려부수는 무식한 액션도 아니고 선전성 가득한 일방적으로 러시아를 찬양하는 영화도 아니다.. 굳이 꼽자면 1917의 러시아 버전이라고 하고 싶음. 전쟁속에서 소련의 일방적인 군에서의 정치 개입에 시달리는 평범한 병사들과 전쟁의 공포와 가혹함으로 힘들어하는  감정 리얼리티가 살아 있다. 적절하게 전쟁영화가 객관적으로 필요로하는 요소들을 러시아 관점에서 잘가미한 영화라고 평가하고 싶음.
10,개인적으로 최근 본 전쟁 영화 중에 가장 재미있게 봤습니다. 캐릭터들도 살아있고 전쟁 장면도 실감 납니다. 추천!
8,인류 역사 최악의 독소전쟁이다. 러시아에서 만들어서 선전 영화일까봐 두려웠는데 오히려 소련의 모순을 잘 보여주었다. 물론 그들의 정적은 나치였지만 때로는 소련의 관리가 더욱 더 악랄했다는 것.
8,
5,러시아 전쟁영화는 보면 안된다는걸 깨닫게해줌초반 전투씬이후 아무것도없음후반부 기관총씬은 1명이 독일군 50명정도를 학살하는데 독일군은 우회조차 안하고 3열종대로 줄지어오면서 죽어주고있고 소련군은 소리 지르면서 총만 쏨 그러고나서 억지로 감성팔이하고 화면 어두워짐최악의 영화에너미 엣더 게이트를 한번 더 보는게 재밌다.
10,게이들 줘패는 소련 행님들
1,반도도 노잼이고 강철비2를 보고 허망함을 느껴서 무료쿠폰이 있길래 1942 언노운 배틀이라는 영화를 봄 러시아영화라서 말소리만들어도 잠이 술술옴 대화내용은 많이없고 그냥 처음부터 끝까지 두두두두톼톼톼톼 총질하다가 끝남.... 영화가 마치 주말에 전국노래자랑보고 할거없어서 tv채널돌리다가 옛날영화나 서부영화 그런거 보면 보다가 잠자는 그런영화라고 생각하면될듯... 끝마무리도 굉장히 뭔가 엥? 뭐야....왜이렇게 끝나? 뭐야...황당 당황 그 자체이고... 잔인함이 그대로 보여지는 영화라고 한다면 또 그것도 아닌.... 잔인함이 극대화영화라면 태극기휘날리며가 훨신더 리얼리티...이건 잔인함도 그다지....영화를 보다보면 스마트폰에 눈이 가게되고 하품을 쭉하게되지만 뭐 영화보면서 아 나갈까생각은 크게안들고 좀 지루하다 라는생각과 좀 그래도 영화를 계속보게되긴하는데 2시간이 넘는영화라서 그런지 좀 지루함이 굉장히 많이 느껴짐...실화를 다룬영화라 그런지 진짜 그냥 역사박물관에가면 동영상으로 틀어줄법한 그런영화고... 개인적으로 팝콘은 필수로 가져가야 덜 심심할 것 같음. 이 영화는 흑백으로 만들어졋어야 아무튼 댓글 잘 잘작성안하는데 이런거 다는것도 귀찮고 알바니뭐니 하는말도 많아서... 근데 이거 보는사람도 많이없는데 평점은 높아서 내가 댓글 달아줌. 결론 : 핵노잼... 자기자신이 밀러티리 덕후거나 군인덕후. 전략작전 덕후 러시아관련 덕후 진지한영화좋아한다면 보고 그외 액션질좀 기대한다고하거나 라이언일병같은영화를 보고싶다고하면 보지마시길...
6,죽음이 육박해오는 광활한 설원을 기록하다
