score,reple
10,세월을 거슬러 올라간 마지막 장면이 가슴 시리게하네요
10,"엠마는 덱스터를 사람답게 해주고, 덱스터는 엠마를 행복하게 했다."
9,"순수한 한 여자가 한 남자를 사람만들고 남자가 사람되면 여자는 떠나가는.진부하지만, 추억으로 덮기엔 후회가 큰.. 그래서 슬픈 사랑이야기. 연기와 영상미가 좋아서 몰입도가 높다."
10,진짜 해피 엔딩만 남았다고 생각하는데 한방 먹임
8,개인적인 입장에서 봤을 때 엠마의 일반 통행인 사랑이 아니었다는게 내 입장. 덱스터는 언제나 엠마를 사랑한다고 느껴졌던 영화
10,진짜 덱스터가 방황했던 시간들을 보면서도 왠지 덱스의 진짜 마음은 엠마에게 가 있는것 같다고 느꼈는데  마지막 시간을 거슬렀던 장면을 보면서 진짜 처음부터 서로 좋아하고 있었구나... 새드로 안끝났으면 더 좋았을듯..ㅠㅠ
10,남자는 기댈 여자를 찾나보다. 그런데 멀리 있지 않다고... 지금 당신 옆에 있는 그녀에게 사랑하고 기대세요
10,나에겐 가장 의미있는 영화 평가하고 자시고 할것없이 완벽하다
9,영화를 단순히 영화로 보기에 아름답고 짠하다처음부터 좋은친구 보단 연인이었다.
9,20년간 고생하는 엠마(자매품 : 500일간 고생하는 톰)
6,남자가  계속  잘나갔다면 둘의사랑이 이루어졌을까?ㅠ
10,널 마음에서 지운 줄 알았어
10,어쩌면 인연은 단 하루에 완성되는 것인지도.... 왠지 마음이 아프네요
4,남주가 너무 찌질했고 잘나갈땐 이여자 저여자 껄떡대고 여자 무시하더니 일도 망하고 이혼하고 나니 다시 여주를 찾아온 방식에서 사랑이란걸 느끼지도못했고 공감도 안갔으며 그로인해 사별이라는 특수한 상황에 대해서도 그닥 슬픔이나 감동이 별로였음.
9,꽤나 잘 만든 수작. 오랜만에 제대로된 멜로영화를 본 느낌
10,주책맞게 혼자 눈물흘리며 봤네요 ㅠ 아련한 영화
