score,reple
10,진짜 셀린 시아마 엔딩 장인... 최고..!!!
10,너무 좋아하는 셀린감독... 영상. 음악. 연기 머하나 빠지지않는 가장 감각적인 영화!
10,아델 에넬 어릴 적 모습으로 이미 게임 오버... GG 여자 청소년의 욕망을 이리도 솔직하고 담백하게 담아낸 것에 셀린에게 또 한번 놀란 작품....!
10,영상미랑 음악이랑 분위기 너무 좋음 ㅠㅠㅠ 여름 분위기랑도 찰떡..
10,역시 셀린 시아마.. 첫사랑의 설렘 보다는 욕망 그대로를 표현해서 좋았다 아델 에넬의 풋풋한 모습까지 볼 수 있다니 이건 정말 꼭 봐야해!!
10,"첫 만남, 첫 사랑, 첫 욕망 설렘 가득한 첫번째 순간들을 잘 녹여낸.. 이 여름에 잘 어울리는 영화"
10,셀린과 아델의 강렬한 첫만남을 보는 것만으로도 충분하다!
10,초창기 아델 에넬의 매력을 담은 작품을 스크린에서 다시 볼 수 있어서 행복했음
10,모든 포인트가 너무 좋아서 하나만 못 고르겠음ㅠㅠ 너무 좋은데 뭐라고 말해야할 지 모르겠다..!
8,생경한 소재로 풀어낸 미묘한 감정의 흐름
10,이 감독의 영화는 항상 좋네요섬세하고 드라마가 있어요
10,아델이면 평생 짝사랑 쌉가능
10,"아델 에넬의 영상화보보고나면 셀린시아마를 고소하고싶어진다는 말이 실감나더군요셀린시아마 감독은 따스한 사람이라는걸천재라는걸 불초상,톰보이,워릴을 보고다시금 느낍니다걸후드가 더더욱 기다려집니다."
10,친구들과 봤는데 정말 재밌었어요...ㅠ 집가는 내내 영화 이야기만 했네요 엔딩 장면은 평생 잊지 못할 것 같아요
10,성장 영화 맛집 셀린 시아마
10,"믿고 보는 감독, 배우가 생겼따 ㅠㅠ 작품 열심히 만들어주세요"
10,믿고 보는 셀린 시아마!!
10,플로리안 미모가 대단해요
10,10년도 지난 영화지만 전혀 시대에 뒤떨어졌다는 느낌을 받지 못했어요 영상이 너~무 예뻐서 눈으로 캡처하고 싶다는 생각을 많이 했고 빈티지 감성 보시면 알 거 같아요 재미있어요!!
10,역시 셀린시아마 감독님!! 타여초 톰보이에 이어 워터까지 넘좋음~~
10,어떤 일을 겪어내든 아이들은 자신들의 방식으로 성장해나간다 그 모습이 참 감동적이고 어린 시절을 뛰어넘어 지금의 모습과도 연결시킬 수 있게 한다감독의 영상미는 정말 훌륭. 배우들의 어린 시절은 왜 이리 풋풋한지.
10,셀린과 아델의 조합은 진짜 사전에 남겨야한다...믿고 보세요 개봉해줘서 감사할 따름..ㅠㅠ
10,"톰보이, 타여초를 주변에서 너무 추천해서 접하게 된 셀린 시아마 작품들! 이번에도 후회 없는 선택이었다,,,"
10,"여름에 딱인, 보기만해도 시원한 장면들과 방황하는 사춘기 소녀들의 마음이 잘 드러난 영화!"
10,비주얼 배우들 연기 연출 다 미쳤음
10,말로 형언하기 힘든 묘한 여운이 남는 작품입니다. 세 여주인공들의 각기 다른 색깔과 그 중 중심인물의 절제된 언어와 억제할 수 없는 연민인지 사랑인지 처음 느끼는 감정에 대한 대조되는 과감한 행동..언어와 대비되는 그 행동 등 되게 센서티브한 터치가 어우러져 묘한 여운이 진하게 오래 남게되는 영화라는 생각이 간절하여 셀린 시아마 감독의 완전한 팬이 되어 버렸답니다.
9,성별을 떼고 사랑하는 감정선을 영상과 연기로 잘 표현한 영화
10,어린 아델 애넬의 매력이 단연코 돋보였던 영화!!! 성장기 배우들도 싱그럽고 수영장 신들이 많아 영화보는 내내 시원했습니다!!
10,셀린 시아마의 섬세한 연출이 감각적이고 아델의 모습은 매혹적입니다. 내내 눈을 뗄 수 없었네요.
10,아름다운 영상으로 청소년 시절 성과 사랑을 그려낸 수작
10,아니 어떻게 이게 데뷔작일 수가 있지다소 거칠게 데뷔해서 톰보이로 다듬고 완성된 부드러운 오묘함이 타여초인가8월8일에 봤는데도 개봉일 13일로 돼있어서 리뷰쓰려고 기다릴 정도
10,"일단 색감 영상미 연출이 너무 좋음,,,감각적이라는 말이 딱인듯! ㅠㅠ"
10,그 시기에만 있는 감정과 미묘한 관계들을 너무나도 잘 표현했다
10,"기다린만큼, 기대한만큼의 값어치가 있는 영화♡♡"
10,친구가 이 감독 최고라고해서 같이 보러갔는데 저도 감독한테 반했네요 영상미가 최고입니다!
10,이게 셀린 시아마가 감독의 데뷔작이라니 놀랍다.. 영상 음악 연기 뭐하나 빠지는 게 없다
10,"성장한 마리가 궁금해지는,,"
8,소녀들의 욕망을 담담하게 잘 풀어낸 영화
8,여성서사의 새로운 지점
10,최고야 영상미도 좋고 배우들 연기도 좋음 재밌엉
8,아름다운 영상과 음악 게다가 연기력 반짝반짝 이 여름을 시원하게 해줬네요
8,"시아마에겐 결과보다 과정이 중요한 것 같다.어떻게 마리가 프롤리안을 사랑하게 되고, 또 떠나게 되는가.그 과정을 지나면 우리는 사랑을 직시할 수 있게 된다.마지막 마리가 카메라는 보는 것처럼"
10,감정선이 정말 좋았습니다.
10,누구에게나. 개인적이고 보편적인.
10,
10,마리와 플로리안의 눈빛이 오래도록 잊혀지지 않네요. 소장하고 싶어지는 영화는 오랜만입니다.
