score,reple
10,찬사와 호평일색이네 그러나  볼수가 없다 상영관이 없다   ..  쓰레기 영화라도 지들이 만든 영화 도배하는 우리나라 씨제이 롯데 쓰레기 기업들은 망해야합니;다
8,줄리엣 비노쉬가 크리스틴 스튜어트를 상대로 연습하는 연극 대사에 두 사람의 관계를 투영한 설정이 인상적
10,"올해 최고의 영화. 마지막 장면도 인상적. 하지 않으려고 애쓰지만 하게 되고 받아들이기 싫지만 껴안게 되고 무대에 오르기 전까지 욕심을 놓을 수 없지만, 끝내 무대 위에서 자신을 마주한다.  이렇게 살아가고 있구나."
10,성숙하게 나이들어가는 것은 누구에게든 어렵고 미숙한 일이다.
10,"영화 중반쯤 되면, 이게 대사 연습을 하는건지 아닌지 모호해지는 경계선이 온다. 사람에 따라 호불호가 갈릴 수 있으나 개인적으로는 배우들의 연기와 대사에 푹 빠져 시간가는줄 모르고 봤다. 그나저나 크리스틴 스튜어트, 연기 정말 잘한다."
10,어제 압구정에서 시네마톡으로 봤는데 역시나 할 얘기가 많은 여운이 많이 남는 영화네요...구름 영상이랑 클래식 음악도 짱 좋고! 여자로서 더욱 공감해서 봤다는..연말에 나를 돌아보게 해줘서 더 좋았어요! 주변에 강추하겠음!
10,"마리아와 발렌틴, 그리고 조앤의 모습이 헬레나와 시그리드와 상징적으로 겹쳐지는 것이 마음에 들었다. 그 세 인물들은 상징적으로 한 인물이었을지도 모르겠다."
10,줄리엣 비노쉬라는 배우를 몰랐었는데 이 영화로 알게 됐네요. 크리스틴도 생각보다 훨씬 연기에 몰입하게 해줬고 여배우들의 이야기를 다룬 이런 영화는 언제나 흥미진진한거 같아요 ㅋㅋ 재밌었습니다!
10,줄리엣 비노쉬의 연기는 물론이고 모든 배우들의 연기가좋았다. 스위스의 자연. 연극과 현실 사이를 넘나드는 연기. 젊음 아니 가지고 누리던 것에 대한 인간의 집착에 대해 생각해볼수 있었던 시간.
10,크리스틴스튜어트를 배우로써 재발견한 영화
10,시사회가서 봤습니다 근래본 영화중 최고였습니다
9,여배우 셋 함께 빛난다 걸작
9,"실스마리아의 구름들처럼 나타났다 증발하는 순간들의 자아, 감정. 줄리엣 비노쉬와 크리스틴 스튜어트의 케미는 생각보다 훌륭했다."
10,클라우즈 오브 실스마리아 완전 강추하고 싶은...♡ 현실과 허구의 경계를 괴리감 없이 넘나드는 감독의 섬세함과   아름다움...줄리엣 비노쉬와 여배우들의 부족함 없는 내면 연기에 박수를 보내고 싶다...알프스의 멋진 풍경만으로도 힐링이 되는 느낌...
10,최고다. 보통 캐스팅이 좋으면 영화를 실망하는 법이 많은데기대만큼 잘봤습니다.
7,줄리엣비노쉬의 실제인듯 연기인듯 하는 연기는 최고.
