score,reple
10,다큐멘터리가 아닌 진짜 이야기여서 좋았습니다! 나에게 일어날 수 있는 이야기라서 감동이 있고 재미가 있어서 공감 100%! 뒷 이야기들도 궁금하네요!!
10,빠아끄~!보는 내내 집중해서보게되는 몰입감 좋네요
10,학생인 저의 가슴 한켠을 뜨겁게 울리는듯 했습니다.모두들. 한번씩 꼭 보시기 바랍니다.
10,젊은 청년들의 꿈을 그리는 영화네요 두근거림이 좋습니다
10,너무재밌어요 꼭보세요
10,학생으로서 영화를 봤는데 가슴속 뜨거운 느낌이 들게 만들었습니다.
10,모두들 꼭 보세요!!!
9,요즘같이 포기가 빠른 시대에 포기하지 말라는 교훈을 줍니다. 사실 저걸 찍고 나서 후에 이야기는 어떻게 될 지는 아무도 모르죠. 그러나 자신만의 길을 걸어간다는 것 자체가 자신의 인생을 사는데에 가장 큰 도움을 준다는 걸 다시한번 깨닫네요.
10,도전이 아름다워요 ‘아무것도 하지 않으면 기회는 오지 않아’
10,고민없이 추천합니다! 평범해보이면서도 평범하지 않은 영화라서 좋앗어요~!!
10,용기가 부럽고 그 추진력이 부럽네요!!!
10,재밌게 봤어요...멋집니다
10,"진짜 볼때마다 느끼는거지만 현실에 부딪힐 때 무너지는 경우가 많지만, 이기고 성공할때 좋은 결과가 생기면 진짜 그 기분은 너무 좋죠. 정말 많은것을 느끼게 된 영화입니다. 세계여행은 못가지만 ㅠㅠ 세계여행도 눈으로 여행도 했네요."
1,12345678910
1,평점 조절용 평점
