score,reple
7,뭐하나 알려주는게 없는데 몰입해서 봤다. 던져버려도 또 다시 오는건 뱀이나 욕망이나...
6,민폐 부녀가 잔잔한 호수에 크게 물장구를 쳐놨다.
10,틸다 스윈튼 연기가 아주 굿굿! 모든 인간은 역겨운 점이 있다. 공감!
8,뻔한 치정극도 스타일리쉬하게 보이게 만드는 힘
10,완벽한 본능도 없고 완벽한 이성도 없다
5,마티아스랑 다코타 존슨 잘 어울린다고 생각한 사람?
8,영화보는 내내 인물들 간의 팽팽한 긴장감이 더해져가고 말 보다는 눈의 대화나 몸짓으로 진정성이 오고가는게 느껴졌어요. 결핍의 인물들이 섬이라는 은둔할 수 있는 공간에서 남의 시선이 적은 곳에서 솔직하지 못해서 서로에게 더 상처를 주게됩니다.
4,각자의욕망에 맡기는 결말너무 허무해 평점이 너무 좋아 이상하다 예술을 모른다고 하겠지만 조금 알려줘야하는거 아냐?치정극이나 마찬가지지 아름답게 포장한 금발미녀는 틸다 스윈튼 딸 같은데?내용을 관보고 다 추론하라니 넘 머리아프다
8,"틸다스원튼을 좋아하거나, 루카 구아다니노감독의 영화를 좋아하거나, '아이엠러브'같은 영화를 보고싶다면 강추.!"
6,찝찝한 인간 관계는 피하는게 상책이다~
7,'ㅈㄹ염병들하고 있네' 하는 생각이 든 영화. 해리의 딸의 심리적 고통은 좀 공감됨.
8,"사람이 자기 감정과 상황에 다분히 충실할 수 있는지 보여주는 영화.  평소에 다들 그러지 못하니까 조금은 쾌감을 느끼면서도 이렇게 이기적일 수 있나 싶음. 난민드립과 마지막 싸대기를 때리는 이유, 싸인신이 압권"
8,아무것도 아닌 동시에 모든 것이기도 한 인간의 욕망
7,세심하고 지루하고 대단한 영화
6,연기들은 잘하지만 지루했음...
1,아무리 배경이 예뻐도 스토리가 진짜 왕짜증나는 영화 웩
6,내용이 너무 어렵다...이해하고 싶다...
