score,reple
10,반려견이 주는 무한하고 무조건적인 사랑을 너무나 환상적이고 아름답게 표현했다. 오랜 시간 반려견과 함께 살아서인지 마로나의 순수한 사랑에 북받쳐 올라 내내 눈물을 훔쳤다. 반려견이 내게 주는 사랑의 백만분의 일만큼도 사랑을 주고 있지 못하는 것 같아 미안하면서도 언제나 반겨주고 사랑해주는 반려견에게 너무나 고마워 집에 오자마자 꼬옥 안아주었다. 개의 시선에서 바라보는 듯한 세상을 독창적이고 기발하게 그려낸 영상미도 압도적이었다. 또 오열하더라도 또 보고 싶어지는 영화.
10,너무 행복함과 동시에 너무나 슬펐다.어린아이처럼 펑펑 울었다.
9,미안하고 또 고마워. 너의 인생 이야기를 들을 수 있어 행복했으니 이젠 저 별에서 사랑만 받으며 푹 쉬길.
8,"끝없이 주기만 하는 사랑, 너에게 보내는 꿈결의 노래."
10,추상적이고 예술적인 애니메이션 좋아하시는 분 강추 끝에가서 펑펑 울었습니다 ㅠㅠㅠ돈이 하나도 안아까웠습니다
10,세상의 모든 마로나들이 행복했으면
8,"눈을 뗄 수 없는 영상미.. 모든 반려동물들이 나쁜 냄새, 이별의 냄새를 평생 못 맡았으면 좋겠다."
10,"전혀 정보 없이 보긴 했지만 기대 이상으로 매우 만족스러웠다 보는 재미가 상당하고, 연출력도 좋은 작품 같다 동시 다발적으로 움직이는 영상들 보느라 잠시도 눈을 뗄 수 없었고 창의력 넘치는표현이 와닿는 작품이었다 대사도 가슴을 후벼파기도 하고 반려견과 인간 사이 뿐 아니라 인간관계의 이별에도 이입이 되는 것 같아 재밌게 봤다 주변에 마구 추천하고 싶고 그 영상속에 함께하고 싶었다"
10,동물 영화를 보면서 항상 느끼던 인간중심적 사고가 일말의 찝찝함었는데 이 영화에서는 드디어 조금 시선 이동을 한듯하다. 마로나의 삶을 환상적으로 만든 것은 인간들이 아닌 마로나가 그들을 사랑한 시간었다.
10,강아지를 사랑한다면 울지 않을수가 없다
8,너무 환상적이면서도 감동적이네요
9,일평생 떠돌아다닌 아홉아 어디서든 꼭 행복하게 지내
10,"영화 보는내내 같이 지냈던, 같이 지내는 울 댕댕이한테 미안해서 눈물이 멈추질 않았다ㅠ"
8,대사가 아닌 그림으로 감정이 고스란히 느껴진다. 감각적인 연출과 매력적인 장면 전환이 대형 그림책을 보는 것 같다. 스토리도 기획의도도 모두 굿~!!
8,피어오르고 솟아나고 일렁이는 감정들이살아 두 눈앞에 펼쳐지는 영화
10,타자의 마음을 자신의 언어로 표현하는 방법
10,"강아지의 눈으로 그린 강아지의 삶, 화려한 영상미에 빠져들었어요."
8,"언제나 행복하렴. 아홉, 아나, 사라, 마로나!"
10,그림책 속 세상에서 펼쳐진 감동의 이별스토리. 삶과 죽음을 그림책 속에서 경험하게 됩니다.
8,옴니버스 같은 영상미 속 끝끝내 주인으로 가득했던 강아지의 삶
10,천재적인 연출과 현실적인 비판을 담은 탄탄한 스토리가 많은 생각과 울림을 줌...최고의 애니매이션 영화
10,개의 관점에서 바라 본 개와 사람의 이야기. 작은 것에서 행복을 느끼는 마로나의 단순함을 나도 닮고 싶다. 감독의 상상력과 연출력에 감동... 거기에 영상미까지 더해지니 아름답다는 말밖에...
10,추상적인 이미지로도 상담한 울림이 있는 작품을 본거 같아요. 강아지의 시선으로 바라보는 사람들과 일상의 모습이 현실적이더라구요. 방금코엑스에서 봤는데 재밌게 잘봤습니다. 반러견 키우시는 분들이 보면 더 몰입하실거 같아요~
10,"환상적인 영상미. 사려깊은 이야기. 올해 최고의 걸작. 그들이 우리를 향해 보여주는 만큼은 못하겠지만, 더더 나의 친구들을 사랑하기로 했다."
10,"사랑스러움 그 자체! 마로나 시선 속에 우리가 담겨 있다는 것을 잊지 않는다면, 하루를 꽤 잘 지낼 수 있을 것 같다."
10,"영화관을 못가서 다운로드 구매로 감상했는데.. 영화관 갔으면 대성통곡하느라 민망했겠어요. 반려견 가정이라면 공감가고, 강아지의 끝없는 사랑에 미안해지는 영화네요"
9,초반부터 눈물...영화 내내 눈물 ㅠㅠ
10,영화 평점 처음 써보는데 보는 내내 나도 모르게 눈물이 줄줄 흘렀음. 너무 인상 깊었음
10,환상적인 꿈속에 행복과 슬픔이 모두 있어요.
7,
9,"행복은 고통으로 가는 징검다리지만, 그래도 작은 것에서 행복을 찾아가는 것을 두려워하지 말자."
10,환상적이고 감각적인 색채와 분위기... 마지막엔 아련함에 오열하게 만드는 영화 ㅠㅠ
10,신파는 아닌데 슬프고 먹먹하면서 좋았어요 캐릭터디자인도 독창적이고 아름다워요
8,강아지 시선에서 슬프고 아름답게 잘 표현된영화
8,나쁘지않았음 잔잔한 영상미
9,이들과 생활한적 있고 교감해본적 있다면 눈물을 흘리지 않을수 없을것
10,지루하지 않은 영상미로 한편의 작품을 보는 듯 합니다 ㅠㅠ 아름다운 예술 영화에요 재밌게 볼 수 있습니다 !
10,영상 보는 게 즐거웠고 애니메이션의 장점을 잘 살린 영화였어요. 강아지 마음에 감정이입 돼서 기쁘기도 슬프기도.
10,아름답고 창의적인 연출과 디자인.다시 보더라도 신선함을 선사해줄 명작.
10,화려하고 아름다운 색감에 담아낸 뭉클하고 성찰적인 스토리
10,
10,다시 보고싶은 영화. 그림 색감도 너무 이쁘고 표현력이 너무 뛰여나요. 슬프기도 하며 애잔하기도 하며 참 재밋게 봣어요
8,"너무 고마워, 항상 사랑해, 우리의 마로나."
10,아무런 정보 없이 봤는데 정말 좋았어요. 구석구석 참신하면서도 아름다운 표현들이 많아서 눈을 뗄 수가 없어요. 너무 난해하지도 않고 또 너무 뻔한 감동스토리도 아니예요. 음악도 참 좋네요.
10,영상미가 너무 신선하고 좋았고 보고나서도 한동안 계속 생각나는 영화였습니다
10,첫 장면부터 울 수밖에 없었음
10,연출과 연기 그리고 스토리가 젛았다.
10,네가 나를 만나서 행복했었다면 좋겠다
10,"다시 보고 싶은, 소장하고 싶은 영화!"
10,"내 사람의 냄새, 한번의 손길, 새근새근한 숨소리만 있으면 더 이상 바랄 것이 없는 마로나. 꿈속에서는 매일 같은 하루가 계속되길."
10,강아지가 보는 시각에서 표현한 연출이 너무 환상적이었고 스토리도 너무 좋았어요 쉽게 접할 수 있는 영화는 아니지만 좀 더 많은 사람들이 봤으면 좋겠습니다
10,행복은 작은 것에서 온다. 인간은 단 한번도 강아지를 '가진' 적 없다. 우리 스틴이의 인간이어서 고마워 행복해. 예술적이고 환상적인 영화입니다...
10,"조금은,인간 중심적 사고방식을 버리지 못했다는 생각이 들긴 했었다. 그럼에도 불구하고 압도적인  영상미와 조근조근,물흐르듯 이야기하는 프랑스 영화 특유의 감수성,몽환적인 작화와 사랑스러운 캐릭터 탓에 완벽하게 느껴지는. 사실,한순간도 몰입하지 않을 수 없었고 엔딩크레딧이 다 올라갈 때까지도 관객 중 누구도 자리를 뜨지 않았으며 눈물을 흘리지 않는 사람이 없었던 아름다운 영화."
10,행복은 고통 사이의 징검다리.. 마로나와 함께 시간 보내며 울고 웃었네요
10,
10,
8,마로나의 시선으로 보는 인간 군상. 움직이는 미술작품을 보는 느낌을 받았다.
10,너무 이쁜 장면들에 감탄하다 이유모를 감정이 북받혀오르는 엔딩
8,표현력이 좋은 영화네
7,"그가 나의 이름을 불러주었을 때, 나는 그에게로 다가가 꽃이 되었다."
10,마로나 시점 표현력이 대단했다..보는 내내 감탄했던 장면이 참 많았다. 그 속에서 마로나가 참 대견하고 사랑스러웠다.
10,한 강아지가 세상에 남기고 가는 가장 아름답고 환상적인 이야기. 슬프며 아름다운 살아있는 팝업북.
8,
10,"영화가 시작되는 첫 장면을 잊을 수 없다. 단 한 순간도 지루하지 않은 표현력과 연 출,, 디비디 나오면 꼭 사야징 메이킹스토리가 무척 궁금하다"
10,그냥너무너무~너무좋았어 대사하나그림하나모두다~ 아홉아나사라마로나~모두나였어~ 이영화를만들어준그마음~ 고마워고마워
9,꼭 보세요
9,으허허헝 인간이라 미안해ㅠㅜ;;;
10,"지금, 고민 말고 꼭 봐야할 영화"
7,
8,
10,
9,
10,
10,
8,"개에 대한 이야기라기보다, 인간의 행복에 대한 이야기.인간이 행복하면 개도 행복하다."
3,"하 스토리가 중구난방, 캐릭터들은 뭐 한번 나오고 사라지고. 플롯이 매우 평평함. 긴장감이나 감정의 고조가 거의 없음. 그리고 매우매우매우 느림."
1,"감동먹을 마음의 준비를 다 하고 갔으나.... 도대체 어디서? 스토리의 산만함과 클리쉐, 느린 전개 때문에 너무나 고통스러운 90분. 개의 시각으로 보여준대서 우와 하고 갔는데 레알 테크니컬리 시각(비전)뿐이고 개의 관점은 지극히 인간중심적이어서 유치할 뿐더러 강형욱의 보듬티비보다도 감동이 없었다."
