score,reple
8,영화관에서 볼만한 영화다. 우리가 놓치고 있는 인간의 모습을 담았다. 무분별한 인권호소가 아니라 정말 필요한 이들의 간절함을 호소하며 대변하는 변호사 주디의 모습이 멋지다.
10,끈기로 세상을 바꾼 변호사. 마음을 움직이는 스토리.
10,스토리 연기 다 좋았어요
10,바라봐주고 이해하고 들어주는 것으로 시작하는 세상의 변화를 실천하는 작은 움직임이다.
10,"이 시대에 꼭 필요한 영화 인권, 정의에 대해 다시한번 생각하게 만든다"
10,"온 세상의 주디, 그리고 주디가 될 사람들을 위한 영화."
10,주디 우드의 끈기가 세상을 바꾸다
10,약자를 위해 끝까지 싸워 당당히 세상을 바꾼 주디. 감동적입니다. 우리 나라에도 이런 변호사가 많아지길 바랍니다.
10,큰 기대없이 감상평만 보고 선택했는데 정말 선택하길 잘했어요.영화비가 아깝지가 않아요. 잔잔하게 그려냈는데 영화인데 몰입하게 되고 지루할 새도 없이 끝났어요.
10,주디 우드 그녀의 끈기에 보는 사람까지 용기를 얻게 되는 영화!!
10,이 세상 모든 딸들에게 추천하고 싶은 영화입니다.
10,많은 사람들이 봤으면 좋겠다
10,
8,영화관에서 봤는데 시간과 돈이 아깝지 않았던 오랜만의 영화!
10,오늘 씨네큐브에서 관람하고 왔습니다:) 정말 스토리도 메세지도 좋은 영화에요..! 많은 것들을 생각하게 만드네요
10,이런 영화가 추천할 만한 영화죠
10,어느것 하나 빠짐없이 완벽한 연기와 내용 말이 필요없다 영화관에서만 느낄 수 있는 여운 또한 말이 필요없다 완벽하다
10,"스스로 생각하기를 포기하고 남들하는대로 따라하는 사람들, 겸손과 양보가 미덕이라는 생각이 뿌리박힌 현재흐름에 맞지않는 우리나라의 낡은 관념에 익숙한 사람들을 위한영화"
10,지금도 일어나고 있는 가슴아픈 현실
9,여주인공 지적이고 참 맘에 드네요.
10,"사회적인 문제, 심리적인 문제에 봉착한 여성의 문제를 윤리적태도에 기반해 풀어낸 사려깊은 영화."
10,세상 모든 여성을 위한 이야기목소리를 내는 연습을 하겠습니다
10,"한국에서 개봉했다니 반갑다. 상투적이지 않은, 인상적인 영화니 많은 분들이 보셨으면 한다."
8,
10,인권변호사그들이 있기에세상은 천천히 아주 천천히 변하고 있다~누군가는 노력하고 있다는 것에 감사한 맘으로 살아가게끔 한다.변하자~조금씩만이라도~~우리도~~
10,
10,보수는 늘 그래왔던 것을 논하지 핵심을 논하지 않는다
10,진실을 알게 하기 위해서는 계속 노력 해야하고 알려야 한다
10,요즘은 영화를 와인이나 메주처럼 수년씩 발효.숙성시켜 개봉을 하네.
10,최근 본 영화중에 최고 재밌었어요
6,묵직한 주제에 적절한 유머를 섞어 효과적으로 전달하지만 다소 평이한 흐름과 연출이 아쉽다.
9,실화를 바탕으로 만든 영화라 현실감있게 봤어요~극적이되 간절함이 잔잔히 표현돼있어 영화의 맛을 더했구요~
9,오랜만에 영화같은영화
10,이 모든이야기는 실화이다
10,이 모든이야기는 실화이다
10,실화라 더 완벽하게 몰입한 영화
10,"멋있다는 말밖에.. 전세계에서 고통받고 있는 여성분들, 끝까지 싸워봅시다!"
10,진짜 최고ㅠㅠ 눈물 줄줄ㅠㅠ 주디랑 아세파 평생 행복하게 해주세요
8,"싸움에서 이기는 방법은 간단하다. 진실을 말하되 포기하지 않으면 된다. 분주한 삶에 치여 우리는 중요한 것들을 너무 쉽게 포기한다. 포기하지 않는 세인트주디, 그녀의 삶이 위로가 되고 도전이 된다."
10,생각나는 명대사가 많고 같은 여자로써 눈물나게 하는 포인트가 많다 영화가 끝난 뒤에 여러사람과 이야기하고 싶은 영화
10,정말 러닝타임 내내 시간 가는 줄 모르고 엔딩크레딧을 넋놓고 봤네요. 벡델테스트를 통과했다기에 기대하고 봤습니다. 부당함을 이겨낸 여성이라는 스토리 자체도 좋은데 실화라는 것을 모르고 봐서 그런지 소름 돋았습니다. 위대한 위인을 알게 된 영화입니다.
10,
10,내가 저 변호사라면?내가 아세파였다면?아마 현실에 절망하여 주저앉았을것이다.
8,교훈도있다 좋다  까려면 알고까자
10,I won’t never give up
10,선한감동과 울림이 있는 교훈적인 영화!이런영화들이 우리나라에서도 많이 만들어서 개봉되었으면 좋겠어요!
10,중요한 것은 어떤 것이 정치적이냐는 것이고그 물음을 다들 안고 갔으면 좋겠어요
10,
10,
9,"여성이기에차별받는, 여성이라서 보호 받지도 못하는 현실에 맞써 싸운 여성들의 이야기."
10,상영관이 적어서 너무나 아쉬운 영화입니다. 많은 사람들이 봤으면.. 자신의 전문성을 사람들을 살리는데 사용하는 주디의 삶에 깊은 감동을 받았습니다.
10,
10,
10,
6,사회적 약자를 위한 그녀의 헌신이 뭉클
9,실화를 바탕으로 하는 영화는 제 삶의 등불이 되는듯 합니다. 지금도 이민자들을 위해 애쓰는 주디의 삶을 응원합니다^^
10,
7,대단한 변호사다 이런 변호사가 우리나라에도 있었지 약촌살인사건 재심 변호사
10,기대없이봤는데 정말 좋았어요.훌륭합니다
10,한국의 김모 변호사도 보길 바란다. 주디는 인생 에성공한 변호사고 김 모는 실패한 변호사인 것을. .
10,강철비보다 100배 나음
8,돈과 권력의 휘둘리는 변호사들이 난무하는 세상에 정의와 진리로 인간의 진정한 자유와 해방이 무엇인가 해답을 내리는 이시대의 히어로 변호사의 진면목을 보여준다
2,내 쥬디가 이상해...
8,인권변호사..  그대가 겹쳐보였습니다.
