score,reple
10,올드먼이 경찰서까지 갔지만 클레어를 회상하며 고발하지 않은 이유는 이 모든 가짜극 속에서 그녀 만큼은 진품의 면모이길 바라는 마음에서 아닐까...
10,이렇게 몰입도가 높은 영화는 처음입니다. 최근 몇 년간 본  영화 중에 최고입니다. 정말 거장의 작품답습니다.
9,마지막에 카페에서 클레어를 기다리는 버질의 모습은 잊혀지지 않을 것 같다
8,오리지널을 추구하던 주인공이  카피된 사랑에 빠졌지만 그 카피된 사랑이 본인에게는 오리지널이 되어버린...
10,"감독 믿고 본 영화. 스토리, 영상, 음악은 말할 것도 없고 제프리 러쉬 연기는 갑 오브 갑"
10,먹먹하면서 아름다운 이야기에 최고의음악들이 영화의 분위기를 더욱 고조시키네요
10,여러분 모태솔로가 이렇게 위험한겁니다.
10,초기에 반전을 예상했는데도 영화 보는 내내 소름이 돋다 못해 전율이 일었다.. 이토록 완벽하고 가슴아픈 반전은 없을것이다. 무엇하나 완벽하지 않은 것이 없는 영화!
10,최고의 명작을 만났을때의 제시할수 있는 최고가는 그전까지 살아온 인생이구나
8,난 여자가 보캉송의 숨겨진 안드로이드라는 반전을 기대했는데...
10,배우들 연기도 영상도 모든 게 완벽했다! 완전 강추*
10,"오랜만에정말품격있는영화였습니다.그림도실컷보고,연기도,내용도,음악도너무좋았습니다."
10,무슨일이 있더라도 당신만을 사랑한다고 올드먼의 초상화방에서 속삭인 클레어의 한마디에 프라하까지 가서 기다리던 이 사람...나도 그럴거 같다...평생을 모아왔던 초상화와  클레어 어머니의 초상화를 맞바꾸고도 사랑만은 포기 못하는 것이 내 초상화 같다
9,"현실은 위작이지만, 그 순간만은 진품이였으니..."
10,"영화속에 이렇게까지 몰입했던 적이 없다. 반전이 예상되었음에도 반전이 일어나지 않길 간절히 바라고있는 내 모습에 놀랐다. 나 역시 보고싶은 것, 믿고싶은 것만 선택해서 취하는 모조품 속에서 진품의 면모가 있다고 믿는 부류라는 사실에 소스라치다."
10,이 영화야 말로 진품이다 . 그 누구도 이영화를 위조할수 없다 올해 최고의 영화!
10,이 영화를 보고 영화가 예술이라는 것을 알게 됐다.재미와 감동을 넘어서 황홀함마저 느껴졌다.
6,우리 또한 때로는 모조품에 베스트오퍼를 한다. 하지만 정작 불행해지는 지점은 속았다고 믿는 순간부터다.
10,늦바람을 조심하라기엔 주인공의 사랑이 순수했다
8,침착한 스릴러. 마지막에는 탄식이 나오는 수 뿐이다. 인생이란 이런 걸까? 하는 생각도 하게 만든다.
10,이미 속았다는 것을 깨달은 뒤에도 올드먼이 프라하의 나잇 앤 데이 카페에서 클레어를 기다리는 모습은 우리 모두와 너무나 닮았다. 우리도 또한 클레어라는 희망을 외로이 기다리고 기다리는 존재들이다. 희망과 우정과 사랑에 늘 속으면서도...
