score,reple
10,진짜 이건 찐영화네요 연기력도 다들 넘 좋으심
10,대박적ㅋㅋㅋ 재미있다는 얘기는 들었는데 이정도일줄은 몰랐음 올해의 영화를 만난 기분
10,"연기자들의 탄탄한 내공, 감독의 유머가 합쳐진 리얼한 오남매의 이야기.. 한국독립영화 수준이 많이 높아진것 같습니다.온가족이 함께가서 보면 좋을듯..추천합니다."
10,좋은 영화^^ 재미있게 봅시다^^
10,지난해 무주영화제에서 본 영화 정말 잊지 못할 가족애와 복잡한 우리나라 가부장제.. 남아선호 등등의 복잡한 삶이 영화속에... 후회없을 기억에 남을 영화?
8,상당히 인상적이다. 가부장제에 대한 반항이라는 다소 식상한 주제를 비범하게 만들었다. 배우들의 빈틈없는 연기가 일품. 대립이 아닌 또다시 가족이라는 결론은 묵직하다
10,"옹기종기 모여있는 장면이 너무 애틋하고 좋다. 말이 없어도, 뭘 하지 않아도, 그저 그렇게 옆에 있기만 해도 좋지 않은가. 가족이란게."
7,굴레 굴레 해도 이만한 굴레가 있을까? 그럼에도 버릴 수 없는 이유. 이 영화에 있다. 리얼해서 공감되는 수작.
10,배우들의 찐 연기 연출의 섬세함 좋습니다
10,내용 너무 재미있어요!  추천합니다~
10,공감가는 부분도 많으면서 유쾌하고 재밌게봄 배우들 넘 최고 진짜 가족같은 케미ㅋㅋㅋ!
10,남녀노소 가리지 않고 모두에게 필요한 영화
9,형재 자매 있는 사람이라면 무조건 보면서 빵빵 터질듯... 특히 울 엄마 데려가고 싶은 영화!!!
10,지극히 현실적인 하이퍼리얼리즘을 응축해놓아서 멘붕이 오긴 하지만개인과 가족의 문제가 아닌 사회적인 문제임을 제대로 보여줘서 위로가 되기도 하는 영화인생영화 급으로 뽑고싶은 초강추 영화입니다
