score,reple
10,정원이 너무 예뻤음ㅠㅠㅠ 눈호강 제대로!! 전체적으로 힐링되는 느낌 들어서 오랜만에 기분 좋았음!!
10,너무 예쁜 영화입니다!!
10,"콜린 퍼스 멋있음... 어릴 때 책 읽은 기억이 있는데 화려한 정원 장면들을 영상으로 보니 몽환적이고 신비로웠고, 시각적으로도 마음적으로도 모두 힐링한 기분.주인공 아역배우 약간 마틸다 느낌나는데 예쁘고 연기 딱부러짐"
10,정원을 통해 치유받고 성장하는 이야기가 따뜻하게 다가오는 말그대로 동화같은 영화. 코로나로 볼까말까 고민했는데.. 스크린에 펼쳐지는 정원의 영상미 하나만으로도 볼 가치가 충분했던 영화
10,오랜만에 힐링 영화본듯한 느낌! 영상미도 좋았지만 배경음을 진짜 잘쓴듯
10,잠시 다른 세계에 다녀온 듯한 느낌...!! 현실로 돌아오는 게 너무 싫을 정도
10,영상미도 너무 이뻐서 좋았고 영화를 보고나니 너무 힐링이 되어서 더더욱 좋았습니다~
10,"콜린 퍼스와 줄리 월터스의 탄탄한 연기력이 영화의 중심을 잡아주고, 신예배우 딕시 에저릭스는 책에서 튀어나온 듯 사랑스러움 그 자체ㅠㅠ제대로 힐링하고 왔습니다"
1,뒷골이 아프네요... 내가 2시간동안 뭘봤는지 모르겠다 하 진짜..
2,가슴따뜻하고 식물좋아하는 사람만 봤으면... 해리포터 제작진기대했는데 생각보다 너무 지루했어요
10,마음이 따뜻해지는 예쁜 영화
10,최근에 봤던 영화중에 가장 영상미가 좋았어요! 지금 이시국에 보고 있으니 잠시나마 마음의 힐링을 했네여ㅡ
8,어른에게는 조금 지루할수 있어요 이미 책으로 알고 있는 내용이기도 하고 좀 뻔하기도해서요 근데 초등 3학년 딸은 재밌게 보더라고요
8,영상미는 진짜 최고네요. 근데 스토리는 좀 엉성한 느낌.
7,사랑이 가득한 곳...사랑을 심어놓은 아름다운 정원으로의 초대!화사한 꽃이 마음속에 피어난다!
10,영상미와 오슷이 너무 좋았고 비밀의 화원안에서 세아이들의 재미나게 뛰어놀던 모습이 눈앞에 아른거립니다
10,현 코로나 시대에 한줄기 빛같은 힐링테라피 영화.몽환적이고 신비로운 연출과 그에 걸맞는 배경음으로 영화의 판타지적인 분위기를 살려줍니다.아역 배우들의 순수하고 사랑스러운 연기도 정말 좋았습니다!
10,기대안하고 봤는데 너무 감동이예요
6,주인공 여자애 처음엔 안하무인인줄 알았는데 매력덩어리네요. 스토리는 평이하지만 캐릭터도 정원도 아름다웠던 영화였습니다.
8,영상미가 뛰어납니다. 옛날 영국에 있는것같았음!
