score,reple
10,여름의 청량함과 십대의 생생함이 살아있는 영화입니다. 남주가 연기를 아주 잘합니다.
10,이 계절에 꼭 봐야 하는 영화. 영혼을 맑게 씩씩하게 해줄 이런 영화를 기다렸다
10,가족구성원이나 성별에 대한 사회적인 편견을 내용을 담고 있는데 부담스럽지 않고 밝고 유쾌하게 보여주는 것 같아요! 대표님 덕분에 재밌게 봤습니다! 김주아님 나중에 다른 영화에서도 보면 오늘 본 보희가 생각날듯해요!!
10,누구나 하나쯤은 갖고있는 개인적 부재를 바라보는 감독의 시선. 한시간 반동안 울고 웃고 부담스럽지 않게 마음에 녹아드는 이야기. 이 시대 꼭 필요한 영화.
10,1억점이 없어서 10점 드립니다.
10,단점은 없고 장점만 있는 전무후무한 영화.
10,보희와 녹양이 너무 싱그럽다! 정말 청정 그 이상의 영화!
10,영화가 끝날 때 까지 편하게 감상한 것이 정말 오랫만이었어요.
10,작년부산국제영화제에서보고개봉하기를기다렸어요~재미있고따뜻하고여운이남는영화~
10,지금 옆에 있는 따뜻한 사람들을 생각나게 하는 영화였다.
10,오랜만에  씩씩하고 맑은   성장영화를 본거 같아 기분이 좋다~
10,핵 재미있는 영화 그리고 기존 선입견을 뛰어 넘어 한국사회가 다양성을 존중하고 받아들여야 한다고 생각함녹양(주아)연기는 덤 ^^ !!
10,모든 장면의 연출과 의미가 좋았습니다. 배우들의 연기도 모두 너무 좋고 자연스러워 영화에 빠져들게 해요.
10,보희와 녹양의 싱그러운 씩씩함이 느껴지는 영화였어요 주연배우들의 연기도 너무 자연스러워서 더 좋았어요
10,반전 충격이네요 실제로 보희같은 가정을 가진 아이들 많을 거 같아요 ㅠㅠ
10,맑은 여름 날 햇살 같았던 영화. 모든 게 조화로웠고 음악도 잘 어우러져 더 좋았네요. 보고 나오는데 바로 또 보고 싶어져서 조만간 다시 보러 가려구요.
10,한 편의 영화지만 99분 짜리 힐링 여행을 다녀온 기분입니다
10,마지막 반전입니다. 저는 재미있게 봤어요
10,저예산 영화입니다. 음... 저 또한 부모님의 이혼을 경험한 사람인데요. 제 가슴을 후벼파는 대목이 많네요. 또한 여사친이라는 든든한 버팀목도 부럽고 주위에 좋은 사람이 많은 것도 저의 상황과 너무 비슷해서 곧 결혼할 여자친구와 눈물 흘리며 봤습니다.
10,겨울에 생각나는 여름 햇살 같은 영화. 가족의 따뜻함을 흔하지 않게 그려낸 점이 정말 좋았습니다. 우리가 아는 따뜻함 그리고 달라보이지만 그래서 더 귀여운 보희의 새로운 가족:)
9,배우들이 연기를 참 잘한다. 영화보고 위로받았다.
10,때론 보희처럼 때론 녹양처럼.
10,마음이 흐뭇하며 의외로 개고 코드가 많아요.
10,보고나서 기분이 너무 좋았어요 잘봤습ㄴㅣ당 ~!!
10,"보희와 녹양, 두 아이의 자연스러우면서도 싱그러운 모습에 내내 미소를 띠고 봤어요. 중간중간 살짝 울컥한 감정도 들났고 나의 유년시절도 떠오르게 했던 멋진 영화입니다!"
10,최고의 영화. 보희 너무 연기 잘하고 녹양 너무 예뻤어요. 마지막 살짝 반전도 신선했고요. 아빠찾아 삼만리~
7,"지금의 자리와 곁에 있는 사람들이 소중하다는 건 알지만, 나도 보희처럼 끝까지 가서 확인해봐야 직성이 풀릴 것 같다. 그땐 부디 지금보다 한뼘은 성장해있길. 사회에 찌든 직장인1, 보희와 녹양을 보면서 잠시나마 마음이 푸릇푸릇 환해지는 시간이었다."
10,가족과 내 주변 사람들의 따뜻한 온기를 다시 한 번 돌아보게하네요. 담백하고 편안하면서도 위트있는 연출로 보는 내내 흐믓한 기분입니다. 간만에 주변에 추천하고 싶은 영화 선물 받은 듯 하네요
10,"신예(?) 감독의 작품이라 기대없이 봤는데 잔잔하지만 처음부터 끝날 때까지 지루할 틈없이 몰입하게 된 영화, 진지한 교훈도 진한 연애도 없지만 오히려 현실과 닮아 공감하며 보게 된 영화"
6,감독님이 전달하고자하는 말이 좀 여러 갈래로 다양하게 느껴졌습니다. 다음에는 몇가지에 집중하시면 좀더 좋겠습니다. 잘봤습니다.
10,참 기분좋은 영화입니다
10,신선하고 틈틈히 유머러스 한 장면이 있어서 지루하지 않고 너무 재밌게 봤습니다~!영화 의 색감 도 정말 훌륭했습니다!!
6,풋풋하고 샤방샤방하고
8,통통튀는 캐릭터들의 향연
7,사랑스러운 영화. 사랑스러운 캐릭터!!
10,보는 내내 흐뭇하게 만들고 청량함이 화면 밖으로 나온다.
