score,reple
10,톰 크루즈의 진정한 매력은 액션의 아이콘이 아닌 이런 캐릭터일 때 빛을 발한다.
10,톰이랑 르네랑 집 앞 키스신은 진짜........완전 명장면이네요
10,가슴이 너무 뭉클하다. 이런 영화를 10점 안주면 어떤 영화를 주겠나
10,"어려운영화다. 한번보고나서는 내용전개만알지, 영화가 나타내고있는 깊은뜻은 모를수있다. 직장인으로써 너무나도 공감되는영화다 늘같은일상 지겹기만하다."
10,"지금까지 이 영화를 5, 6번 정도 본 것 같은데 볼 때 마다 나를 울게 만드는 영화~내 생애 최고의 영화~"
10,"어릴때 이영화를보고 레이같은 아들을 낳을수있기를희망했다 너무너무사랑스런 아기... 그리고 나는 결혼해서 레이만큼, 아니 그보다 더 사랑스런 아들을 낳았고 지금 너무 행복하다^^ 아기를 재우고 오랜만에 찾아본 영화...또다시 감동의눈물을 쏟았다...!"
10,젤위거누님에목소리가 참매력적이네요 정말 듣기좋은목소리 ^^
10,르네젤위거가 이렇게 예쁠줄이야 대단한 연기력!
10,연기가 너무 잘해서 재미있었다
10,제 가슴을 뭉클하게 해주네요. 정말로.
10,지루할틈없이 자연스럽게 보다보면 어느새 그의인생에 들어가있다. 그만큼 몰입이잘되는영화. 무려 20년전영화임에도 전혀거부감없이 볼 수 있었다. 명작이란 이런게아닐까?
9,"실존 인물을 바탕으로 해서 그런지 더 와 닿는 영화,  연출,음악,각본 등 너무나도 인상적인 작품, 특히 ' 스포츠 에이전트 ' 라는 익히 알려지지 않은 직업을 가지고 너무 좋은 작품이 나왔다."
10,이 영화에선 스포츠 에이젼시의 직업정신이 중요한게 아니다.100% 이 영화는 사랑에 관한 영화이다. 험난하고 야박한 세상에 자신을 보듬고 사랑해줄 따뜻한 사람이 있다는게 얼마나 소중한지를. 그만이 나를 채워줄 수 있다는 것을...complete me
10,"우선 르네 젤위거가 어여쁘게 나온 작품, 또한 몇번을 봐도 질리지 않는 영화다."
10,"어릴때 보고 인생의 좌절을 겪어본 현재 다시 보니까, 같은 장면, 다른 감동을 느낀다. 너무 감동적이었다. 마지막 풋볼선수와 포옹할때, 커쉬때 앞에 나서서 매스컴에 거짓된 미소를 지을때와는 너무 다른 모습을 보면서 벅찬 감동을 느꼈다..."
10,좋은 영화는 보고 또봐도 새롭다  내 최고의 영화
8,톰 크루즈의 미친외모를 볼 수 있는 기회.
10,우린 너무 크게 보고 큰것맘 바라고 있지 않은가? 정작 중요한건 가족 아내 그리고 자신인데...어쩌면 사소한 일상에 중요성을 무시한채 성공과 돈만을 향해 가고 있지 않은가?
10,탐크루즈 출연작중 최고의 작품. Show me the money!!! l love black people!!~~ㅋㅋ
10,방금 봣는데 다시봐야겠다는 생각밖에 안듦
8,15세가 보기에는 좀 수위가 높지 않나 싶다. 처음부터 생각을 많이 하게 만드는 영화였다. 빡빡한 사회현실에 마음이 아프기도 했지만..남주여주의 마지막 장면까지 지켜보면서 함께 감동을 느낄 수 있었다. 다 보고나면 웃프다+감동의 여운이 남는 영화..
8,"진심을 나눌 수 없는 상황에서의 물질적인 호화, 명예는 채우면 채울 수록 허망하다. 마음을 열고 타인을 사랑할 수 있게 될 때, 비로소 나의 가치를 깨닫고 진정으로 자아를 실현할 수 있을 것이다."
10,You are the reason I am here. you complete me.
10,아름답다는 말밖에는 .... 넘 사랑스런 그녀다
10,톰아저씨 드라마 필모로 돌아와요 제발...
10,"진정한 스포츠에이전트란 무엇인가에 대한 감동적인 대답, 특히 백인에이젼트와 흑인스포츠스타라는 점이 당시엔 큰 반향을 일으켰던 작품이다. 톰 크루즈의 연기도 큐바규딩주니어의 강인함보다는 네겐 르위 젤워거의 물오른외모가 가장 큰 눈요기였다."
9,바로 이해하기는 많은 것이 내포되어있는영화네요~외로워서가 아니라 진정으로 사랑해서 그사람이 내옆에 있어주길바라는 진심이 통하는영화
10,내 생에 최고의 영화라면 단연 이 작품을 꼽는다. 네이버엔 이제야 평을 올리지만 10년째 한달에 한번씩은 보고있다. 봐도 봐도 보고싶고 볼때마다 새롭다. 삶을 돌아보게 만드는 따뜻한 영화!
10,르네젤위거의 풋풋한 살안찐모습 볼수잇는 영화중의하나 ㅋㅋ 훈훈해
10,기본감동에 르네젤위거.. 쿠바구딩쥬니어.. 는 덤으로..
10,그와같은 인생을 살 수 있다면
10,내 인생 최고의 영화...10번 넘게 보고 10번 넘게 울컥하고 짠하게 만든 영화.
10,완벽하다 못해 무섭게 잘생기고 멋진 톰 크루즈의 최전성기 시절. 그립다 이 영화는 아카데미를 가져갔어야 했다. 르네 젤워거에게도 카메론 크로우에게도 오스카를 수상한 쿠바쿠팅주니어에게도 모두에게 최고의 영화
10,르네 젤위거 진짜 매력잇는 배우
10,이거 인생영화임. 톰크루즈가 한국인들에게 특히 인기있는 이유가 이 영화의 정서를 톰크루즈가 기가 막히게 소화하기 때문
10,"""전 인생을 살면서 성공보다 실패를 많이 했지만 그래도 전 아내를 사랑했어요"""
10,진짜 오랜만에 다시봤다.. 다시한번 가슴이 따뜻해지는구만~ 이 영화처음에 보고 르네 젤위거가 내 이상형이었었는데~ 하 이쁘구먼~
9,모든 사람들이 차갑게 등돌릴 때도 대책없이 따라 나서는 여자와 Show me the money라고 하지만 의리를 중시하는 따뜻한 마음을 가진 사람이 있기에 결코 루저가 될 수 없는...보고 있으면 톰크루즈의 웃음같이 마음을 밝게 해주는 영화.
10,인생은 아름답다는 착각이 들정도로 멋진영화. 그리고 아름다웠던 르네젤위거
10,내가 톰크루즈를 제일 좋아하는 이유 중의 하나가 이 영화 때문이다.
10,난 이영화에서의 르네 젤위거가 제일 예쁘던데..암튼 인상적인 영화엿음
10,최고!!!!!!!!!!휴머니즘!!!!!!!
10,탐크루즈. 르네젤위거. 쿠바 구딩 주니어. 그리고 남자 아역 어린이... 등장 인물 전부가 사랑스럽습니다. 정말 탐크루즈는 연기 너무 잘하는 것 같아요. 눈빛이 정말... 아오... 남자가 봐도 너무 멋있네... 모두다 사랑하면서 살아요~~
10,"비긴 어게인을 보는데 ""니가 제리 맥과이어야?""라는 대사가 있더라. 그런 클라스의 영화. 어느새 고유 명사가 되어버릴 정도의 파급력을 가진 작품."
10,볼때마다 잼있고 대리만족..ㅋ르네젤위거 너무 사랑스럽다.
8,쇼 미더 머니라는 예능 제목은 여기서 건진거다...
10,"사람들은 톰크루즈의 대표작을 미션임파서블이라 말한다면, 저는 제리맥과이어 라고 말하겠습니다."
10,쇼!미더!머니~~! 왜 요즘엔 이런 영화를 찾기 어려울까...
10,이런 영화를 이제야 봤다니... 정말 훌륭합니다
10,명품배우의 명품연기입니다
10,"정말 훈훈하다 르네젤위거가 정말 매력적인걸 알았다 나 여자,,"
10,젊었을때 더 빛나는 톰크루즈와 르네젤위거의 연기는 나의 가슴을 채웠다!!! 감동적이다!!
10,내 인생의 영화! 삶이 힘들어 질때마다 다시 보고 싶다
10,르네누님 리즈시절~~
