score,reple
9,영화의 완성도라던지 줄거리로서만보고평점을준다면 5점정도가 적당한데 ost인 리얼리티와  소피마르소의 비주얼이  최상이아닐까싶다
10,80년대미인 소피마르소가 너무너무예뻐서 미모에 빠지듯이 본 영화90년대생인 내가봐도 엄청난 미인임 ㅇㅇ스토리는 유치해서 재미없구 노래랑 프랑스의 문화를 엿볼수있어서 좋았던것같다...13살에 어찌저리 예쁠수가있지..뭔가 동양적이면서 서양적인미인
10,그 시대의 최고의 영화.. 라붐을 처음 보고 잠을 이루질 못했다.
7,소피마르소의 매력때문에 본 영화
8,"기대와는 다른 느낌의 영화였고,지루한 부분도 있었지만 음악하나로도 이미지를 완성 해주는 영화.예상했던 풋풋.전형적인 이야기는 아니지만,뜻밖의 의미있는 결말도 그렇고 단순하기보다는 의외의  영화. 구성이 좀 더 체계적으로 다듬어졌음 더 좋았을 것 같다"
7,마지막 뭐지 ㅋㅋㅋㅋㅋㅋㅋㅋ 10대가 다 그렇긴 하지만...
5,"헤드셋장면, 소피마르소 끝"
10,시대에 흠뻑 빠졌다 나온 기분 . 아름답다.
9,"노래와 소피마르소가 유명해서 봤네요. 87년생인 나로서는 태어나기 6년전의 작품,시대인데.. 30년이 넘은 시대인데.. 시대가 달라도 생각은 비슷하구나라는것을 느꼈네요. 이질적이지않고 동감가는 내용들.. 계속 작은 웃음을 유발하게 만드는 영화~"
10,평점과 댓글 보니까 우리나라 사람들이 정말 보수적이긴 하구나
1,아 진짜 기대만큼 실망이 큰 영화는 처음이었다... 뮤직비디오와 ost만 듣고 이 영화를 보려거든 당장 그만둬라...당신이 생각하는 그런 로맨스 영화 아니다...이 영화가 도대체 왜 명작 취급 받는 지 도저히 이해가 안 가네..
5,어디로 튈지 모르는 10대들의 파티를 지켜보는 심정.
5,이게 무슨 바람의 왕국이야 뭐야
2,최소한의 내용은 있어야 하지 않을까. 아무리 그녀가 아름다울지라도.
1,평점이 좀 과대평가 된 듯 하네요. 영화에서 동양인 비하도 거슬렸구요. 결말도 딱 프랑스식. 프랑스 영화는 안봐야지 했는데 라붐이 유명해서 기대했더니 역시 우리나라 정서랑은 너무 달라서 이해하기 힘들어요. 결말도 그렇고.
8,"좋아하는 사람의 사소한 행동에도 싱숭생숭 안절부절 못하면서도 금방 새로운 사람에게 시선이 가는, 자기 마음조차 아리송한 14세~ 소피마르소와 파리의 낭만적 분위기에 Reality 테마곡까지 영화로 흠뻑 빠져들었다~~"
10,"시대의 아이콘 소피마르소., 첫사랑을 추억하며 가족과 함께 즐겁고 유쾌하게 보고 왔습니다."
2,아니 이봐요 빅씨.............
5,영화 ost 의 환상만 가지고 봤다가 지루함의 극치를 느낌. 문화가 달라서 그런가 ? 공감과 이해가 안 감.
1,아무리 소피마르소가 좋아도 영화 평점은 객관적으로 줘야 하지 않을까?5점도 주기 아까운 영화.  평점 낮추려고 1점만 줌.
1,절대 영화로는 보지말고 뮤직비디오로만 간직해라  환상이 깨진다
9,세대는 다르지만 영화엔 그녀의 미모가 고스란히 담겨있었다
2,뭐야 스토리가 그지같다....
7,소피 마르소는 어렸을때도 이뻣구나...
5,마지막 뭔가요..ㅋㅋ 뜬금없다...우리나라랑 전혀 정서가 안맞는 영화다
