score,reple
10,올해 본 영화 중에 최고였다 끝나고나서위 여운이 너무 강렬해 울음이 멈추지 않는다
10,"살면서 느낄 수 있는 모든 감정들을 꺼내보고, 곱씹어 보게 하는 그런 영화...여운도 너무 남고... 다시 보면 영화가 완전히 다르게 느껴질 듯"
9,남자가 제일 나쁜놈 ㅠㅠ
10,이런 영화를 만날수 있었던 건 행운입니다.슬프다기보단 마음이 벅차올라서 눈물이 나더군요.제 주변에도 몇분이 훌쩍훌쩍.. 긴말 안할께요 꼭보세요
10,주동우의 매력은 끝이 없네요
10,"내 인생의 소울메이트 영화! 중국 영화라고 기대하지 앟았던 과거의 나 반성해라. 주동우, 마사순 처음 보는 배우들인데 완전 덕통사고 당함 ㅠㅠㅠ"
8,나를 가장 아프게 했던 사람은 내가 제일 좋아했던 사람이었다
10,칠월이가 너무 불쌍함 ㅠㅠ
9,칠월처럼 부모님말 듣고 정해진 틀에서 사는 사람도 있고소수이긴 하지만 안생처럼 정해진 틀을 깨고 자유분방하게 사는 사람도 있고... 누가 맞다고 할 수는 없지만 서로를 이해하는 과정이 아름다웠습니다
10,진짜 2017년 본 영화 중 손꼽히는 영화....배우들 연기도  좋고 푹빠져서 봤습니다.  그 시절 내친구가 생각나게 하는 영화
10,뭐라 표현해야될지 모르겠다. 너무 좋은 영화!!!
7,이안생의 연기가 멋졌다
10,"기다리던 첫 눈 같은 영화.  친구, 우정,  그리고 인생에 대해 다시 한번 생각케 하는 영화 였습니다."
10,뒤통수를 제대로 맞았다. 여자들의 우정을 그린 뻔한 영화일거라 생각하고 봤는데 몰입해서 끝까지 봐버렸다. 재미는 물론이고 반전에 감동까지. 주동우가 연기한 안생은 매력이 넘쳤다
10,알바로 취급 받기 싫어 10점 주고 싶지 않았지만... 그래도 어쩔 수 없다. 간만에 영화 같은 영화 봤네. 영화 너~무 좋다!
9,김건모의 잘못된 만남 생각나네요... 일편단심 칠월이가 너무 측은하네요..차라리 처음부터 안생에게 남자 친구를 보내고 새로운 다른 사랑을 찾았더라면..
9,안생의 연기가 너무 좋았다
10,우아.. 너무 좋아요 ㅜ 이런 배우들이 있다니... 오랜만에 깊게 빠져 봤네요. 꼭 보세요!!
10,인간의 감정이 우정과 사랑 딱 두 가지가 아니란 걸 이 영화만큼 잘 표현할 수 있을까? 칠월과 안생은 무지개의 스펙트럼처럼 무수한 감정들 중 임의로 이분해버린 우정과 사랑 사이의 어떤 관계를 증명하는 듯하다. 서로가 너무나 강렬한 소울의 메이트로서.
10,몰입감최고..마지막엔 여운이 너무 남아서 영화끝나고도 앉아있었어요ㅜ 여자친구들 사이에서 느낄수있는 사소한 감정들에서 더 나아가 난 어떤인생을 추구하는지도  생각해보게해준 영화 강추!!!
10,칠월을 가장 사랑한 것은 안생이 아니였을까
10,근래 이런영화는 처음이었습니다. 정말정말 좋았습니다 !! 영화관에서 나오는데 감정을 추스를 수가 없어 힘들었어요. 내일 다시 보러 갑니다...!!!
10,영화 보고 난 후 나는 그저 가볍게 친한 친구 밖에 안된다는 걸 느꼈어요~모든 걸 나눌 수 있는 영화 속 주인공들이 부럽고 슬펐습니다~
10,"섬세한 감정선을 따라가다 보니, 여운이 가시질 않는다."
9,"나의 칠월, 나의 안생, 그리고 나의 가명이 떠오르는 겨울."
10,이 영화 강추입니다. 너무 감동 있게 봐서 한번 더 보고 싶어요. 안센역의 조우동우의 매력이 대단하더라구요
10,친구에대해 생각해보게하는 영화
10,여성이 공감할수 있는 영화를 오랜만에 극장에서 볼수 있어 좋았다.
9,칠월과 안생 그들은 영혼을 나누었다
10,"나무를 보지말고 산을 보라는 말이 있듯, 로맨스를 보려하지말고 그들의 인생을 보아라. 이토록 멋지고 훌륭한 배우들이 이끌어낸 감정을, 음미하고 즐길 수 있길 바란다."
8,초반에는 안생이 가엾다 후반에는 칠월이 가여웠다. 두 사람의 마음이 같은 듯 다른 듯 본의 아니게 서로에게 상처를 주는 모습이 마음이 아팠고. 가명이 이 시끼야 왜 갈팡질팡해서 이 사달을 만들어...
10,안생과 칠월 그 둘은 끝까지 소울메이트였음
10,극장들은 반성 해야함...이렇게 좋은 영화인데..상영 시간이 평범한 직장인이나 학생들은 절대 볼수없는 시간대임..;;;
