score,reple
10,원작 만화책의 내용을 모두 스크린으로 옮기지는 않았지만 상당히 이야기 전개가 깔끔하고 연출이며 성우들의 연기가 자연스러워 좋았습니다. 특히 야시로가요. 마지막 OST도 영화와 잘 어울려서 여운을 잘 줬고 책으로 나온 뒷부분도 다시 영화화 해줬으면 합니다.
10,내용을 알고 있어도 스토리 흘러가는 거나 주인공들 이야기에 몰입할 수밖에 없었고 복잡한 사랑인듯 사랑 아닌 그 간질거림이 잘 드러나서 너무 좋았다 ㅠㅠ 그리고 야시로 행복하게 해주세요 제발 보는 내내 이 생각밖에 안 들어요 ㅠㅠ
8,마지막에 나오는 Ost가 좋네요 작붕이 있긴 했지만 얼굴이 참 잘생겼습니다
10,드씨와는 다른 연출방식이었지만 극장판 나름의 스토리 진행으로 보는데는 전혀 문제 없었다.오히려 시간에 맞춰 잘 편집한 느낌?^^야시로는 여전히 섹시했고 도메키는 더욱 우직해서 너무 좋았다.다만 작화가 가끔씩 무너지는게 보여서 그 부분이 안타깝긴했지만 그런 것들을 커버하고도 남을 작품이었다.2편도 개봉되길~
10,제가 엄청 좋아하는 작품입니다!!! 개봉 이날을 계속 기대하고 있습니다! 진짜 좋아합니다!성우들 도 그러고 OST도 그러고 완전 좋아합니다!!!
8,추억의 야오이를 극장에서 본 역사적인 날. 요즘 세대들 좋겠다. 앞으로 많은 BL물이 상영되길 바랍니다.
10,원작의 섬세한 스토리와 감성을 너무 잘 담아낸 극장판ㅠbb
9,"원작 모르고 오로지 BL물이 스크린에?! 이런 마음으로 보러 갔음.1. 관람 후 집으로 돌아가는 길에 전권 구매함2. 원작을 보고 나니 야시로의 행동이나 감정이 훨씬 더 잘 이해되었고, 도메키의 행동에 어떤 의미가 있는건지 이해하게 되어서 감동이 두배3. 작붕이 있으나 몰입에 방해되는 정도는 아님4. 음악을 너무 잘씀 엔딩곡은 가사까지 절묘해서 끝까지 듣게 됨5. 수위가 많이 높음 주의"
9,원작의 스토리에 충실한 영화임. 짧은 상영시간덕에  사전에 원작을 보지 않은 관객들은 스토리의 개연성이 떨어진다고 느낄 수 있을듯합니다. 하지만 그림으로만 보던 만화를 애니메이션으로 볼 수 있었다는 점..만화책으로 봤을때 그다지 와닿지 않았던 감정선이 애니메이션으로 보니 아..이게 이런 느낌이었나..싶은 부분이 분명히 있었음. 그리고 기대 이상의 OST
10,"원작을 너무오래전에 봐서 다까먹고 봤는데 너무좋았어요>< 영화관에서 우헣 싶은 장면이 많이 나오기는 한데(청불아님 큰일날 영화...) 스토리랑 연출, 오스트가 너무 아련아련하게 잘잡아준거같아요"
10,캐릭터들의 감정 변화를 눈동자로 잘들어 낸것 같아요 너무 좋았습니다 ㅠ 그리고 bgm이 전반적으로 너무 훌륭해요 ㅠ 나중에 따로 구입하고 싶네요 ㅠ 특전은 토요일에 봣는데 품절이라고 해서...아쉬웟지만 ㅠ 한번 더 보러 가기는 해야겟어요!
10,도메키와 야시로가 움직입니다 여러분..
10,짤린 부분이 많긴한데 원작을 읽어서 괜찮았어요 ! 배경이나 분위기 너무 좋고 야시로 성우분 연기 진짜 잘하시는듯 ㅋㅋㅋㅋ 많이들 보러가세요 ~~~~
8,
10,원작을 넘어선 저력이 느껴진다!
10,칼빵맞은 보스.... 무사하겠죠? 중간에 끊겨서 원작 살 생각이에요ㅠㅠㅠㅠ 하 우리 감자랑 보스 행복해야해
10,"원작을 보지 않고 개봉 첫날 영화를 봤고 그날 책을 구입하여 읽은 뒤 다음날 다시 보러갔습니다. 원작을 모르는 채  감상할 땐 주인공의 감정이 보이나 제대로 이해가가지 않았는데, 책을 본 후엔 각 대사가 깊게 다가왔습니다. 원작을 보고 가시길 추천드립니다."
8,코로나 때문에 늦게 나왔지만 재밌게봤어요
10,"정말 잘 보고 왔습니다. 중간 중간 잠깐씩 지나가는 연출들이 등장인물들의 감정을 응축시켜놓은 듯한 느낌을 받게해서 굉장히 좋았습니다. 엔딩크레딧에 나오는 OST도 영화의 분위기와 너무 잘 맞았고, 어서 이 여운이 사라지기 전에 원작 만화책도 다시 정주행하러가야겠어요."
10,낼 또보러갑니다 감사합니다
10,특전으로 류자키 그림 받아서 짜증났는데 영화보고 화풀렸음...
10,그냥 보는 내내 입꼬리가 안 내려갔어요 섹텐 빵빵 터지고 아주 굿잡! 제발 야시로랑 도메키 행복하게 해주세요ㅜㅠ 그리고 당연 후속편도 있겠죠..? 기대 합니다.. 이대로 끝날수는 없어요 진짜...ㅠ 그럼 저 울거예요..
10,원작 안보고 갔습니다. 첫 장면 나오자마자 책 다 사야겠다는 생각했음. 다들 원작 보고가서 스토리 이해 잘된다 그러는데 안봐도 어느정도 이야기 동선은 잡힘. 영화만 봐도 스토리가 얼마나 잘 짜여있는지 알겠네요. 책 기대된다ㅠㅠ
10,극장판을 처음으로 접했지만 곧 원작인 만화책도 사서 볼 예정 (´；ω；`) 야시로 사랑해 (´；ω；`)！！！！
10,"스토리 정리를 잘 해둬서 보기 편했음. 같이 간 사람은 원작 안 본 사람인데도 보기에 괜찮았다고 했고... 그래도 원작을 보고 이걸 보는 편이 내용 이해는 더 쉬울듯. 작화도 괜찮고, 성우는 드씨 때부터 굿굿이었으니 걱정 1도 안 했고. 영화 중간중간 나오는 재즈풍 bgm이랑 엔딩 테마가 작품의 느낌을 한껏 살려주는 느낌이라 좋았음. 다음편 얼른 내주세요 진짜 현기증납니다..."
8,작화는 조금 아쉽지만 원작의 감정선이 잘 담겼습니다 친구 두명한테 영업해서 같이 봤는데 OST가 너무좋다고 몇번이나 말하더라구요ㅎㅎ
10,원작을 안보고 관람했고 원작 본 다음 2차도 봤어요 야시로가 누굴 좋아하는지 아리까리했는데 이제 알았어요 원작 안보고 봤을때가 행복한거였네요 관계성이랑 여운이 오래가서 힘들어요
10,신가키상의 야시로는 꼭 극장에서 보셔야합니다 머리끝부터 발끝까지 목소리에 몸짓 하나하나 섹시함과 분위기가 넘치는 야시로와 무뚝뚝하지만 한 마디를 해도 멋진 도메키 이번편 잘 되서 꼭 !꼭! 다음편도 극장에서 볼 수 있길 바랍니다.두 번보니 감동이 두배 앞으로도 또 볼 생각이에요 쭈욱 5차특전까지 갈 수 있기를엔딩곡 모라토리엄 끝까지 꼭 듣고 나오세요^^
