score,reple
9,탄탄한 구성과 연출이 돋보인다. 대단한 이야기는 없는데 흥미진진하다. 심리 스릴러로 추천! 긴장감을 제대로 느낄 수 있는 영화이다. 긴장감의 정점을 찍는 편집으로 마지막 반전까지 굿!
8,오케이마담강철비반도다만악 같은 허접한국영화가 스크린 장악하고 있으니 이 명작을 못보는구나! 개쫄깃스릴러명작이다. 꼭봐라! 해외에서는극찬받은 작품이다!
10,폭발적인 극찬 세례로 유럽을 뒤흔든 헝가리 최고의 화제작!압도적인 긴장감 X 세련된 연출과 영상미 X 완벽한 연기 앙상블까지!3박자를 두루 갖춘 고품격 로맨스 스릴러로 8월 극장가 흥행 돌풍 예고!
10,주인공의 거짓말의 나비효과서스펜스가 후반부로 갈수록커짐
7,좀 황당한 전개지만 보기드문 헝가리 영화라 흥미롭게 볼 수 있었네요.
8,그냥 지루하진 않아요
9,지금 개봉한 한국영화들 2편보다 훨씬 재밌습니다
8,서스펜스과 반전이 돋보이는 헝가리 치정 스릴러.
6,소설가로 성공할 수있는 재능을 사기로 낭비
10,품격있고 우아하게 옥죄어 오는 힘이 대단하다!
8,가면 뒤에 감춰진 내면을 영원히 숨길 수는 없는법
9,부다페스트에서 시작해서 (오프닝부터 17분까지) 부다페스트에서 끝나는 <부다페스트 스토리>. 세체니 다리가 어디 나오는지 찾는 숨은 재미. 두 번 나옴.
6,그냥 헝가리라는 나라의 상업영화를 본 느낌... 지루하진 않아요. 근데 재밌지도 않아서 6점.
10,예상 가능한 부분이 많지만 그런 정석적인 로맨스릴러이기에 재미있는 아는 맛. 2차대전 직후의 헝가리라는 배경의 특수성을 아주 잘 살렸고 배우들 연기도 훌륭하고 스토리도 좋았습니다. 정말 정석적인 좋은 영화.
2,헝가리영화라 번역문제인지 스토리이해도 잘안되고 이해불가능한 불륜도 나오고 뒷부분은 뒤죽박죽인듯
8,재미있게 잘 봤답니다 ..
10,불륜의 끝은 불행 아니었던가
8,"반전의 연속, 예상한 것을 깨는 스토리"
7,#서스펜스 #킬링타임 #스타일리쉬 #범죄_네 개의 태그로 요약 가능. 철저히 장르에 충실한 건조한 감정선과 개연성 없는 장치와 전형적 캐릭터들과 과장된 연출. 하지만 가볍게 볼만한 자극적인 범죄치정극을 찾는다면 나쁘지 않을지도.
10,인간은 자신의 본성을 바꿀 수 없다. 다만 잃어버린 자신의 모습을 되찾을 수 있을 뿐이다.
6,내용 소개가 거의 스토리를 말해주는데 숲 속에 사는 미망인 치고는 너무 예쁜 배우가 나오고 한국 영화라면 더 무섭게 만들었을텐데 그렇게 안 간 게 천만 다행이었다.
8,"진실과 거짓, 두 갈림길에서"
10,극적이고 반전이 있네요
7,단순할 불륜영화인지 알았는데 가정폭력이라는 슬픈 내막이
7,단순할 불륜영화인지 알았는데 가정폭력이라는 슬픈 내막이
8,재밌게 잘 봤습니다.여배우가 매력적이고연출력이 좋네요엔틱스럽습니다.
8,좋았어요   전쟁후의 독특한사회상이네요
9,"전쟁의 상흔을 봉합하는 치명적 서스펜스 로맨스 , 몰아가는 연출의 힘이 대단하고 시원한 출구를 만드는 방식은 신선하다."
4,모호함을 주는 건 좋지만 너무 과한 전개
10,여자한테 손찌검하는 버르장머리는 절대 고쳐지지 않는다
7,이것이 왜 15금 민망한장면 나올 때 뒤에서 웅성웅성 사람이죽이고 꾸금장면도 나오던데우리나라께 강한게 많아서 약한치정스토리
2,아 내 만원... 평점 보고 간건데 반 절도 안 보고 나옴
6,일단 부다페스트 야경을 추억하고 기대하고 영화를보면안됨 배급사는 왜이딴 제목을... 그냥 헝가리 시골서 펼쳐지는 치정스릴러임 큰기대없이보면 나름 쫄깃하고 재밌음
