score,reple
10,"기자들 리뷰가, 특히 박평식 마저...너무 좋아서 궁금했던 작품. 근데 영화를 보고 나니 그 리뷰들은 이 영화의 진짜를 반도 담아내지 못한 느낌이다. 로레야 사랑해~!"
10,톰보이 너무 좋게 봤어요... 잔잔한 듯 하지만 감정적 스릴러라 불러도 좋을만큼 강렬하고 여운이 깊은 영화였습니다. 특히 로레에게 많이 공감됐어요.. 어릴 때 나에게로 돌아가서 이 영화를 보여줄 수 있다면 좋았을 거라고 생각하면서 크레딧이 올라가는 내내 울었습니다. 두고두고 꺼내보고 싶은 영화예요..
8,아이가 자신의 존재와 의미를 온전히 받아들일 때까지 어른은 어떤 자세를 취해야 하는가 생각해보게 된다.
10,파란색 원피스가 이처럼 폭력적으로 다가올지 몰랐다.
10,햇살처럼 따듯하고 상큼한 영화 . 요즘같은때 보고 힐링하고 싶은영화 . 내 청소년기 생각이 났어요. 그리고 부모님들도 보시면 생각할꺼리가 많은 영화라고 생각해요. 강력추천합니다
10,셀린 시아마 감독의 섬세한 시선이 담겨서 너무 좋았다ㅠㅠ
10,잔의 통통한 손이 카메라에 잡힐때마다귀여움에 죽을뻔함...두 자매의 매력.. 아이의 성장기..
10,로레건 미카엘이건 무슨 상관이겠어
10,"숨고 싶은, 숨기고 싶은 세상을 만든 어른 중 한 사람으로서 미안해."
9,와우 그들의 마음이 이렇게나 잘 이해되다니..
10,"아이들의 연기도, 영화의 색감도, 대사의 마디마디가 계속 생각난다. 여운이 깊다"
10,과거로 돌아가고싶을때마다 꺼내보고싶은 영화다. 어릴때 이영화를 봤다면 정신적으로 덜 외로웠을까.
10,"인생영화. 아직도 ost를 들으면 울컥한다. 로레가 행복하길, 여성들이 행복하길"
7,어린 아이의 순수함 때문인지 불편함 없이 볼 수 있었다.
10,어린시절 치마를 싫어했던 여자라면 모두 공감할수 있는 영화. 감동
10,믿고 봤고 당연하게 감동했다
10,"&#39;너를 사랑해, 언제나&#39;(엄마가 건넨 &#39;더 좋은 해결책이 있니?&#39;라는 질문에 대한 답이 이 노래의 구절이 아닐까 하는 개인적인 생각이 든다. 인간 그 존재 그대로의 모습을 인정해주고 바라봐주고 존중해 주고 사랑해줘야 한다.)10대 소녀의 관점에서 바라보는 우리 사회에 만연한 젠더 고정관념, 성 정체성, 모호성을 로레와 함께 경험하고 고민해보게 되는 시간아이들은 도화지인데 자꾸 거기에 색을 입히는 어른들 나 또한 부족하고 어리석은 사람이라  한 번 더 반성하고 성찰하게 되는 82분 러닝타임에 많은 이야기를 담고 있는 영화였다 로레야 행복해야해 그리고 우리 시대의 모든 로레들을 응원합니다"
8,로레이든 미카엘이든 그게 중요할까? 그저 그녀 자신일 뿐이다.
10,"동생에게 입덕했습니다,, 순수함 그자체의 아무 편견도 묻지 않은 아이의 시선"
10,아 진짜 간만에 좋은영화봤어요ㅠㅠ
