score,reple
10,ㅋㅋ혼자보구왔는데 세상이달라보이네 보고나면 길걷는것도 재밌고 그냥 웃음나오고 행벅함
10,말이 필요없다 진짜 실사화 제대로 해놨네 역대급임 진심 디즈니에서 일 제대로 함
10,야수의 선홍빛 잇몸미소가 아직도 눈에 선합니다 .
10,"시사회 보고 왔습니다 일단 역대 디즈니 실사화영화중에 역대급이라 할수 있습니다 노래, 영상미, 연기 모두 뛰어나고 CG가 너무 황홀해서 어릴적 향수를 그대로 충족시켜주는 영화였습니다 디즈니에게 다시 한번 박수를 보내게 되네요!"
10,예매 망설이신 분들 .. 그냥 봐요 두번 봐요 전 다섯번 볼테니ㅎㅎㅎ헿
10,벨캐스팅 잘한듯 야수도 귀여움 근데 왕자보다 개스톤이 더 잘생김왕자구림ㅋㅋ
10,원작미녀와야수와 많이비슷해서 보면서 어릴적 만화영화가 주마등처럼 지나가더라구요!!!♡♡소품디테일도 대단하고 배우들노래부르시는게 진심이담겨있고 가사하나하나가 정말사랑하는기분이들어서 감동먹었어요!!ㅜㅜ인생영화♡
10,미녀와 야수 스토리 안다고 생각했는데 왜 나 눈물남?ㅠㅠㅠㅠ 진짜 마지막에 울컥함 또봐야지
5,왕자보다 야수의 모습이 더 멋진 아이러니한 상황..
10,잊고있던 내 어린시절로 돌아간기분이다.동화같은 영화가 동화같았던 어린시절 기억을 떠오르게 한다. 정말 영화가 이쁘다.
10,르미에와 시계의 이별인사때 눈물 찔끔나오더라....
10,"진짜 동화를 보듯이 129분이라는 시간이 지나가고.. 역대 동화를 실사화한 영화중 단언, 최고라 할수있다.."
10,미녀와 야수 실사펀 넘 멋지고 한편에 뮤지컬 보고나온 느낌이에요
10,엠마왓슨이 라라랜드 포기할만도 하네
10,원작충실에 영상미가 너무 예뻤어요. 노래도 다 좋구!
8,브로드웨이 쇼 본 기분이였어요 ~~ 추천
10,재밌습니다. 원작느낌잘살렸네요.
10,두시간이 어떻게 갔는지 모를정도로 이영화의 아름다움에 매료되었다.
9,벨의 외모에 미쳐서 집중을 잘 못했다...
10,아이맥스로꼭봐야한다... 129분동안 어린시절 꿈속으로 돌아간것같았다. 정말 행복했다
10,아름답다아름답다
