score,reple
9,아비이기에 복수감이 차오르지만 또한 인간이기에 애처로운 너를 나는 용서한다.
9,갑자기 나온 엔딩 크레딧 때문에 너무 놀람. 관객을 그렇게 예민하게 만들다니..
9,다르덴 형제는 어디서 이런 기발한 소재를 찾아낼까?시종일관 인물의 뒤를 쫓는 핸드헬드 카메라가 불편하고 불안하고 쫓기는 심리를 잘 표현해 준다.
9,"다르덴, 경외심마저 느껴진다"
10,다르덴형제는 이미 나쁜 영화를 만들 수 없는 경지에 올랐다
10,요즘 영화들에서 좀처럼 만나기 힘든 순간.. 진심으로 감동받았다..
10,최근 다르덴 형제 작품에 푹빠졌다 로제타와 버금가는 감동적인 영화 추천드립니다
10,"결코 하나로 귀결되지 않는 인간의 심리, 지려버렸다."
10,"올리비에 구르메는 연기하지 않는 것처럼 연기하고, 카메라는 없는 듯 존재하는 마법같은 영화"
10,너무나 일상적이기에 그때마다 내뱉는 대사들이 마치 물가에 떨어지는 소리없는 바위같다.
9,그 깊은 통찰력에 감탄할 뿐.
8,다르덴 형제 영화는 한결같이 너무 좋다
9,그 어떤 감독보다 복잡한 심리를 가장 잘 표현하는 감독이 바로 다르덴 형제다...
10,카메라 앵글이 기교없는 오묘한 감정을 잘 표현해준다
8,"둘 사이의 물리적 거리는 4m11, 심리적 거리는 측정 가능할까. 나와 다른 곳에 두어 모르고 사는 것과, 내 곁에 두어 어떻게 사는 지 관찰하는 두가지 방법. 그 속에서의 선택."
8,이런 아픔을  본다는 자체 만으로도 큰 충격이며 상상 할 수 없는  일이다
8,저렇게 용서 할 수 있을까 죄의식조차 없는 저 아이를..저 상황이 너무 슬프구나
8,"완전한 용서도, 사과도, 화해도 없는 공존."
8,"용서와 살아감에 대하여. '살아남은 아이', '영주'의 한 뿌리거나 짙은 영감을 줬을 수작."
9,인간을 사랑한다는 게 무엇인지 알 수 있었던 고마운 영화였다.
10,삶은 고통스러운 기적.
10,다르덴 형제는 어디서 이런 기발한 소재를 찾아낼까?시종일관 인물의 뒤를 쫓는 핸드헬드 카메라가 불편하고 불안하고 쫓기는 심리를 잘
10,사람의 심리를 너무 나도 잘 표현한 영화이다.
8,아들 속편 나왔으면 좋겠다.
7,인간에 대한 용서와 연민은 어디까지 가능할 것인가... 인간의 감정을 온전히 표현하는 카메라 앵글이 인상적
7,죄의식조차 없는 아이.. 책임은 누구에게 있나?
10,존 크로울리의 보이A와 비교하는것도 좋을듯.. 넌 잭버리지보단 행복한 아이야..
9,"김기덕이 이 영화를 보고 피에타를 만들었나..,,?인간의 감정이 이렇게 복잡하다니, 말로 정확히 표현할수 없지만 온전히 이해할수 있을것 같다. 증오심과 연민이 뒤섞인 심리가 카메라안에서 폭발하는 듯하다."
7,"그에게 온 운명, 그리고 선택"
10,그 슬픔을 어떻게 하나의 감정으로만 설명 할 수 있을까. 주인공의 뒤를 지독하게 따라가던 카메라가 주인공의 앞을 비추며 말 없이 끝나는 엔딩의 전율.
7,약한 자일수록 상대를 용서하지 못한다.용서한다는 것은 강하다는 증거이다.
9,끓어오르는 분노 속에 애틋한 마음. 결국 용서 아닌 용서를 한 남자.
9,
10,하나의 감정도 쉽게 이해할 수 없으나 하나의 감정도 억지가 없다. 비약과 억지 감상으로 버무려진 영화와는 비교할 수 없는 깊이가 있다.
10,감상적 입양이 아닌 윤리적 입양을 모색하는 영화
10,오늘부터 다르덴 감독님들 팬임
7,"이런 독립영화 티 팍팍 나는 거 진짜 절대, 기필코 거르는데 다르덴만은 유일하게 예외다."
10,가끔생각나면 찾아보는 영화
