score,reple
9,"깊은 물 속에서 오직 소리에 의지해 발빠른 대처를 해야하는 긴장감을 최대한 유지하면서, 복잡한 ‘원칙’이 서로 부딪힐 때 발생하는 딜레마를 완벽하게 살렸다. 헐리우드식 연출이라면 영웅서사 특유의 감동에 방점을 찍을 부분에서, 프랑스 영화 답게 냉혹한 현실의 멜랑꼴리함이 더욱 강조된다."
9,긴장감 어마어마함 연애 장면은 불필요
10,잠수함에서 음파탐지분야가 얼마나 중요한지 알수있는 스펙타클한 좋은영화였습니다.디테일에 감탄하였습니다.1917보다 감동적이었습니다.
10,저 돈안받았고요 알바도 아닙니다이런거 처음적어보는데 정말 재밌었고 곧 예매순위 1등찍을거에요!강추드립니다~
10,잠수함 영화라는것만 알고 봤는데 생각보다 훨씬 긴장감도 넘치고 좋았다 ㅠㅠ 주인공이 소리 들을때 같이 숨참으면서 나도 집중하게 됨
9,머리채잡고 잠수함안으로 끌어들입니다; 몰입도랑 사운드 미쳤고 너무 재밌게 봤어요. 하지만 주제 자체가 무거워서 가벼운 오락 영화는 아니에요.
10,괜찮은 전쟁영화 신선하고 재미있다!
10,평점왜이럼?좆노잼조선영화보다 2000배낫다.간만에 즐겁게본 영화중하나.재밌어요
10,실제 핵잠수함이라니 촬영 섭외 어려웠을듯 작품성 있는 전쟁영화는 오랜만사운드 때문에 라도 극장에서 보삼 지금 사람 없어서 갸꿀
10,요세  영화솔직히볼거없잖아요ㅜ 이거보셈 재밋음 1917 이랑 이거보셈 나머지영화는 그닥...
8,"나만핵없써ㅜ우리만핵없어ㅠㅠ(징징) 중간에 통화연결음 나올때 진짜 두번다빵터졌다 대박ㅋ울프콜이 뭔지도모르고 그냥전쟁영화인줄알았는데 정말보길잘함 꿀잼 ㅠㅠ포스터가 넘재미없게 만들어짐,, 하지만 영화는추천! 모든전쟁은 나쁘지만 모든 군인들 대단함 멋져요 군인들 소모품같아 불쌍ㅠ 베드신과 여친은 굳이넣지않아도 될뻔 편집하는게 더매끄러울듯,, 영화재미있음 보세요"
9,생소한 프랑스 배경영화라 기대안하고 보러갔는데 고퀄리티라서 놀랐음 헌터킬러와 달리 바다에서 들리는 해저음으로만 이용하여 전개되는데 현실감 긴장감 박진감 전부 ㅎㄷㄷ함
10,"한국영화 감독들아 영화는 이렇게 만드는거다^^ 요새 3류영화들이 극장에서 판을치는시국인데...만족했던 영화는 인비저블맨, 1917, 울프콜 밖에 없는듯..."
10,재미없을까봐 걱정했는데 너무 재미있었어요. 다시 보고싶어요. 자극적이고 뻔한내용이 아니라 좋았구요 배우들의연기도 좋았어요. 계속 긴장감을 가지고 보게되요. 강추입니다.
10,바다속 심해가 너무 평온하게 느껴져마지막 씬에서는 잠시 바다에 눈을 감았네요.
10,연출력이 어마어마한 영화네요..강추입니다!!!
10,기대하고 봤는데 역시 좋았어요 좋은작품 감사해요
10,아빠랑둘이서전세내서봣어용굿~
10,밀리터리 매니아라면 거슬리는게 있을 순 있겠지만그렇지 않은 사람으로서는 핵 이라는 현실의 소재에 관한 선택의 딜레마를 매우 흥미롭게 그려내서 재미있게 잘 봤습니다.
10,숨죽이고 보게됨 진짜 내가 같이 소리를 듣는 느낌 그리고 배우들 감정연기가 대단함
10,"영화 시사회로 봤는데 정말 올해 가장 재밌게 본 영화(3월초까지)입니다. 영화는 헌터킬러와 비슷한 컬러의 영화이지만, 주인공이 총쏘는 군인이 아닌 울프콜을 듣는 군인이다보니, 긴장감과 몰입감이 장난아니게 좋습니다. 프랑스 영화라고 해서 반감이고 나쁜게 아니라는걸 잘 보여준 영화였어요. 중간중간 어뢰 쏘고 액션 나오는 씬 재밌고, 진짜 영화 재밌게 잘 봤습니다. 영화 한번 봐보시면 정말 후회 안하실겁니다!! 최근 영화 중 &lt;젠틀맨&gt;은 감독과 배우때문에 재밋게 봤는데, &lt;울프콜&gt;은 액션 + 스릴러 꿀잼입니다!!"
10,솔직히 기대안하고 봤는데 보는 내내 충분히 현실성 있는 내용이라 더 집중하고 보게 됐어요.  스토리 구성이 무겁긴 하지만 나름 괜찮고 볼 만 합니다.
10,재밌어요~ 계속 손에 땀을 쥐게 하는 이야기여서 지루하지 않게 잘 봤어요
