score,reple
10,프랑스 아기는 엄마~하고 울고 아빠~하고 운다
6,생각보다 야하네 작품성은 모르것다
10,야하지만 뭔가 좀 복고적인 예술느낌을 주는 영화.
8,조금은 진부하나 마리가 예뻐서 집중가능
8,엄 ~~~청 야해요보는 사람이 민망하네요전체적으로 볼만해요
7,불장난으로 시작해서 산불로 번지는 본능적 욕망
3,이 영화보고   확실히  알았다.난 역시 프랑스와 정서가 안맞는다는것을
10,모든 사랑은 잿더미로 끝나요
10,사랑하는것사랑하지않는것결혼하는것그러나옛사랑을찿는것사랑하지않는다고남편에게 고백하는것옛사랑을찿기위해그의누드모델이되는것옛사랑이그가데려온그의누드모델을 버리게하는것남편과살면서옛사랑의아이를낳는것옛사랑이떠나지못하도록동생을주는것이모든걸 한 여자가 공개적으로하는것
5,상황은 자극적이지만.. 영상과 연출은 평이하다.
4,처음부터 끝까지 홀딱 다 벗고 나옴...적나라하게 다 나옴....대낮인데 영화관안에 6070대 할배 및 50대 아재들만 있더군...난 중간에 나옴....재미없음...
8,팔기통!!팔기통!! 퓨리오사!! 기억할게~
