score,reple
10,썸머의 심리 버전으로 영화 나왔으면 좋겠다.
7,이렇게 여름(summer)이 끝나고 가을(autumn)이 온다
8,"톰이 파티에 가져간 선물이 건축책이 아니라 링고스타 앨범이었으면 어땠을까. 썸머는 톰의 관심사를 물어봐주고 관심갖으며 톰의 세계에 들어갔지만, 톰은 썸머의 세계에 한발자국도 내딛지 않았다. 썸머의 취향, 가족, 미래 등에 대해 물어보지 않았지."
10,"썸머가 결혼한 남자는 자신이 읽고있는 책의 내용을 묻는 , 자신이 좋아하는것에 관심을 보인 사람이었지"
9,"있지 톰, 썸머도 너를 많이 좋아했어. 그게 이 영화가 볼수록 마음 아플 수밖에 없는 이유야."
10,정말 좋은 영화. 설득력 있다. 운은 있어도 운명은 없다. 필연적인 결론 같은 건 지구상에 없고... 특별한 뭔가가 처음부터 정해져 있지도 않다. 썸머는 특별한 여자가 아니었던 것이다. 믿고싶은 것만 믿었던 것뿐
10,썸머는 톰과 헤어질 수밖에 없었다. 톰은 썸머를 자기방식대로만 사랑했으니까.
10,상황에 따라 내가 어떤 행동을 취하냐에 따라 우연과 인연이 만들어진다ㅎ
10,썸머는  결코나쁜여자가아니다.
10,이걸보고 어장관리 생각한 사람은 영화를 잘못 이해 했다. 반드시 다시 한번 보도록 하고 남자의 가치관을 여자에게 강제적으로 주입하려고 했으니 당연히 깨질 수 밖에 없다. 연애 초짜와 앞으로 연애할 사람들에게 과감히 추천할 수 있는 영화
8,썸머를 이해할 수 있어서 마음이 아팠다
9,톰은 운명이라 믿은 썸머를 알고 싶어했다. 썸머의 벽을 허물고 싶어했지만 그녀가 좋아하는 링고스타에 대해선 알려고 하지 않았다. 보는 내내 톰에게서 지나간 사람이 보여 마음이 아팠다. 몇 년 후 이 영화를 본다면 또 다른 의미를 찾을 수 있을듯.
9,"두번은 봐야 두 시점이 이해가 간다. 썸머가 나쁜년에서 외로운여자였음을 이해하는 순간, 가슴이 먹먹해진다. 톰이 조금 더 성숙했더라면..."
10,"처음 봤을 땐 이 여자 왜이래 했는데, 두 번 보고 나니 완벽 이해. 정말 괜찮은 영화. 추천."
9,썸머가 택한 남자가 궁금하네요
10,"나는 썸머이기도, 톰이기도 했다."
10,"썸머는 톰을 진정으로 사랑했다.사랑했기에 톰에게 건축그림으로 팔을 내주었던것이다.나중엔 마음떠난 썸머는 톰이 선물한 건축책에 별반응이 없던것이다, 톰은 자신의 세상에서만 썸머를 사랑하길바랬던것이다. 썸머의 세상을 무시한채"
10,세상 모든 남자들의 미숙한 첫사랑
10,썸머가 졸업을 보면서 왜울었을까ㅜㅜ 바보 탐...
10,"썸머의 입장이 백번 이해됐음. 초반부터 다가간것도 썸머, 톰 취미에 관심가져주고 맞춰준것도 썸머다. 이외에도 자잘한거 많음ㅠ 톰이 단지 좋아한다는 마음하나만 가지고 무슨노력을했지...수동적인 태도가 썸머를 확신없게 만든다. 인연도 노력이없음 말짱꽝!"
9,그래 내가 톰이었었다.
8,썸머는 무작정 나쁜년이 아니었다먼저 말걸고  다가가 키스하고건축꿈에 관심가져주며 팔뚝을 내어주고  용서를 빈 썸머와는 달리 톰은  읽고있던 책은 커녕 반복해서 링고스타 구리다고무시하고 선물로건축책주고 ..단편적인 거지만  자기중심적이었다는 걸 알수있음
9,썸머는 그저 사랑받고 싶었던 평범한 여자 였을 뿐.
10,"'처음 보면 여주를 욕하고, 두번 보면 남주를 욕하고, 세번 보면 나를 욕한다.' 실제로 그럼. 연애 실패자들에게 권함. 두번 이상 보길 권함. 그래도 모르겠으면 리뷰 찾아보길 권함."
10,"This is not a love story, but it 's all about love."
10,"영화를 톰의 관점으로만 볼 게 아니라, 썸머의 입장으로 보면 영화 내용이 완전 달라지죠.. 과연 썸머만 정말 나쁜걸까요..? 누가 사랑을 더 적극적으로 표현했는지..썸머가 왜 그렇게 지쳐했는지... 아무튼 이 영화는 볼 때마다 새롭습니다~"
10,아무나 썸머가 될수 없지... 하지만 누구나 탐이 될수는 있다
8,뒤죽박죽인 시간 구성이 정말 재치있다. 비단 이것만을 전하는 것은 아니지만 영화는 여름에서 가을로... 가을이 간다면 또 겨울이 올 것이라고 말한다. 이상적이고 낭만적인 사랑 이야기에 상처받은 사람에게 추천.
10,진짜 사랑얘기는 여기. 노트북같은거말고.
10,나는 '지금은 그냥 좋은 점만 기억하고 있는 거야' 라는 대사가 정말 가슴에 와닿았다. 그만큼 사랑과 이별을 섬세하게 다루려고 한 작품
8,상대의 취향에 관심을 가져주고 인정해주는게 확신을 주는 사람이 되는 비결
10,썸머가 떠난 이유를 알면 앞으로의 연애에 많은 도움이 될듯~
6,영화를 보고 뒷통수를 세게 맞은 듯 정신이 번쩍 들었다. 나는 뭣땜에 운명을 기대한 채 가만히 있었던 걸까. 결국엔 내가 움직여야 하는 것을.
8,좋지 않은 가정환경으로 남녀관계에 벽을 친 썸머는 그렇게 말하고 있으면서도 자신을 진정으로 사랑해줄 사람을 찾고있었다. 결혼한 남자는 처음 다가올때 그녀가 읽고있던 책에 대해 관심을 가져준 부분을 통해 대략 알 수 있다. 썸머의 운명은 이 사람이라는걸
10,운명은 노력하는 자에게 찾아오는 것
10,"처음 봤을 땐 톰의 입장으로, 몇 번 더 봤을땐 썸머의 입장에서. 결국엔 양측의 입장에서. 너무 사랑하는 영화 :) 주이와 조고레,분위기가 사랑스러운 영화. 나만의 취향일지는 몰라도 너무 좋아하는 영화"
9,이젠 남자를 만나면 이영화에 대해 어떻게 생각하냐고 물어볼것같다.
8,남자는 운명의 상대가 필요했다. 썸머가 아니라.
8,썸머가 천하의 몹쓸년이라는 댓글들을 많이 봤는데...오히려 톰이 그녀에게 사랑이 존재한다는걸 일깨워주지 못하고 항상 관계의 정의를 그녀가 내리길 바라며 소극적이었던 점이그녀를 잃은 이유인거같다
9,우리는 사랑에 있어 (운명적인) 대상이 가장 중요하다고 생각하지만 사실 우리는 사랑하는 방법에있어서 서툰것이다 그 자기중심성때문에. 나혼자만의사랑인 미성숙한사랑은 누굴만나든 서툴것이지만 조토끼는 한층더성숙한마음으로 여름을보내고 가을을 맞이할 것이야
10,박물관씬에서 정말 안타까웠다.. 썸머가 톰에게 전시품에 대해 설명을 하는데 &#34;관심을 안가질게 뻔한데 내가 왜 이런 얘기를 하고있지?&#34;라는 속마음이 표정에서 보였기 때문이다..영화 끝날 때까지 자신의 문제점을 깨닫지 못한 톰은 어텀을 만나면서바뀌게될까?
10,맞아 남자들은 그저 자신이 사랑하는것만으로 잘해준다고 생각해...자기중심적인 사랑
9,섬머는 탐의 관심사에 대해 알고싶어했지. 탐은 섬머의 집에 갔을때 수많은 그림들을 봤지만 미술관데이트는 금방 접고 영화를 보러가자 재촉했지. 자신이 좋아하는 미술관보다 탐과 같이 영화를 보며 더 즐거워하는 섬머. 섬머는 탐을 엄청 사랑했다.
10,이 영화를 보고 운명은 없다고 이해하면 안되요 영화 마지막 부분을 보면 알수있죠 여름 다음 가을이 오는것이요 이 영화는 운명이 없다고 말하는 것이 아닙니다 다만 운명은 자신이 만들어간다고 말하는거죠 영화 평론가들도 재대로 이해한 사람으로 안보이네요
10,"이별에 힘들어하고 있는 당신, 여러분, 나 자신에게 바치는 영화"
9,누군가가 생각난다면 순전히 우연일뿐이다.... 젠장 ㅋㅋ
10,"헤어지고 기차에서 먼저 다가간것도 썸머였고,톰이 읽는 책에 대해 관심을 먼저가져주고, 자기 팔을 내어주며 그려보라했지만 톰은 썸머가 좋아하는 것을 무시했다. 그런데 이 감정을 썸머가 한번이라도 말하였다면. 둘의 사랑방식이 달랐고 누구도 잘못하지않았다"
10,"팬케이크집에서 헤어진장면..썸머가 영화를 보고 울고 피곤하다고 집에가고싶다고 했지만 끝까지 톰은 팬케이크! 라며 썸머의 감정, 기분에 1도 관심 없고 팬케이크집에 데려갔기 때문이다.톰은 갑자기 헤어진거라했지만..갑자기 헤어진게 아니다.."
8,톰에게 실수가 있다면 시간과 애정으로 해결할 수 있다는 극히 보통 남자처럼 생각 한 부분이다. 여자들이여 정서적 공유 및 원하는게 있다면 돌려 말하지 말고 돌직구를 날려라. 말하지 않고 남자가 알아주는게 그의 센스며 본인이 존중받는 방식은 아니다.
10,"여자분들에게 단언컨데, 졸업이라는 더스틴 호프만 주연의 영화를 보고 이 영화를 보면 썸머의 마음에 동감할 것입니다. 하지만, 모든 남자들도 이 영화를 보면, 톰에게도 공감할 것입니다. &lt;특히 너, 나쁜 년&gt;"
10,너무나도 현실적으로 그려낸 영화. 바람피거나 이용당하지 않았지만 헤어진 솔로라면 나처럼 울고 있지 않았을까? 썸머의 결심엔 이유가 있으니까...
10,"영원히 고통받는 링고스타, 관계의 비밀 링고스타.. 그놈의 링고스타.."
9,상대방을 사랑하는 자신의 모습을 사랑한다는것이 어떤지 확실하게 깨닫게해주는 영화
9,"못난이들은 썸머를 욕할 줄만 알고 이해하려고는 생각 안한다. 그래서 네가 못난이다. 사람은 누구에게나 썸머일 때도, 톰일 때도 있다. 그것을 서로 이해하고 있어야 한다."
10,우연은 하늘이 만든다.                                       인연은 사람이 만든다.                                     필연은 노력이 만든다
8,새벽에 혼자 보면 재밌는 영화 중간중간에 개그 요소가 사랑스럽다
6,이 영화를 어장관리 하는 나쁜 여자의 이야기로 해석하는 사람들도 있는 것을 보고 깜짝 놀랐네요
10,여주인공 욕하는것들은 영화를제대로 이해하지못한것들이야...OO들.. 10점만점.
10,썸머는 사랑을 믿진 못했지만 사랑을 알고 있었다??진짜 사랑을 안믿는다면 어떻게 저렇게 사랑스러울 수 있을까또 어떻게 저렇게 상대방을 사랑에 빠지게 할 수 있을까 밷걸..
10,운명은 수동적인 것이 아니라 능동적인 것이다. 운명의 그(그녀)를 기다리는 것이아니다 운명은 만들어가는 것이다.그(그녀)를 사랑한다는 것은 그(그녀)의 모든것들을 사랑해준다는 단순하면서도 복잡한 진실을 설명한다. 결코 평범하지 않은 영화다.
10,톰과 소개팅했던 여자가 물어보지. 그여자가 바람폈나요? 당신을 이용했나요? 애인같은거 하지말자고했나요? 여자는 안다..
10,너한테 직접 할 수 없는 말 여기다가 쓴다. 내가 너무 내 방식만 고집했던거 우리 사귀고 있을땐 깨닫지 못했어. 이젠 다 안다. 내가 이기적이었다는거. 너 다시 돌아올 수 없는거 알지만 많이 좋아했던거 기억해줘.
9,몇년 후면 톰에게는 윈터와 스프링이라는 이름을 가진 여자친구도 생기는 것일까
9,팬 케익을 먹는 게 아니라 제대로 된 얘기를 나누자고 했었더라면...
10,써머는 성장부터 어둠을 가짐..그걸 노출하면 자기혐오..그리고 끝..써머는 탐이 못받아들일걸 알고 못들어오게 친구로 바리케이트침..탐은 그걸 마지막까지 모름..엽기적인 그녀 비극버젼이랄까..써머의 엽기와 일탈..전지현이 훌쩍 떠난후 전지현이 결혼한..
10,최고의 영화 우린 모두 사랑 앞에 초보일 뿐이다
8,이거 보고 썸머가 어장이니 썅x이니 하는 애들이 많은게 좀 이해가 안된다. 남자인데도 보는 내내 남주 떄문에 암걸려서 짜증나서 10점은 못주겠다. 여주는 남주에게 거짓된 말이나 행동을 한적이 없고 남주 혼자 자기식으로 해석하고 사랑을 요구한다
9,영화를  보면 카피문구가 이해된다 우린 모두 톰이였고 톰이고 톰이 되겠지
10,"아는만큼 보이고 보이는만큼 행복하다.성별 또는 가치관에 따른 사랑의 흐름이 세세하게 묘사된다.캘린더 배경등 주인공의 상태를 다양한 방식으로 표현하고,연관(또는 상반)된 상태로 편집하는 등 기법도 놀랍다.최고봉 러브액츄얼리와는 다른 로맨틱코미디의 진보!"
10,"대학교1학년때 이거보고  공감이 안가고 여자가 나쁜년이라고만생각햇는데. 4년후 다시보니 여자가 왜 떠낫는지 보인다. 톰의 행동과생각 모두 나와 비슷해서 더 마음이 아팠다. 나 자신을 돌아보게됏다. 헤어진 남자가 과연 나쁜놈이엇을까?,,"
9,너무 현실적이어서 아름다운 영화
10,마지막에 썸머와 톰이 얘기할때 톰의 &#39;넌 정말 니가 하고싶은데로 하는구나&#39; 말에 썸머가 지은 씁쓸하고도 어이없음이 보이는 표정과 자신이 읽고있던 책의 제목을 물어본 남자가 남편이 됐다는 그녀의 말이 이해간다면 당신은 성숙한 사랑을 하고있다고 생각합니다
10,제일 좋아하는 영화!! 정말 사랑이란게 이렇구나 싶다. 연애와 사랑에 대해 다시 생각하게끔 하는 영화!
10,나이를 먹을수록 톰이 아닌 썸머가 되어가는 나..
10,호구들을 위한영화. 본인이 호구타입이라면 2번봐라 꼭다시 봐라. 현재도 여자한테 푹빠져서 정신못차리는 OOOO들 3번봐라. 태생이 착한남자라 감정에 눈이 멀어서 어리버리한 남자들 4번봐라. 항상 어장관리당하는 새끼들은 5번보고6번봐라 니들을 위한영화임
7,썸머는 톰을 사랑했지만 그와 맞지 않음을 느꼈다. 톰은 사랑하는 사람을 위할 줄 아는 섬세함과 관점이 부족한 사람이었고 썸머는 미묘하게 어긋나는 그 느낌을 온전하게 사랑으로 감쌀 수는 없었던 것...
10,슬픈 장면이 아닌데도 보는 내내 눈물이 났던건 썸머의 마음을 너무 잘 알것같아서.. 외로웠을거야 분명
10,"아무리 좋은영화여도 두번다시 보지않고, 아무리 좋은영화라도 네티즌 평점을 남기지 않는 나지만 진짜 이건 진짜 내스타일....갑자기 이거 너무 보고 싶어서 다시 다운받는 중....진짜 짱이다...ㅠㅠㅠ...내가 제일 사랑하는 영화중 하나.....ㅎㅎ.."
10,여자를 너무 디테일 하게 그려냈다.. 여자란 동물.. 남자처럼 단순하지가 않다
10,이기적인 남자들에게 추천
9,우리  모두는 섬머를 사랑했다
8,썸머의 심리가 이해될듯 안될듯
9,이세상에 낚을 수 있는 물고기는 많다. 사랑에 빠지는 그순간부터가 특별한 것이지 처음부터 그사람은 내게 그이상도 그이하도 아니었다. 많은 것을 느끼게 해주는 영화인 것 같다.
9,"우연히 주어진 기회, 남은건 잡을것인가 말것인가 뿐.."
10,영상기법도 특이하고 예쁜영화. 여운이 남네요.. 썸머(여름)가 가고 어텀(가을)이 온다라... 사랑에대해 많은것을 공감했어요. 나도 저런사랑하고싶다ㅠㅠ 결말말고...
9,사랑할때보이지않는것들은 뒤늦게보이는법이지  브베연기잘한다
10,"이제서야 섬머가 내 눈에 보인다 또한 동시에 내가 그저 철없던 톰이었음을, 이 후에도 톰일지도모른다는것이 보인다"
9,나는 이 영화가 담고 있는 메세지들 중에 시점에 대한 것을 가장 크게 느낍니다. 썸머의 시점으로 바라보기를 시도하고 썸머의 표정과 행동에 집중하기 시작하면 이 영화의 모든 부분에 대한 이해가 달라지기 시작한다고 믿습니다.
9,리뷰를 봐야 제대로 이해함. 여자는 절대 나쁘지않음
10,식당에서 썸머가 영화 보러 가자고 무심한 듯 말할 때 톰은 뭔가 석연찮게 느끼죠. 그 때 썸머가 책을 읽고 있었어요. 관심 가져달라는 마지막 표시였을까요. 이쯤에서 썸머는 포기한 듯해요. 그래서 영화를 보고 나서 울고 싶었다고 말하는 것 같아요.
10,끝으로 갈수록 나의 이별장면이 보여서 너무슬펐다. 링고스타만 자꾸 생각나고..  섬머는 그렇게도 많이 관심을 보여줬는데 탐은.. 나는 왜 그 절반도 못해주었나.
9,"섬머는 멋있었고 톰은 찌질했다.. 그저 운명만을 믿으며 소극적으로 사는 남자, 자신의 가치관을 인정해주지 못하고 비웃어버리는 남자를 떠나버린 섬머를 이해한다."
10,한국 젊은이들의 사랑을 현실적으로 표현했다고 평가받는 &lt;연애의온도&gt;가 이 작품에 영감을 받은게 아닌가 생각이든다. 그러나 &lt;500일의 섬머&gt;에는 통속적인 재회의 드라마는 없다. &#39;여름&#39;이 지나고 &#39;가을&#39;이 올뿐.
10,배신당한 사랑이지만 후회하지 않을 수 있는 사랑.
10,연애의 무게를 재주는 저울같은 명작.
10,이거 하난 확신한다. 썸머를 쌰.앙.년.이라 부르며 평점테러 하는 남자들은 여알못이란거
10,여름가고 가을오듯 사랑은 운명.
9,넌 가을이 오기전까지 여름에는 한번도 먼저 다가가보려 노력한 적도 없어
9,썸머가 현실사회의 평범한 사람이라면?우리 사회가 사랑의 숭고함을 잃어버린 걸지도...
10,썸머의 남편도 어쩌면 톰이였었을까?
