score,reple
9,고독이 꼭 슬퍼야만하는건 아니죠
10,너무 사랑스러운 영화 ㅎ
10,감정을 어찌할 줄 몰라서 계획하는 여자를 어찌 안 좋아하겠어
10,사랑스러움의 끝
8,아주이쁜영화한편잘봤음
9,"이 세상에 작은 친절이, 관심과 애정이 얼마나 중요한가"
10,난 이 감독이 좋다
10,슬픔을 가진 사랑스런 아멜리에
8,"비현실적인 화사함과 발랄함, 그리고 사탕같은 달콤함. 그리고 그 속에 숨어 있는 쓰디쓰고 우울한 우리네 인생들을 부드럽게 위로해준다."
10,사운트 트랙이 어쩜 이리 영화랑 잘어울릴까.
10,영상 음악 배우 인생철학 등이 모두 좋은 영화 아멜리를 알게되어서 행복하다
10,영화가 끝날때까지 정성스러운영화
10,진짜 제일 좋아하는영화.몇번을봤는지 기억도 안날정도로 너무나 많이봤지만 절대 지루하지않고 한장면 한장면 버릴게없는영화임. 비슷한느낌의 영화를 찾아헤맷지만 아멜리에의 느낌을 따라올수있는 영화는없다.최고임!
7,사랑스러움 행복함 웃음짓게됨
10,"아멜리가 꿈속의 세계에 살고싶다면 그건 그녀의 권리야. 왜냐하면, 삶을 어떻게 사느냐는 것은 누구도 빼앗을 수 없는 고유의 권리이기 때문이지."
7,오랜 시간이 지나도 여전히 귀엽고 달달한 영화
7,사랑조차도 사색하는 깜찍한 프랑스인들.
10,심장이 터질 것 같아요. 너무도 사랑스러워서 미소가 줄곧 입에서 떠나질 않았습니다.
9,상처가 있는 사람들은 서로를 알아본다
4,대체로 거의 평점에 맞게 어떤 재미가 있던데 이 영화는 내가 이해가 안가는걸까 코드가 안맞은 걸까... 약간 의미불명의 영화였음...
7,너무 좋은 영화라는건 알겠지만... 제 취향은 아닌거 같은 ㅠㅠ
9,너무나 사랑스러운 영화라는 평에 깊게 공감한다~
9,"네 뼈는 유리처럼 약하지 않잖아,"
10,"감독이 왜 천재적인지 모를수가없었다.내내 코믹하다 끝에 요리하다 상상속 남자가 현실의 고양이로 매치되는 씬은 진짜..;르네의 그림과 티비영상으로 영화의중요메세지들을 전개하는 연출력이나,영화한가득 담고있는 사람과삶을향한 따뜻한메세지들 전부안좋아할수가없다"
10,진짜 농담아니고 유일하게 봐도봐도 질리지 않는 영화
10,시간 가는 줄 모르고 봤어요..정말 정말 매력적이구 행복해 지는 영화...♡!!!!
10,"명작.. 2000년대 열 손가락에 들어갈만한 명작이다. 깜찍한 외모의 오드리 토투와 화려한 카메라워크와 특수효과, 재치있는 각본과 설득력있는 스토리들은 지금봐도 재미와 감동을 안겨준다."
10,동화한편을 본것같아요 사랑스러운 오드리토투에 빠져드는 영화
10,두고두고 보고 싶은 사랑스런 내 고독의 여친이 생겻다
10,"갠적으로 20대에 봤을땐 아멜리에의 사랑이 중점으로 보였다면, 30대에 봤을땐 주변 인물들의 인생이 보였다. 공통점은, 사랑을 발견하고 쟁취해내는 아멜리에가 부럽다는 것..."
5,사랑스러운 영화인건 알겠는데 사랑스러움에서 멈춘 영화.평점이 높아서 기대를 하고 봐서 그런가 평소  잔잔한 영화를 좋아하는 데 별로였음..
1,개인적으로 어디가 사랑스럽다는 건지 이해할 수가 없었다. 어찌저찌 결말까지 봤지만 지루한 느낌이 중간중간 드는 건 어쩔 수 없었다.
10,사랑스러운 아멜리에입니다
9,이렇게 괴짜같은데 예쁜 영화는 처음 본다
10,정말이지 내 가장 사랑스러운 영화. 오드리 토투와 아멜리 뿔랑의 완벽한 싱크.
10,신기하고헷갈리지만다알게되는영화
10,친구가 떠올랐던 한편으론 슬픈 영화
10,프랑스영화들은 왜 다 분위기가 비슷하지? 다 같은 감독이 만든 것 같다 유치하고 소소하고 철학적임 일본영화같기도 하고 일본인들이 환장할 거 같은 영화‥ 근데 일본영화의 작위감은 안느껴져서 좋다 재미와 영상미 모두 10점인 영화
8,레몬트리 노래 생각나.
5,음....뭐....개인의 취향이니깐....ㅎ...
10,나는 누가 뭐래도 프랑스 영화를 사랑한다. 문학 작품도 애니도 영화도 왜 프랑스여야만 하는지를 아멜리에가 정확히 짚어준다.  그녀는 알고 우리는 모르는 것들
7,이영화 보니깐 사랑하고싶다.
10,관계에 서툰 여자가 우연과 사소한 변화 속에서 인연을 만나게 되는 굉장히 귀엽고 사랑스러운 영화. 외로워보이지만 쓸쓸해보이지 않는 영화. 주인공의 매력에 빠져 헤어나오지 못하고 있는 1인 입니다^^사랑이 시작 되어도 일상은 유효하다는 메세지를 던진다.
9,"오드리 토투에게 한동안 헤어나오지 못했던 영화. &#39;프랑스 다움&#39;이 무엇인지는 모르겠지만, 가장 프랑스답다는 평을 듣기도 하는 영화. 잔잔하지만 유쾌하고, 독특하고, 다채롭다! 즉석사진기에서 나도 4장짜리 사진을 남기고 싶은 날이다."
10,용기를 내어 문을 연순간 내가 아멜리에가 된 듯 두근거림을 느꼈다.
1,호불호가 갈릴듯..??
4,"영화 특유의  분위기, 여주인공이  사랑스러웠다근데 너무 심각하게 지루함 으으"
10,"초딩때 봤을때도 재밌었는데서른되서 다시보니 눈물도 나네 . ,"
10,당신이 없는 오늘의 삶은 어제의 찌꺼기일뿐
9,사랑스럽다. 영화가 안끝나길 바랐다
10,"정말 좋아하는 영화 ,높은 평점에  비공감 누르고 다니는 사람들 이해 안감 ...."
1,헐..waste of time.끝에가면뭔가나오겠지라고생각하고보고계시는분들안나와요그게그거
1,졸라 지루한건 둘째치고 난 이영화보고 프랑스영환 전부 거부감든다. 얘네들 좀이상해
8,작전을좋아하는 사람은용기가없는사람.
2,나는 왜 재미가없지 10년뒤에 다시봐야지
9,사랑스러운 오드리! 이런분위기 너무 좋습니다
10,2005년엔가 보겟다는걸 이제야봤음ㅜㅜ  정말 산뜻한영화에요
7,독특한 방식으로 인생과 사랑을 이야기하다..
5,4차원.
10,내 마음의 안식처 슬플 때마다 찾게된다
9,평점이 9이하라니 말도 안된다.
10,처음봤을땐 정신이 하나도 없었는데 두번째보니한 장면 한 장면이 다 버릴게 없고 ost도 너무좋고 스토리도 너무 좋은 영화 고독속에서 자랐어도 사랑을 나누어 줄수있는 아멜리에 같은 사람이 되고 싶다
1,언제 흥미로워지나 기다리다 끝남. 최악. 평점 이해못함 이게 우리나라 네티즌 평점?
1,"도대체 왜이렇게 평점이 후한거야!! 우엑 진짜 내스타일 아니다..ㅡ,.ㅡ"
10,당신이 없는 오늘의 삶은 어제의 찌꺼기일 뿐
10,언니 제가 진짜 사랑해요
8,쓸데없는 야한 장면들만 빼고 15세 관람으로 낮춰도 충분히 괜찮을거같다
9,사려깊은 아멜리에. 동화같은 이야기
10,행복도 열망해야 하는 것
9,왜 이걸 지금 봤는지...미소가 절로 지어지는 사랑스러운 영화.
8,이런 식으로라면 인생 예찬도 좋다.
9,사랑스럽기만  할거라는 생각과 달리 무거웠고 외로웠고 슬퍼보였네요. 그래도 아멜리에 나름 유쾌한 삶에 웃음이 지어졌던 영화.
8,가슴 따뜻해지는 영화. 아멜리에가 나와 비슷한 면이 많이 있어서 어느 정도 공감이 갔던 영화. 감독의 연출력이 돋보였음..
10,전철역의 즉석사진기가 다르게 보인다
10,"행복은 주는만큼돌아온다. 아멜리에가 장님분도울땐 정말많은것을배운..우리가 가슴속에 지니고있어야하는 배려와 기적, 당연한메시지를 독특한 모습으로 담은 어른동화같은 환상적 영화. 순간의 사랑보다 확신이드리운 사랑은 더욱 가슴벅차게 다가오는듯"
10,눈에서 하트가 나올 것만 같아요..
10,세상에서 가장 사랑스러운 오두리또뚜
10,"스토리, 영상 뿐만 아니라 사운드트랙까지도 사랑스럽다. 아멜리에게 푹빠지게 되는 신선한 달콤함!"
10,여배우 완전 예뻐 ㅎㅎㅎㅎ
10,보면서 또 보고난 후 가장 행복했던 영화.
10,대체 이영화가 불러다주는 좋은 에너지를 어떻게표현해야할까
9,사랑하고 싶게 만드는 영화네요
7,무엇을 말하려고 하는 지 모르겠다. 장면들은 좋았다.
2,도대체 뭐가 재밌다는거지
1,마츠코같은 느낌을 기대했다가 낭패
9,"독특하고 재치있는, 프랑스스러운 감성이 뛰어난 영상미와 OST에 담겨있다. 영화보다는 예술 작품에 더 어울린다."
7,고독에서의 해방들
