score,reple
10,호평일색인   내일을 위한 시간 영화 좀 보자 상영관  좀 줘  .. 쓰레기  기업 씨제이 롯데  처 망해야 하는데  ㄴ ㅁ
9,치토스에 길들여진 우리에게 아이비를 맛보여주다.
8,알량한 힐링이 아니라 추운 현실에서도 존엄 찾기
9,"현실의 불행이 삶의 행복을 만들 수도 있다는 것. 그러나 이 삶의 역설은 거저 주어지는 게 아니라, 우리가 잘 싸울 때 얻을 수 있는 것."
7,다른점들은 다른 분들이 다 써주셨으니 저는 이 말을 꼭 해야겠습니다. 남편이 진짜 벤츠남입니다. 대박멋짐
9,산드라는 자신에게 던져진 가혹한 현실 앞에 내 일(my job)을 위한 시간이 간절했다 그 시간은 결국 그녀의 내일(tomorrow)을 위한 시간이기도 했으니까..꼬띠아르 연기는 산드라 그 자체.
10,&lt;카트&gt;가 좋은 영화가 아니라 잘못된 영화임을 알게해줬다. 노동자는 약자가 아니다. 우리 자신이다. 노동자를 약자로 규정하는 순간 상위와 하위 계급으로 나뉜다. 다르덴은 우리 모두는 동등한 존재인데 차별 받을 수도 있음을 알라고 말한다.
10,"여보, 우리 잘 싸웠지? 나 행복해.대사 한줄에 요약된 영화의 주제, 감독의 메시지 그리고... 내일도 이어질 우리의 삶."
9,여기나 거기나 같다는 사실과 명배우가 이런 영화에 출연하다니 놀랍다. 그래 잘 싸웠소. 힘들지만 포기하지 않고 잘 싸웠으니 결과에도 불구하고 후련하다.
10,"그러니까 인생에서 제일 중요한 것은, 용기. 용기. 그리고 용기."
7,리얼함이 배경음악 대신 깔려 있다
9,정말 잘 만든 영화.. 공동의 니즈에 개인의 특별함을 너무나도 진지하고 세련되게 담담히 풀어낸... 프랑스 인들의 정서가 아주 잘 묻어난 참 괜찮은 영화
9,삶은 결과보단 과정속에 배우고 성숙한다는 교훈을 우리들 가슴속에 아로새기는 영화. 음악을 배제하고 간결하게 건조함을 표현한다. 타인의 삶속에 위안받고 힘나는 영화입니다. 꼭 한번 보시길!
9,할말 다하는 프랑스 영화. 주인공부터 주인공을 문전박대할 수밖에 없는 친했던 직장동료끼지 공감 안가는 등장인물이 없었다.
10,인물을 욕할 수 없으니 이 상황을 욕할 수 밖에..
9,"덤덤하지만 큰 울림을 주는 영화. 나, 너, 우리 그리고 사람이 제일 중요하다는 것.."
9,그녀가 용기를 낼수있었던 가장 큰 이유 남편이 있었기때문이지 않을까 옆에서 화한번 안내고 부인을 위해 헌신하는 모습이 인상적이었다.
8,마지막 장면에서 주인공의 발걸음은 전혀 무거워보이지 않았다.
9,인간에게는 돈 보다 더 중요한 그것이 있다. 그것은 양심과 인간성에 따라 사는 것이다. 영화를 보고 나면 왜 영화제목이 <내일을 위한 시간>인지 알 수 있다.
9,"똑같이 여성노동자의 실업위기, 노노갈등 등의 주제를 다루더라도 [카트]같은 영화보다는 몇 급수 위의 영화다."
10,싸움을 시작할 때는 혼자였지만 싸우고 나서는 더 이상 혼자가 아니다. 우리는 혼자가 아니다. 분쟁과 연대의 영화. 참으로 동시대적 영화.
7,인간의 욕심과 이기심 사이에서의 동정심과 이해를 느낄 수 있는 영화이다마지막 장면에서 주인공이 남편과의 통화를 통해 스스로를 다지며 웃으며 걷는 장면이 기억에 남는다
10,사람 살이가 그렇게 멋지진 않지만... 그렇게 사는 거겠지
8,"과연 나라면 어땠을까. 그 답은 그 상황이 눈앞에 놓였을 때야 알게 되겠지만, 왠지 예상되는 나의 모습. 마치 숨겨놓은 본모습을 다르덴 형제가 벌거벗겨 놓고 따가운 시선으로 쳐다보는 듯했던 부끄러움의 95분"
9,자신의 행복을 위해 남의 행복을 희생하는것에 법률적 책임을 물을 수 없을때 윤리적으로 어떤 선택을 해야 하는지 생각해보게 하는 영화같아요.. :)
9,자본주의의 민낯을 차분하지만 집요한 카메라로 뒤쫒는다. 주인이 던져주는 뼈다귀에 붙은 살코기를 위해 서로 물어뜯는 개처럼 그들의 아니 우리의 모습이 서글프다. 냉엄한 현실을 꼬집으면서도 한가닥 온기를 남겨두는 감독특유의 위로가 와닿았다.
7,그야말로 멋진 싸움을 치르고 떠나는 뒷모습을 아쉬운듯 위풍당당하게 잡아내는 카메라
8,저 여자는 앞으로 못 할 일이 없을거다. 제일 중요한 용기와 친구들을 얻었으니. 누구나 힘들고 이유있는 선택이지만 돈이 필요치 않은 서민이 있나. 그래도 나는 굶고 있지 않다면 백이십만원에 옆사람 직장 뺏지 않고 편히 잘란다  나의 일이 될수 있는데
8,현실성있는 영화. 그 만큼  '그럴  수 있어 ... 그럴  수도 있겠구나' 라고 몇 번을 되새기게 만든 영화.
8,"냉정한 사회, 닥친 시련 앞에 자기 자신을 이겨내고 후회없이 싸운 그녀에게 박수를 보낸다."
9,미련없이 맞섰으니 후횐없다 ... 근데 저런 남편이 있다면 실직해도 평생 행복할듯
10,우리는 아직 싸울 수 있다.
8,나도 마지막에 그렇게 할 수 있을까
9,"미드나잇 인 파리의 그 매력적인 배우가 이 영화 주인공인 줄도 모르고 봤다. 아주 예쁜 일반 직장인인 줄 알았다. 너무 리얼하게 현실을 그려서 답답해 미치면서도 숨죽이고 봤다는... 아 너무 리얼해 리얼해. 옆집 남자, 우리집 얘기야!!!"
9,새해 첫 영화로 더할 나위 없었다
10,존엄과 품위를 갖추고 뚜벅뚜벅 걸어가는 그녀의 마지막 뒷모습.... 전혀 쓸쓸해보이지 않는다. ND
10,세상에 남편이 살아있는 부처야ㅠㅠ 저런 남자랑 결혼하고 싶다 저런 남자 정말 있나요? 너무 착하고 속깊은 애처가 그리고 영화 결말 너무 맘에든다 슬프지만 현실적이고 아름답다
9,"보는내내 마음이 불편했다. 희망과 용기를 말하려고 하는것 같은데도 끝나고 나니 마음이 더 먹먹해졌다. 그런데, 반드시 봐야만 할 영화"
10,정말 좋은영화한편 봤습니다. 마지막 사장의제안 때문에 천국과 지옥을 왔다갔네요. 자본주의 사회의 쓴부분이니 누구를 원망할수도 없는거겠지요. 여주가 싸워낸시간동안 삶에대한 용기를 얻은것이 좋았습니다.
10,"삶에 대한 진지한 고찰, 역시 다르덴 형제다"
10,'우리 잘 싸웠지...?'
10,"'내 일'이 아닌 '내일'을 위한 선택과 함께한 사람들.... ""나는 행복해."""
10,영화 너무 좋았습니다 여배우가 매력적이에요
8,선택 하나가 사람을 살리고 죽이고.. 혹독한 자본주의 재난 속에서 인간이 제 존재를 확인받는 방식
10,우리나라에서는 절대 다룰수도 없고 주목받을 수도 없는 진실된 일상. 단순히 보너스와 일자리에 관한 이야기에 그치지 않고 인간 본성과 우리의 미래까지 담은 독립영화계의 인터스텔라 같다
10,"영화 보는 내내 내 가슴은 울고 있었다. 내 가슴이 흘린 눈물은, 상업영화에서 억지로 인공적으로 쥐어짜는 눈물이 아니라, 우리의 현실을 적나라하게 보여주는데서 오는 분노와 슬픔과 공감의 눈물, 건강한 눈물이었다. 내가 산드라이고 당신도 산드라다."
8,모두가 한번쯤은 꼭 봐야될 영화같아요.
8,나약하지만 또 나름대로 끈질긴 인간의 모습을 그대로 보여주는것 같다.
8,나라면 어떤선택을 했을까
9,"남을 해고시키고 복직할 순 없어요.. 여보, 우리 잘싸웠지?.. 나 행복해"
10,살면서 우리가 지킬수있는 존엄이 무엇인지 보여준다. 마지막에 그녀의 미소는 정말 행복해보였다.
10,외면하지 않고 바라보기가 이토록 힘들다니.
9,다르덴의 윤리심리학 카메라
10,다르덴 형제의 영화는 늘 우리 일상에서 겪을 수 있는 순간에 우리가 할 수 있는 작은 결정과 그럼에도 불구하고 큰 의미를 부여할 수 있는 시각을 보여줍니다. 이번 영화역시 그래서 참 좋았습니다. 마리앙 꽁띠아르의 섬세한 감정선이 금상첨화!
7,우리 나라에서도 이런 영화들이 많이 나오면 좋겠다. 대화와 합의를 통해서 문제를 해결하고 양보도 하는 문화 자체가 아니라서 힘들겠지. 마리옹 꼬띠아르는 이런 역할을 해도 매력적임.
10,도대체가 영화를 볼 데가 없네요.
9,"나에 대해 돌아보게 만든 영화살면서 난처한 부탁을 해야할때, 또는 받았을 때 이 영화를 떠올리며 부끄럽지 않은 선택을 하고 싶다."
10,"내일을 위한 치열함과 누군가를 위한 단호함이 인간의 존엄성을 만든다. 그건 결코 착한 척이 아닌, 우리가 인간다운 삶을 살아갈 수 있게 만들어 주는 기쁨!"
