score,reple
10,"줄리엣 비노쉬 연기, 그녀의 눈빛 호흡,  당분간 잊지 못할 것 같다"
10,언제나  느끼지만 줄리엣 비노쉬는  고통과 절망의 얼굴을 아는 배우다.
10,배우들의 연기와 구성력이 일품이였습니다
10,왜 줄리엣 비노쉬 하는지 알겠는 영화네요. 소중한 것을 잃어본적 있거나 그리워해본 적 있다면. 심히 공감!
9,"어둡고 지루한 면도 있지만 독특한 화면기법과 영상미, 배경음악이 조화롭게 잘 어우러져 잔잔한 감동을 준다. 특히 줄리엣 비노쉬의 웃는듯 슬픈듯 알수없는 묘한 눈빛연기는 일품! 사랑하는 누군가를 잊지못하고 기다리는 시간이야 가장 가슴아프고 먹먹한 일.."
9,그녀안의 고요한 슬픔과의 전쟁.. 악소리 한번 내지 않는 그녀의 모습이 더 현실적으로 느껴졌다. 영화를 보는 내내 독특하고 아름다운 미쟝센에 감탄했다.마음이 너무 아파 크레딧이 올라가는 걸 멍하니 바라봤는데 결국 극장문을 나설 때 까지 눈물을 흘렸다.
9,어머니와 성모 마리아의 간격은 얼마일까 - 씨네21 이용철- 그녀의 기다림을 누구도 끝낼 수는 없겠지...
10,아름다운 화면과 음악!!ㅠㅠ넘 좋았어요~
7,잔잔한 슬픔이 뭔지를 알려주는 줄리엣 비노쉬의 슬픈 눈빛..
8,고요하고 묵직한 슬픔..
8,줄리엣 비노쉬의 절제되어 있으면서도 완벽한 연기가 압권. 스토리가 있는 건 아니지만 단지 그녀 하나로 충분하다.
10,기다림과 소중한 존재의 부재를 다시금 확인했다
10,정말 매력적이다...
9,"표정연기, 분위기 몸짓 다 너무 좋았습니다. 섬세한 영화를 볼 수 있어서 좋았습니다."
9,줄리엣 비노쉬의 감성적인 내면연기와 아름다운 풍경
10,"잔잔하지만 놓칠수 없는 긴장감, 점점 끌어당기는 몰입도, 뭐라 형언하기 힘든 엔딩. 영상 - 전개 - 결말 모든게 자극적이었다. 온 신경을 날카롭게 서게 만든영화. 잊을 수 없지만 잊은척 하며 살아가는 첫사랑을 들추어내 후벼파는 영화."
10,진짜 그 어디서도 볼 수 없었던.. 아름다운 영상들과 명불허전 줄리엣 비노쉬의 눈빛 연기! 진짜 빛이 났다!!ㅠㅠ
10,"빨간드레스의 여주, 공항사진 등!! 이미지만 보고도 굉장이 기대가 되었었는데 영상으로 본 배경들과 주인공들의 열연! 그리고 음악까지... 3박자가 모두 완벽하게 갖춰진 영화였어요!!"
7,당신을 기다리는 시간...
7,줄리엣 비노쉬 연기 쩐 다! 어쩜 그렇게 매혹 적일 까...
10,욕조씬에서 보여준 안나의 표정을 잊을 수 없다.
7,사람을 잃은 상실감을 느끼다.
10,돌아올 수 없는 사랑하는 사람을 기다리는 사람의 심정
10,비노쉬의 호흡을 끊지 않고 담아낸 것만으로도 연출은 제 몫을 다했다.
10,줄리엣 비노쉬 표정으로 모든 감정이 느껴지네요.
10,줄리엣비노쉬의 연기는 연기라 부를 수 없다. 그 자체니까
6,같은 상실을 받아들이는 두 여인.
7,내내 조마조마하고 끝내 마음이 아프다.
6,두 여배우의 감정 연기 대립이 거의 스릴러급
10,복잡한 감정의 표현이 뛰어난 영화! 아니 배우?
7,괜찮은 영화네요. 편안히 볼 수 있는...
8,광활한 풍경이 압도적인 분위기를 준다.
9,그냥 지루한 영화를 못느끼게 할정도의 연기였다.
7,줄리엣 비노쉬의 연기만 생각난다.. 그의 아들은 죽은 것인가??
10,진짜...줄리엣 비노쉬 그...뭔가 아련한 표정이란...크게 특별한 내용은 없을지 모르지만...그 자체많으로도 정말 많은 내용이 담겨 있는 영화였습니다.
9,삽입된 음악이 장면에 잘 어우러졌던것 같습니다. 세상에 녹여들지 않는 내 믿음과 내 마음도 거짓이라 억누르지 않아도 된다는 위로를 얻었습니다.
