score,reple
10,하....루리웹 분들 별점테러 그만하세요...
10,루리웹분들 평점테러 그만해주세요 ㅠㅠㅠ
7,루리웹 회원님들 ㅠㅠ 제발 평점테러좀 그만해주세요 ㅠㅠㅠ이게 정말 옳은 행동인가요? 말투보니깐 야구갤러리를 가장한(?) 루리웹 분들 같은데 정말 더러운곳이네요
10,"루리웹에서 좌표찍혔네요 여기 별점테러하라....루리웹분들, 그만해주세요"
10,별점 10점 괜찮겠습니까? 예아 안될거 뭐있노
10,실화기반인데 반응이 왜 이렇죠? 꼭 어디서 몰려온것마냥.. 찔리시나봅니다. 영화 &#39;69세&#39;를 판타지 취급하는 1점 리뷰들이 이 영화에 대한 가치를 반증하는군요. 소외된 노인 여성 대상 성범죄를 조명해주는 69세를 응원합니다.
10,행동하지 않는 양심은 악의 편입니다 여러분!
10,루리웹 새x들 일베놈들이랑 하는 짓이 똑같네 ㅋㅋ리뷰테러하는거 봐라
10,여기 댓글들이 영화가 하고자 하는 얘기가 아닐까...이렇게 현실적일 수가
10,루리웹분들 별점테러 그만하세요 제발...
10,루리웹에서 오신 분들 자중해 주세요 부끄러운줄 알아야지!! 감독님께서 칼럼 읽고(감독님 인터뷰 출처) 영감을 받아서 만든 (사실상)실화기반 영화인데 허구라니요!!
10,여기 댓글만 봐도 여성의 대한 시각을 알아차릴 수 있다. 나이든 여성이 성폭행의 대상이 되지 않는다는 착각을 댓글에서도 널리 볼 수 있다. 자살한 여자 노인의 시체에 시간을 했던 남자청소년의 성범죄 사건을 잊지 못한다. 그리고 난 이제 이 영화의 댓글들도 잊지 못하겠지...
10,여기서 69세가 무슨 성폭행을 당하냐는 당신같은 사람들때문에 이런영화가 만들어지는거예요실제로 작년 평택에서 30대남성간호조무사가 60대여성 강간했는데 되려 피해자가 꽃뱀으로 몰렸어요 끝내 피해자는 투신자살했고요.본인이 안겪었고 겪을 일 없으면 답니까? 언제부터 성폭행문제에 관심가졌다고 보지도 않은 영화에 별점테러ㅋㅋ부끄러운줄 아세요
10,"실제로 성폭행 피해자들 중 60대 이상의 피해자가 적지 않은 것으로 알고 있습니다. 어떻게 보면 외면하고 싶은, 불편할 수도 있는 이야기를 소재로 한 좋은 영화입니다."
10,루리웹 여러분 평점테러를 그만두세요
10,평점을보면 왜 이영화가 나왔는지 알수있다
10,"예수정배우님의 깊은 연기가 너무 인상깊었습니다 . 보는 내내 많은 생각이 들었고 여운이 오래 갈 것 같습니다 ,"
10,"매번 일부 한국 남성들의 지적 수준에 깊이 충격받는다. 영화를 보지도 않고 이게 &#39;나&#39;를 향한 공격이라는 비이성적인 감정에 휩싸여 페미들이 어쩌구저쩌구 온갖 곳에서 떠들어대는데, 1호선 광인이 저럴까? 자기들 꼴이 얼마나 추한지 그리고 정상적인 한국 남성들이 자기들 때문에 얼마나 피해입는지, 쪽팔려하는지 알긴 알까? 모르겠지...."
10,가해자에 감정이입하는 평점이 꼴보기싫어서 남깁니다. 인간다움에 대해 논하는데 왜 가해자의 입장이되어 분개하나.
10,눈에 보이지 않는다고 없는 일이 아니다
10,좋은영화입니다.뭐가찔려서 평점테러하나요
10,아직 보진않앗지만 줄거리와 여기 남자들이 달고잇는 댓글들만 봐도 현실반영이 잘 이루어진 영화인것같네요...
10,"누군가는 외면하고 싶겠지만, 모두가 반드시 알아야만 하는 일을 그려주셔서 감사합니다."
10,현실에서 쉬쉬하던 문제를 수면 위로 끌어올렸다.
10,실화바탕이라니...너무 슬퍼요.
10,예수정배우님이 나온다는 이유만으로 볼 이유가 충분합니다! 기대하고있어요~
10,불편하지만 결코 외면하면 안되는 이야기! 응원합니다
1,루리웹분들 정말 악질이시네요...
10,"피해자의 고통을 헤아리긴 커녕 가해자 편에 서서 더한 고통과 치욕을 주는 이 사회의 민낯을 그대로 드러낸 영화. 우린 불편하고 외면하고 싶더라도 직면해야 한다. 현실 속에서, 어쩌면 나의 소중한 사람이 이러한 지옥 속에 살아가고 있다."
10,여기에 엄한 댓글 다는 사람들의 모습이 우리의 현 주소 같네요. 영화 보지도 않아놓고 별점 테러 하는 사람들 이해가 안될 뿐더러 이해하기도 더럽습니다. 이런 일 많아요 조금만 검색해봐도 아는데 검색이 어려운건지 멍청한건지. 영화는 좋습니다. 생각이 많아지는 영화에요.
1,굉장히 무거운 영화입니다...
10,예수정님 연기 최고예요.
10,생각할 것이 많은 영화...
10,"현실을 직시하세요. 현실엔 이미 다수의 피해자가 존재합니다. 영화를 객관적인 시선으로 보지도 않고서, 심지어 실제로 관람하지도 않고선 저열한 댓글과 낮은 별점을 누르는 당신들이 잠재적 가해자인듯 하네요..."
10,영화 응원해요 별점 테러 역겹네요
10,실제로 있었던 사건인데 왜 그남들은 없다고 우기는걸까 사회의 어둡고 사람들의 관심이 닿지 않는 곳까지 재조명해주셔서 감사합니다
10,다알아야하는이야기입니다.추천
1,제목 69부터 내용까지 그저 남자를 비하하기 위해 만들어진 영화ㅋㅋ 걸캅스의 하위호환격이며 연기자들도 돈 주니까 연기한거지 존나 얼탱이 없었을게 분명함ㅋㅋ
10,현실반영최고 현실은 더 하다
10,최고입니다 늘 건강하시고 힘내세요
10,69세 영화 추천합니다
10,영화가 매우 기대됩니다
10,있을법한 일이라 다들 이렇게 난리인건가?
10,루리웹 남성분들 별점 테러 그만하세요
