score,reple
10,아무도 없는 영화관에서 혼자 영화를 본후 끝났는데도 10분동안 자리를 뜰 수 없었다
10,이 한 마디면 됩니다. 주님이 하셨습니다.
10,무교이지만 나의 인생영화이고 그냥 어제 밤에 부모님과 내 꿈에대해 마찰이 있었고 오늘 아침 이 영화를 봤는데 그냥 아무말 없이 울었습니다.
10,인생영화였고 감동그자체였다 그냥예술임
10,크리스천이 아닌 사람에겐 음악영화로크리스천들이겐 회복될 영화로 추천하고 싶다 인생과 음악 그리고 주님의 이야기
10,영화  꼭 보내세요....ㅡㅜ 대박 감동입니당....네이버에서 예매를 못해서 작게 하구나 했는데...CGV 단독...너무 슬퍼 감동...ㅡㅜ
9,제목 보자마자 머시미 생각나서 멜로디를 흥얼거렸는데 진짜 이 노래를 바탕으로한 영화가 나오다니 하며 오늘 바로 엄마랑 봤습니다.음악의 힘 그리고 하나님의 힘이 얼마나 대단한지 느끼는 그런 영화였습니다
10,올해 최고의 은혜~~~
10,주위사람들에게 추천해주고 싶은 영화네요 :) ost 진짜 최고..ㅠㅠ 소향버젼 다시 찾아 듣고있어요
10,용서에 대한 마음을 일깨워주는 감동의 드라마였습니다.배경음악과 배우들의 연기 그리고 스토리..모든것이 하모니가 잘된 작품이네요~종교영화를 떠나서 훌륭한 작품입니다
10,영혼을 치유하는 천상의 노래~!! 정말 최고의 감동과 전율이었습니다. 할렐루야 아멘 아멘!!♡♡♡
10,기독교든비기독교든 강추
10,올해들어 가장 감동받은 영화 ost가 참 좋네요
10,부모님과 함께 봐서 더 좋았습니다
10,나는 상상만 할 수 있었죠 그분의 임재를
10,목동 CGV에서 보고 왔습니다.  거듭남은 화학적인 변화...진정한 용서에 대한 영화라는 생각입니다. 멋지네요.
10,가족과 봐야할 영화.. 최고입니다!!!
10,"인생 최고의 영화, 인생 최고의 단어 forgive"
10,너무 감동적이였습니다정말감동그자체입니다
10,최고입니다 진짜 깨달음을 많이 얻은 영화입니다
10,최고입니다 감사합니다
10,감동적이고 재미있습니다.
10,이노래에 이런사연이있는줄몰랐다 용서가 쉽지않앟을터인데 용서하고 노래까지만들 용기에 영화가 빛을보는거 같다
10,기대없이 봤다가 큰 감동과 삶에대해서 생각해볼 수있는 영화였습니다.  남주 노래하는 목소리 너무 멋있었어요!
10,소향 뮤비 보고나니 더욱 감동이 느껴집니다...
10,복음은 모든걸 변화시킨다.
10,가족 셋이서 갔는게 전세내고 본 기분...걱정 많이 했는데 눈물 흘리면서 봤어요ㅠㅠ고민 하시는 분들 꼭 보세요 후회 안 합니다!전 무교고 아빠는 불교지만 괜찮았어요..ㅎ
8,감동적이요 정말로 감동
10,영화 보는 내내 나오는 노래도 너무 좋고 오랜만에 가족애가 느껴지는 마음 찡한 영화라 너무 좋았어요. 실화라고 하니 더 감동이 컸던 것 같아요
10,내용모르고 봤다가 보는내내  울컥고난 가운데서  좌절하지  않고이끄시는대로 사랑과 용서를 통하여고난뒤 얻게되는 축복의 노래!영화장면중에 계속듣게 된다는 대사가 있는데 제가 지금 계속 무한반복 중입니다ㅠㅠ너무 좋아요힐링되는 영화 강추합니다!
10,실화를 바탕으로 해서 감동스럽고 ost도 넘 좋았어요^^
10,실제 주인공이 얼마나 힘들었을지 짐작이 갑니다 같은 일은 겪고 있는 사람이 있다면 이 영화가 소망을 주리라 믿어 의심치않습니다.  행복한 상상이 마침내 현실로 나타낼 수 있는 것은 주인공 이야기처럼 상상하는 것 자체가 간절히 바라는 기도였다.
10,아버지 생각에 눈물이 ...용서 할 시간이 있다는게
10,혼자보러갔엇는데 너무 감동적이고 혼자서 계속울면서봤어요 노래도 너무 좋고 영화끝나고 계속 노래마지막까지듣다가 나왓어요! 완전 올해에 잊혀지질않을영화네요 개봉하자마자봣는대 주말에 한번 더보려규여 여운이남는영화에요!
10,담백하면서도 음악이 너무 좋아서 빠지고... 연기도 좋았어요! 끝나고 나니 눈물이 흘러 있었습니다 ㅠ
10,정말 감동적인 영화였습니다. 남자배우분 목소리가 정말 좋네요.
10,영화가 끝난후 엔딩 노래가 끝날때까지 일어날 생각을 못했다.
8,가정의 상처가 있는 사람들에게 위로가 될 듯. 용서는 절대 쉬운 일이 아니지만 그만큼 나에게 힘이 되는 것도 없죠.
10,남을 용서한다는 것 자체를 이해하지 못하는 제가 이 영화를 보고 비로소 용서라는 단어를 이해하게 되었습니다.
10,마무리에 노래부른것도 좋았지만 아버지와 아들간의 관계에서 아버지의 후회와 아들에 대한 마음이 느껴져서 계속 감정을 터치했어요. 거의중간부터는 의자에 등을떼고 몰입하면서 봤어요. 끝나고도 계속 기억에 남는 몇안되는 영화중에 꼽힙니다.
10,감동의 연속이네요...
9,가족이나 친구와의 용서문제로 힘들어하는 청년들이 봤으면 좋겠어요 ~
10,"진정한 용서가 한 사람의 인생에 있어서 얼마나 큰 영향을 미치는지 알게 됐네요.무교지만, 영화속의 음악과 인생얘기에 깊지 않은 종교적얘기가 없어서 더 빠져들 수 있었네요.솔직하게 눈물도 많이 흘렸네요."
10,"영혼마저 울리는 바트의 고백, 그 안에 숨쉬는 주의 은혜"
10,너무 울어서 머리가 아플지경이에요... 꼭 보셔야합니다 상상 그 이상의 감동이에요
10,무교입니다..sk vip무료로 봤습니다..죄송할마음이 생길 정도로 감동받았습니다.
10,눈물이주르륵 났네요.
10,부서진 조각들이 빛을 되찾아가는 그 과정을 본 것 같아요. 긴 여운이 남는 영화였습니다.
8,종교에 대한 선입견 때문에 불편할수는 있지만..스토리나 영화를 풀어나가는 흐름은 나쁘지 않았다
10,종교관련 영화치고는 최고입니다
10,화려하고 듣기좋은 음악과 스토리만을 내세우는 다른 음악영화들과는 다른 영화네요 크리스마스 이브날 봐서 더 뭉클하네요 제 생애 최고의 크리스마스 이브였습니다
10,"진정한 용서를 느꼈다.. 내 인생 영화. 보는 내내 울었네요. 주님, 감사합니다."
10,메말랐던 감정을 다시금 뜨겁게 만들어준 영화.. 정말 감동의 여운이..
10,"여운이 많이 남네요~~아버지의 변하는 생활,고통을 참는과정 등 감동 적이었네요."
10,두번봐도 감동적인 영화였습니다
8,노래 한곡으로 별 4개이상은 충분한 듯... 울림이 멈추질 않습니다.
10,감동과 울림이 있는 영화입니다
10,시간이 남아 보게 된 영화인데..보는 내내 눈물이 그렁그렁했던 영화네요.많은것들을 생각하게 하는 영화.시련은 이런 명곡을 만들어 내내요.스토리와 예술성 2가지를 다잡은.주위분들께 적극적으로 권유하고 싶은 영화입니다. 꼭 보세요!!
10,상상 그 이상의 스토리 감동입니다
10,말이 필요없는 영화. 최근 본 영화중 가장 감동적이었어요
10,최근 본 영화 중 최고였어요 인생에 있어 기억에 남을 영화네요
8,"가족간 불화는 정말 어려운 숙제다. 그걸 풀기는 좀처럼 쉽지 않다. 어쩌면 진부하다고 할 말기 암환자라는 장치가 그걸 풀었다. 별로 새로울 이야기는 아니다. 그런데 그 안에 진짜가 있다. 누구나 겪을 아픔이기 때문이다. 내가 똑같이 경험했다고 남에게 일어난 일이 사소해지지도 않는다. 오히려 공감이 필요하다. 이 작품은 진짜라는 요소 말고도 영화를 보는 내내 귀가 즐거워 좋았다. 종교를 싫어하는 편이라 CCM을 절대 가까이 하지 않지만, 귀가 즐거운 걸 숨길 수는 없었다."
10,"최고의 감동이네요. 눈물이 너무 많이 나서 영화 보다가 몇 번이나 스탑했습니다 ㅠㅠ 저희 가족도 몇 OO간 아버지의 언어 폭력과 여러 문제들로 너무나 큰 고통올 받아왔었어요. 그런데 사실 그 고통 덕에 제가 가족 중 처음 예수님을 만날 수 있었고 전도를 통해 어머니도 교회에 5-6년째 나오고 계시죠. 그리고 기도한지 10년만에 먼 길을 돌고 돌아 올해 아버지가 예수님을 믿게 되셨어요. 부모님 두 분 다 아직 예수님을 인격적으로 만나시진 못하셨지만, 계속 예수님을 만나시도록 기도하고 있습니다. 기도하면 다 되더라구요.. 절대 믿음을 저버리지 마시고 끝까지 기도하세요. 하나님에게는 불가능이 없습니다!"
10,나의 상상 이상인 영화입니다! 하나님이 들어쓰시는 인생이 얼마나 아름답고 강력한 것인지 깨닫게 만드는 영화입니다.
