score,reple
1,"뭐가 이리 어설프고, 전달하려는 내용이 뭔지? 오늘만 사는 파도 위 서퍼들처럼 그냥 서핑이 좋아서 시나리도도 없이 만든 영화같음. 웬만한 독립영화보다 내용이 없음. 완성도를 위해 껴 넣은 출연 배우들 때문에 더 민망함"
1,TV드라마 스페셜보다 못한 영화.... 감독은  도대체 뭘 말하고 싶은걸까? 총체적난국...
1,낭비다 돈낭비 인력낭비
6,배경도 반갑고 나오시는분들도 실제 양양 서핑샵 강사분들이 나와서 반가운 영화였네요. 다만 너무 b급영화 느낌잌ㅋㅋㅋ
4,서퍼들을 위한 안식처
7,왜 비키니입은 서퍼는없는걸까요
2,하.  진짜 재미없네. 내 시간
5,죽도 홍보 영상? 영화도 드라마도 아니고 그렇다고 다큐멘터리도 아닌....
5,큰 내용없고 그냥 시원한 바다와 서핑타고 싶게 만드는게 다인듯
3,중간중간 인터뷰식의 대화장면이 영화라고 보기 힘들정도로 대본없이 그냥 막찍은듯합니다 아마 자연스러움을 위해 그랬겠죠? 술집씬 등에선 배우들의 목소리가 전달되지않을정도로 오디오 퀄리티가 낮았습니다 서핑을 좋아하는 서퍼들도 갸우뚱거리게 만드는 영화였어요 국내서핑 영화라면 차라리 유튭에 무료공개된 윈터서프2 를 보시는게 훨씬 더 낫습니다
7,이런게 부진하니 아쉬울따름
4,서핑을 무척 배우고싶어지네요 물론 영화는 보지않았습니다
10,
10,한국영화재미있어요하고싶어요안될까요제발보내드립니다네예
1,보다가 꿀잠자고 내용 뭔가해서 다시보다가 또 잠 ㄷㄷ 내 주말. . .
1,실력 쥐뿔없는 감독중의 감독 그냥  헤헤 웃으며 기생하며 사는 족속
7,죽도란 바닷가 한번 가보고싶다
6,현실적인 영화였습니다.
10,좋은 영화입니다. 하지만 .감성에 빠진 서퍼라도. 바다를 쉽게 생각하지 않아요.우리는 감성과 이성적인 판단이 공존해야 행복할 수 있어요. 바로 속 물고기들의 친구가 된다면. 행복이 아닙니다.
10,일반영화같지않아좋았습니다
10,"바다, 파도 , 서핑.힐링 영화 입니다."
10,잔잔하고 인생을 돌아보게 하는 영화네요힐링 됩니다
6,진짜 알려주세요  볼까요? 말까요?
10,너무 재밌네요 ㅎㅎ
