score,reple
10,왕따시키는새끼들은 전부다 죽여야한다 속시원한 영화^^
10,첫씬부터 강렬하고 노골적이고 비참했다..이 영화에 등장한 피가 눈물로 느껴질만큼...히치콕 못지않은 감성인데...평점 왜이래?허허
9,내모습이 캐리와 겹쳐지면서 서럽고 슬펐다
8,"결말을 알고 보았지만, 도중에 캐리의 행복한 웃음이 영원하길 바라게 되었다.."
9,대한민국일진들에게 추천해주고싶다..
8,무섭다기 보단 슬픈 공포영화 파티장 학살씬은 압권
10,매우슬프다
10,착한사람이 악마가되는 세상
10,이 영화에서 시대적 괴리감이 느껴지는 부분은 오로지 어설픈 특수효과나 배우들의 구식 패션 밖에 없다. 장인 정신이 느껴지는 연출력에 경의를 표하는 바이다.
10,통쾌하지만 캐리가 제일 안타까울뿐...
10,여학생이 여선생에게 까불자 여선생이 시원하게 뺨싸대기를  올리는 장면은 최근 본 어떤 영화보다 통쾌했다
8,파티에서의 아크쇼트. 그리고 감미로운 BGM... 예전에 봤지만 이 장면만은 못 잊겠다
9,공포스럽지는 않고 매우 슬픈 영화였음. 실제 캐리같은 여자는 현실에 존재하므로.
8,와 36년전에 이런영화가..... 진짜 요즘 되도안한 공포영화보다 몇배낫다.
10,캐리는 우리사회 소외된자들을 대변한다..난 이영화를 너무나 사랑한다..마음이 아프다...
10,고통....이 영화를 보며 느낀건 그게 전부다.
10,시간이 흘러도 기억에서 좀처럼 지워지지 않는 대단한 영화입니다.
7,여왕으로 뽑혀 너무나 행복해하던 그녀의 표정...피로 물든 분홍색(?)의 드레스...눈 부릅뜬 모습이 꽤 섬뜩하면서도 너무나 가여웠던 여쥔공...2013작도 빨리 보고싶다...
10,거짓말 안치고 시간가는줄 모르고 본다. 난 2013캐리를 먼저보고 봤는데도 이작품이 훨씬 재밌다고 느껴졌다. 전혀 모르는 상태로 봤다면은 마지막까지 너무 재밌게 봤을거 같았는데 아쉬웠다
9,슬픈호러영화. 결말이 비극임을 알지만 점점 좋아지는 캐리를 보며 안타까웠다..
9,사상최강의 캐릭터.
8,"옛날영화지만 섬뜩했다. 그리고 너무 슬프다ㅠ 무엇보다 라스트가 인상 깊은데.. 아마 눈물이 쏙 들어갈 것이다ㅋㅋ 리메이크가 정말 기대되고, 청소년들이 꼭 봤으면 좋을거 같다!"
9,무대위로 올라갈때 음악이 왠지 더 슬프게 느껴졌음...
10,빠져들어서 보았다.
8,불쌍한 캐리
8,재밌어요~ 근데 착한 선생님 불쌍... 그리고 마지막에 엄청깜놀;
10,"와, 모든 게 맘에 든다. 완벽해. 죽인다. 이게 고전의 매력!!!"
10,레알 명작... 너무 안타깝네요/ㅠㅠ 명작영화!
10,와..최고네.. 역시 스티븐 킹.. 지금봐도 전혀 어색하지 않고 굳이 리메이크가 필요 없을  정도로 완벽하다고 말하고 싶다.
10,나 다섯살쯤에 극장가서 봤었는데 그땐 미성년자 관람불가가 없어서 가족들이랑 봤다 돼지피 쏟는 장면은 엄청난 충격이었다
8,목욕씬이 이렇게 가슴아프게 느껴지는 영화는 처음
10,행복을 배우기 무섭게 다시 조롱거리가 되고 극도의 배신과 혼란스러움에 결국 정신이 붕괴되는 캐리의 분노는 그 어떤 공포영화의 장면보다도 강렬하다.
10,리메이크 작 보다 훨씬 낫다.
10,..예수란 진정한 사람의 얼굴을 하고있는데...이름만 예수를 찾는자들에 대한 경고...
10,암울하다.  내 어릴적 모습 같아서 더 서글펐다. 왕따 하는 놈들은  저렇게 되도 전혀 동정할 필요 없다.
7,분노와 슬픔이 결합된 공포. 마지막 씬은 오래도록 기억될 것.
10,포스터랑 스틸은 절라 무섭지만 영화는 슬프다.
9,30대가 되서 15년만에 다시  본 캐리..그땐 잘 못 느꼈는데 지금보니 왜 이렇게 슬프까...ㅠㅠ
8,마틸다보다 훨씬 나은 영화. 같은 염력이라도 이렇게 써야 제맛이제.
7,파티가 이렇게 무서워질수 잇구나.
7,보고있으면 우울해지지만 이 영화를 보고 뭔가 깨달음을 얻는 사람들이 많았으면
10,결말을 알고있지만 타미와 잘되길 얼마나 빌었던지.ㅠㅠ 안타까운 캐리...
9,네이버 아이디를 만들게해준 영화 ㅎㅎ..
8,옛날 영화인데도 지금 봐도 나쁘진 않다. 공포라기보다는 안타까우면서도 슬픈 내용인것 같다. 이 영화가 리메이크 되는것 같은데 그것도기대된다.
10,76년 영화라는게 믿기지않을만큼의 감각적인 영상과 구성. 그리고 배우들의 깊은 연기.공포영화로 캐리를 분류하는건 뭔가 잘못 하신듯...이건 드라마고 슬픈 새드무비이지 전혀 공포스럽지가 않다. 돼지피 뒤집어쓴 스틸하나로 공포영화의 대명사로 만들어놨어ㅋ
7,수십/년 전에 봤지만 핏물을 뒤집어쓴채 폭주하는 캐리의 섬뜩한 모습이 아직도 생생하다.
10,내가 사랑한 영화.
9,"적절한 음악, 그리고 색이 주는 강렬함."
9,교차편집이 대박이였다..
9,역사에 남을 드팔마의 역작.
10,파티장 학살씬이 압권이였지. 당시엔 화면분할기법이 흔치 않았을 때니까.
10,여주인공의 연기력이 압권..빠져든다~
6,불쌍한 캐리....
10,결국 종교에서도 답을 찾을 수 없던.. 외롭고 고립된 인간의 절규에는 이미 그와같은 파괴가 내제되어있다
10,멋져!! 작품의 완성도가 뛰어나다.
8,스티븐킹 원작 영화답게 재미지네요
10,마지막장면은 너무슬프네요. 리메이크보다 원작 강추드립니다.
10,오래전 공포영화인데 이제서야 보게됬다. 역시 원작은 원작이라는 생각이 들었다.. 캐리역에 씨씨 스페이식 너무 잘어울린다. 영화자체는 공포인데도 서글픈 느낌이 드는 영화.
10,말이  필요없는 호러의 걸작
8,공포영화로서 그냥봐도 재밌던데
7,미국판 한 맺힌 소녀의 처절한 피의 복수
7,캐리의 분노가 화면밖으로 튀어 나올것 같군
