score,reple
10,말이 필요없음. 이런걸 영화라고 함.
10,레미제라블이후로 휴잭맨의인생영화였다
9,"휴잭맨의. 매력이 한껏 돋보인 영화입니다.다른 출연자들도 너무 멋지구요.사람은 누구나 소중하며, 현재를 멋지게 사는게 중요하다는 메세지도 있구요.좋았습니다"
9,"지금 미국에선 평론가들 평 안좋고, 관객평은 좋다던데 우째 딱 영화 처럼 된듯ㅋㅋㅋ ""공연을 즐기지 못하는 공연 평론가 이게 진짜 사기 아닌가요?"""
10,정말 인생 최고의 영화!!!! 너무 좋아서 울컥하고 남들 없었음 ㅠ 기립박수 칠뻔!! 강추!
10,노래 진짜 쩐다 ㅠㅠㅠ 보는 내내 귀호강 ! 그리고 배우분들 연기 다 너무 좋아서 올해 마무리 영화로 딱인듯합니다
10,시작한 지 얼마 안되어서부터 꿈을 얘기하는데 듣다보면 눈물이 난다. 그 꿈이 허황되기 때문일까 쉽게 꿈꿀 수 없는 그 꿈이 아름답기 때문일까. 생각보다 묵직한 음악으로의 시작이라 좋았고 처음 들어보는 잭 에프론의 목소리는 무척 무척 취향이라 놀라웠다
8,좀 뻔한 전개 스토리이긴 하지만 아주 재밌게 봤고 감동적이었습니다. 실화 영화인 것을 생각하니 더욱 좋았습니다. 가족이나 아주 친한 사람들과 함께 보면 아주 좋을 영화입니다. 명대사들이 많이 나오고 기대 이상이었습니다. 많은 분들께 추천합니다.
10,올해 최고의 뮤지컬 영화입니다단언컨데 꼭 다시한번 볼것입니다
10,라라랜드 보다 재밌다. 10만원이 넘는 비싼 뮤지컬 보다 1만원이 안되는 위대한 쇼맨이 한 수 위. 한해를 마무리하면서 세상을 살아가는데에는 역시 함께와 용기라는 생각을 다시 하게 해 주어서 좋았다. 연말에 가족들이 보기 딱 좋은 영화!!
10,생각했던 거보다 기대 이상으로 재미있었고요 노래가 나올 때마다 온몸에 소름이 돋았습니다.
10,진짜 재미있음 라라랜드보다 잼남
10,제 2의 레미제라블 제2의 라라랜드아님 그냥 위대한 쇼맨임!!
10,감히 말하자면 올해 본 영화중에 최고였음. 노래도 어쩜 하나같이 다 명곡임.. 가사 하나하나 너무 좋음ㅠㅠㅠ 다들 꼭 보세요. 후회하는일 없을거에요!!!
9,이정도면 상영중에 박수타임 가져야돼는거 아닌가.
10,"인생영화 하나 또 나옴, 연말에 가족들끼리 한번 더 봐도 너무 좋을 듯 합니다 : )"
10,“This is me!” 당연하면서도 울컥한 한마디였다. 다른 사람들의 눈치 보느라 정작 나에 대해서는 몰랐고 그게 당연해졌었다. 그들의 외침에 스스로를 몰랐던 나에게 부끄러웠고 시원했고 당당해졌다
10,휴잭맨 오프닝~ 대박!!!! 노래계속 따라불러요
10,이영화를 본다면 너도 리뷰를 쓰고있을것이다 꼭봐라 노래트랙 하루종일 틀것이다
10,점왜 이영화 말이 없나 했더니 .. 이런 반전이 .. 졸라 재밌어
10,영화 끝나고도 자리를 못 뜰 정도로 여운이 남네요
10,화려한 쇼만 기대했다가 대반전 ㄷㄷ스토리도 끝까지 너무 좋구 ㅜ 메세지가 감동적이네여
10,내생애최고영화 ㅠㅠ 완벽하다정말
10,"젝 에프론, 젠다야 둘의 목소리 조합은 진짜ㅠㅠ꿀떨어짐요ㅠㅠ"
10,하루에 두 번 본 유일한 영화...
9,방금 조조로 보고 나왔는데 스토리 라인은 그렇게 막 깔끔하진 않았음 하지만 음악이랑 춤이 모든걸 만회함 진짜 귀호강 제대로
10,"뮤지컬영화 중에서 가장 영상미와 노래의 탄탄한 균형이 잡힌 작품이라고 생각합니다. 눈과 귀가 즐거웠고, 잠시나마 동화의 세계로 들어갔다 나온 기분입니다"
10,와 이최고의 영화 이번년도의 마무리는 이영화다. 정말 최고 최고 최고 이말보다 더 할말이 없다. 보면서 눈물이 벅차오르는 감정과 흘러내렸다. 가슴이 뛴다 이영화를 봐라 인생영화다 음악과 영상미 진실 그리고  돈의 자리를 깨닫게해준다
10,와...이게뭐지..너무 화려해...서커스가 이렇게재밌었구나
10,영화보다 박수칠뻔했습니다
10,제니린드 노래부를때 휴잭맨 표정 = 내 표정입 벌리고 봄
10,들어갈땐 9천원 입장료였지만나올땐 9만원 위대한 쇼였다.
10,이 영화보면 OST를 자꾸 듣게 되는 후유증이 생깁니다..ㅠ
10,올해 최고의 뮤지컬 영화
10,이런거 원래 안 남기는데 이건 개쩐다 걍
9,"누구의 눈에는 한 순간의 쇼 혹은 오락일 수 있지만, 다른 누군가에게는 한 순간의 삶이 될 수 있다면"
8,양옆에서 오열하는 가운데 혼자 섹시해진 잭 에프론에 감탄하면서 봄...
10,"뮤지컬과 거리가 먼 나였는데, 이거보고 깜놀!!! 또 볼거임"
10,"큰 기대 없이 보러온 건데, 노래도 좋고 영상도 화려해서 볼 거리가 많았습니다. 칼라일이 잘생겼어요. 최근 다양성에 대한 이슈가 불거지는데, 그것에 대해서도 생각해볼 거리가 있다고 생각됩니다. 그리고 칼라일이 잘생겼어요. 노래도 잘 불러요. 칼라일.."
10,뭔가 나도 모르게 엔딩에서 박수침 ㅋ 한편의 뮤지컬을 본듯
10,2시간 동안 행복해 지고 싶다면 이 영화를 보세요~ 모두에게 초강추!!!
10,기대안하고 봤는데 재밌었음. 이런 영화는 영화관에서 안보면 재미가 반감될듯. 영화관에서 보길 적극 추천
10,와 평점 달아본 적 없는데 진짜 노래가 하나같이 다 좋다 미쳤다
10,노래땜에 운건 처음이다 ㅠ
8,"OST, 군무가 다했다."
9,휴잭맨이 대박이겠구나 했더니 조연들까지 내 맘을 뺏음.
10,주제에걸맞게구성지고재밌다휴잭맨당신을엔터테이너로임명합니다
