score,reple
8,미드나잇인파리같은 영화가 아님ㅋㅋㅋ 1점 준사람들은 코드가 약간 안 맞는듯ㅋㅋㅋㅋ호불호갈리는영화. 엘렌페이지랑 우디앨런 할아버지가 개웃김ㅋㅋㅋ
8,모니카가 척 할때마다 존아저씨가 뭐라하는거 겁나웃김ㅋㅋㅋㅋ
9,"소소한 개인의 삶이 소중하고 아름답다는 작가의 시선이 돋보이는 영화, '힐링'을 내걸고 억지 감동을 주려고 애쓰는 국내 영화들보다 더 '힐링'에 가까운 영화"
9,"가볍게 웃으면서 이건 뭐지 하면서 보는 영화지만,, 한편으로 동경의 대상이 되기도 하면서도 그것이 허상이고 평범한 자신의 삶이 최고다라는 것을 깨닫게 해준 영화!!"
7,낭만 가득한 풍광 속 일상의 헛헛함
8,우디알렌은 항상 내가 생각하던걸 영화로 만들어준다. 나랑 소울메이트인거 같닼ㅋㅋㅋㅋㅋㅋ
8,크레이지한 요소가 많아서 이상했고 웃겼고 즐거웠던 ㅇㅇ
9,작정하고 웃으라고 만든 영화인것 처럼 곳곳에 빵터지는 연출과 대사가 도사리고 있다
5,이건뭐...내용이뭐이래ㅡㅡ보는내내어이가없어서 헐...헐..을연발함
6,정신없는 영화
4,전 미드나잇인파리는 재밌게 보고 온 사람인데요. 음.. 그냥 이 영화는 제 취향이 아니었나봐요. 4가지맛의 피자같은 영화라던데 그냥이게딱맞아요. 아무생각않고 서양식콩트같은 영화보고싶은 분이라면 추천해요. 영화에서 뭘얻으려는생각은 마시길^^
6,일탈은 일탈일뿐 그 공간에 영원히 남고싶어하는건 아니다.
10,우디앨런식 이야기는 언제나 흥겹다 .
5,"착한 영화같다. 큰줄거리 없이 개별적인 소재들로 엮어나가기 때문에 어떤 큰 재미나 반전보다는 편하게 즐길수 있는, 그런 영화."
9,로마를 갔다오신분들이라면! 곧 가실 분들이라면! 무조건 봐야하는 영화.로마를 너무 아름답게 담아냈네요.. 유쾌하고 달달하고~ㅎㅎ저는 이런 류의 영화 좋아해서 확실한건 보고나면 로마로 떠나고 싶단 거 ㅋㅋㅋ 저는 좋았어요 굿!
8,우디 앨런 귀엽다 :)
9,유쾌하고 멋진 영화. 어려운 말따윈 집어치워. 그냥 감정에 충실하시라.  더 늦기전에.
7,우디앤런 특유의 쌩뚱맞은 유머와 뒤죽박죽 스토리. 로마로 야유회간다 생각하고 가볍게 즐기세요.
8,일탈을 주제로 한 네가지 이야기. 우디 앨런식 유쾌한 옴니버스 코미디 영화.
9,샤워 오페라에서 진심 빵 터짐~  ㅎㅎ 유쾌하고 즐겁다. 이탈리아의 햇살 가득한 풍광 속에 펼쳐지는 개개인의 욕망이 옴니버스로 펼쳐진다. 매력적인 영화! 우디 앨런 할아버지 죽지 않았음~
8,미드나잇인파리 보고 비슷한 영화겠거니 해서 봤다가 실망하는 사람들이 많은거 같은데 이건 전혀 새로운 영화다. 너무 가볍지도 무겁지도 않은 독특한 설정과 재미가 있는 영화. 에피소드도 말도 안되는데 평소에 한번쯤 생각해봤던 주제를 익살스럽게 잘 풀어낸다
9,샤워신에서 진짜 뿜었네요ㅋㅋ완전웃김ㅋㅋ기대이상으로 웃겨서 그런지 또 보고싶고 영화 내용도 좋다
9,영화 완전 웃김ㅋㅋㅋ진짜 저는 이 감독스타일의 영화 좋아하는데 그래서인지 입이 찢어져라 웃으면서 봤네요
9,난 이게 너무너무너무나 내 취향이었는데 ㅋㅋ 몇년이 지난 아직까지도 잊혀지지않음. 절대적인 내취향. 그런데 왜 19세인지는 의문...
8,우디 할아버지 넘 귀엽고 짱이심. 왜 이리 웃김... 현실과 판타지... 과거와 현재를 균형감 있게 유머러스하게 담고 있는듯... 우디 할아버지 짱! 오페라 극장의 샤워 부스... 오 기발한 우디식 발상 굳!
6,우디앨런의 잠재적 열등감을 견딘다면 재밌는 영화. 여러 에피소드를 깔끔하게 잇는 능력은 대단. 욕망과 허영의 덧없음을 과거의 영광을 상징하는 로마라는 도시에 비유했다. 그러나 구성은 치밀한데 표현이 좀 늘어지는 편. 알렉볼드윈의 에피소드는 자기회상.
8,우디 앨런 이잖아? 평타치고 들어가는게 당연하지.
1,로마로 여행 갔다오고 난 후에 본 영화인데 낯익은 장소 보는 재미로 겨우 끝까지 봄
8,바르셀로나 파리만큼은 아니어도 로마는 충분히 매력있다
9,저는 이런 스타일의 영화 좋아해서 그런지 111분이라는 시간동안 화면에서 눈으 뗄수가없었어요. 영화 추천하고싶습니다
1,"8.39점이라는 평점을 이해할 수 없는 영화. 우디앨런식 대화의 묘미가 이 영화에서는 짜증스럽게 들리고, 두서없는 스토리전개는 두 말하면 입아플정도."
8,미켈란젤로 아버지때문에 웃겨 죽는 줄 알았다ㅋㅋ샤워하며 오페라를 한다는 발상 저체가 역시 우디알렌이란 말밖에는 안나오네요.제시아이젠버그와 엘렌페이지의 키스 장면이 담긴 포스터때문에 봤던 것인데 뜻밖의 재미였습니다
9,한마디로 유쾌하게 웃다가 나올 수 있는 영화에요
9,영화 중반까지는 툭툭 튀어나오는 미국식 코미디 덕분에 아무 생각없이 웃을 수 있었고 영화 후반과 말미에는 일상탈피의 매력보다는 평화로운 자신의 일상이 더욱 소중함을 귀엽게 알려준 영화 엔딩 음악이 활기차고 밝아서 로마의 분위기가 촉촉히 스며듬
9,편한 마음으로 영화를 본 듯ㅋㅋ 데이트용으로 안성 맞춤이었어요
9,소소하게 빵 터지는 장면들이 많아서 보는 내내 많이 웃겼다
9,역시나 우디알렌 감독의 영화는 사랑스럽다!
9,우리의 인생사를 다양하게 재밌게 아름답게 담아내고 있습니다
1,"나는 어지간하면 평점 후한데...휴...난 아직 로마를 즐길 준비도. 일탈할 자신감도 없는 사람인가ㅋㅋ여튼 와닿지않는 스토리 전개로 정신없이 지나갔는데, 끝나고보니 혼란과허무함이 쓰나미처럼 몰려오네요ㅠ"
9,영화 자체가 유쾌하고 재밌었어요 ㅋㅋㅋ
9,생각보다 훨씬 웃긴 영화ㅋㅋㅋ왜 코미디 영화인지알겠다. 특히나 나는 감독이랑 개그코드가 정말 맞았음
9,옴니 버스라고 하기엔 하나의 영화로 잘 녹아들어 있다 4가지 에피소드가 전부 매력적인 영화
1,채 정리되지 않은 상상력은 보는 사람도 너무 정신없고 그저 우스꽝스러울 뿐이다. 그래서 하고싶은 얘기가 뭐야 ?
5,"영화를 평할때 관대한편인데 이영화는 점수를 잘 줘서 5점짜리.킬링타임용으로도 재미가 없다.좋아하는배우가 나와서 그냥 봤다.내용흐름도 자연스럽지 못하고,전달하고자하는 메세지가 있었다면 표현을 잘 해내지 못한것 같다."
10,코드 맞는 사람이 보면 진짜 너~~~어무 재밌음. 나랑 소울메이트가 아니신지...
10,처음엔 '뭐야이게...'했지만 보다보니 빠져듬ㅋㅋㅋㅋ코드가 맞으면 정말 웃김ㅋㅋㅋㅋ그냥 각 에피소드들 따라가다보면 힐링이! 호화 캐스팅은 덤ㅋㅋㅋ
8,병맛을 좋아해서 이 영화도 맘에 듭니다. 편안하게 보는 병맛이랄까.  논리를 따지고 싶다면 이 영화와는 안맞으실 것 같아요.
1,정신없고 어이없는 영화 배경만 예쁨
1,재미도 없고 감동도 없고 스토리도없고 뜬금없고
1,남자들의 판타지를 그려놓은 영화. 유명인이 되어 권력을 얻어 여자들이 달라붙고여자친구의 친구와 불륜을 저지르고신혼여행중 OO가 들이닥치고 OO와 자고중년에 꿈을 이루고..ㅡㅡ판타지를 그린건 좋은데 재미가 없음전개가 별로고 내용이 판타지 수준
7,특유의 또라이스러움이 적응 안 된다면 할 말 없지만 이래뵈도 인생 좀 아는 선생으로서의 특유의 단맛 쓴맛이 있다. 하루아침에 스타가 되고 거품처럼 사라지고 신혼여행에 맞바람을 피고 여친의 친구와 화끈한 바람을 피다가 하루 아침에 그녀는 훌쩍 떠나버리고
1,이건 아니네요. 평점 조작 좀 하지 맙시다.
1,아진짜 내용뭐가뭔지 하나도 모르겟음 알바 엄청많네 속지마세여 ..1점도 아까비..
1,진짜 지루했던영화.. 네이버 평점 믿고갔겄만 낚임..같이 간 사람들도 다 졸음...
