score,reple
10,"기자/평론가 평들 진짜 한심하다,,, 삐뚤어지고 편협한 시각을 버리시길,,, 도대체 어떤 영화를 봐야 서구중심적이라는 느낌이 안들겠는가,,,"
10,"`영화평론가` 황진미 씨 아~주 유명하시지, 자기중심적 사고방식의 선두주자께서 저런 리뷰 남기시니 아이러니하면서도궁금하네요, 평소에 과연 얼마나 남들을 위해 사셨는지"
10,정말 자기중심적인 것은 황진미 자네일쎄..
8,ㅋㅋㅋ 황진미 저런 사람은 진짜 웃기는 사람이네 ㅋㅋ 누가 누구보러 반성하라는겨.. 저기 나오는 저 선교사들의 발톱에 때만도 못한 존재가..아무리 막장 개독들이 많다지만 그게 전부인줄 아는 무식은 삼가시길. 무조건 종교를 까면 지적으로 우월한줄 아네
9,이런 명작을 이제서야 보다니....
10,멍에를 지며 눈물로 속죄하는 멘도자의  모습에서 내가 가야 할 길을  보았다.
7,여기 기자 평론가집단은 수준이하...영화가 실화를 바탕으로 종교과 정치의 대립을 보여주고 있음에도 내용은 무시한째 개인의 개똥철학이나 늘어 놓다니.. 모든 재앙은 종교로부터가 아니라 당신들로 부터 온다.. 당신들 이웃에게나 평화를 좀 주는 것이 .
10,와인 쳐마시면서 누벨바그가 어떻네 타란티노가 어떻네 떠들고 있을 평론가들이 서구중심 영화니 어쩌니 육갑들 떨고 있다
7,"영화 평점은 그냥  본인이 영화를 보고 그  느낌, 감동, 생각을 종합해서 주는 것이지 남의 (특히, 평론가들) 평점에 대한 평점을 주는 것이 아니라고 생각해요~"
10,무력이 옳다면 사랑이 설자리가 없소...사랑이 무엇인지 다시금 일깨워준 영화.
10,OST만 들어도 감동이 오는 명작 꼭 보세요
10,이 영화가 어딜봐서 서구중심적이다는거지?? 단지 종교적 색채가 묻어나서 그게 싫어서 전문가 평점 6점대 점수를 받을만한 영화는 아니다.
10,이 영화의 음악을 만든 엔니오 모리꼬네는 신의 노랫소리를 엿들은 것이 틀림없다..
10,솔직히 말해서 이런 영화보고도 6점대 줄만큼 감동을 못느끼고 결점이 많아 보인다면 차라리 영화평론가 안하는게 낫겠다 그렇다면 대체 무슨 영활보고 감동을 느낄까
