score,reple
7,이루지 못한 것에 대한 환상과 미련 자신이 선택한 현재에 만족하는 것이 최선
7,배경음악 엔틱한 배경 다 너무 좋은데 배로니카가 불쌍한건 나뿐인가..
10,어떻게 그렇게 그리운 눈을 하고 평생 잊혀지지 않는 감정으로 다른 사람곁에서 사는거지 ..인생이라는건
9,외부 환경에 따라 사람은 변하지만 강렬했던 짐심이 깃든 감정은 사라지지도 죽지도 않고 잠들었다 깨어난다
3,연인과 함께 보기에 최악의 영화가 아닐까 싶다
8,마지막 장면 바비와 보니의 표정...
1,우디앨런 영화는 늘 남자가 예쁜 여자와 바람 나고 늙은남자-어린여자 엮는 구성. 자기 생활이 실제 그러니 뭐 어쩌겠냐만.
8,조조로보기에 적당한 영화. 모닝커피같은느낌이다. 인생은 수많은선택으로이루어져있고 되돌릴수없다. 그러나 사랑은 여운을 남긴다. 시종일관 밝고 유쾌한 분위기가 다소 막장스러운 상황을 우스꽝스럽게 표현했다. 여주가 매력적이고 남주의 아리버리한연기가 좋았다.
9,"바비가 보니와 결혼을 했다면 그것은 또 하나의 현실이 되고, 어쩜 베로니카 같은 다른 여자와 밀애를 나눴을지도.. 또한 바비가 뉴욕에서 성공하지 못했다면 보니가 다시 바비를 찾는 일은 없었을 것이다. 인생이 다 그렇고 인간이 다 그렇지 싶다."
10,상영관좀 늘려주세요....
10,Timing is everything in life.
10,"우디앨런의 전작들과 비슷한 느낌이지만 영화에 나오는 의상과 소품,잔잔하게 흘러나오는 재즈가 좋았습니다.배우들의 연기도 좋았구요"
5,마지막 보니와 바비의 표정에 많은 것이 담겨 있다. 하지만 둘의 사랑이 누군가에게는 아주 이기적이고 잔인한 것 일 수도.
6,영상미나 재즈음악은 분위기가 좋았지만 묘하게 감독의 결혼관을 떠올리게 하네요
10,역시 우디앨런. 근질한 스토리 따뜻한 영상미 쌉싸름한 앤딩. 할리우드스럽지않은 할리우드. 지루할수있지만 이런장르가있어서 영화를 보는내내 위안받고 행복했다.
7,재즈가 있는 사랑과 전쟁
9,"과연 바비가 성공하지 않고 다시  재회했었다면, 보니의 감정도 예전 그대로 였을까."
8,화려하고 황홀했지만 어딘가 모르게 쓸쓸함과 미련이 남았다. 인생은 결국 둘 중 하나를 택해야만  하고 선택하지 안했던 거에 미련이 남는 건 어쩔 수 없는 건가보다.
8,"아주아주 나중에 과거를 떠올렸을때 그립고 잊지못하는 한 사람이 있는것도 큰 축복일 것 같다는 생각이 들었다. 이루어지진 않았지만 후에 생각했을때 그 자리에  머물러있는 사랑을 간직하고 산다는 것, 특별하다."
10,영화관만가면 다 밀정걸어놔서 간신히 시간맞춰서 봤네요 이런 영화가 좁사리에서 눈꼽만큼 틀어야할 정도로 무시받을 이유가 전혀 없는데..
10,할배감성치곤 너무 훌륭해
4,난 별루였어.... 기대 많이 했었는데...
8,절대지워지지 않는 감정도 있는거 같아요
9,'사랑이 이끄는 대로'를 보고 새로운 사랑이 하고 싶어졌고 이 영화를 보고 옛사랑이 보고 싶어진다.
9,"누군가는 불륜을 미화한다고 욕했지만 보는 관점에 따라 전 재미있었습니다. 꼭 불륜에만 관점을 집중하지말고 인간의 감정, 심리묘사에 초점을 맞춰보니 공감되는 부분이 많더군요. 우디앨런표 화양연화를 본 느낌. 호불호는 갈릴 듯 싶네요."
10,우디앨런  최근작중에 제일 아름답다.
1,그냥 불륜 미화 영화 그 이상도 이하도 아님
1,응 불륜미화~^^ 선택과 후회라는 주제를 꼭 불륜으로 표현할 필요가 있나ㅋㅋ 이런 쓰레기를 돈 주고 보다니...
8,폭력적인 웃음 포인트가 별로였다
10,"요즘 영화보러 갈때마다 생각이 드는건, &#39;&#39;오늘은 또 어떤인간이 나한테 신경쓰이게 해서 영화몰입에 방해를 줄까?&#39;&#39;이다. 오늘은 어떤 할아버지가 지팡이를 계속 빙글빙글 돌리고 떨어뜨려서 짜증났다. 영화는 재미있네요. ost다운받고싶네요."
8,우디앨런의 영화를 다 찾아보고싶게 만든 영화.. 마지막장면에 영화의 모든 감정이 다 담겨있는것 같았다. 음악 장면 연기가 꿈을 꾸는것 같은 기분을 만들어준다
9,"1930년대 할리우드, 뉴욕,사랑,패션,이 흥미롭고 우디앨런감독 특유의 유머를 맛볼수있다 그러나 그중 최고는 끊임없이 흘러나오는 재즈가 정말로 좋았다"
10,매력적인 영화! 선택이 달랐다면 어땠을까? 음악이 너무 좋았음!
8,그렇다....다 꿈같은 것이려니 싶다.
1,조강지처들은 뭔 죄야..미화시키고 있네.. 연인들은 함께 보지 마요
1,"불륜 막장 쓰레기 영화 凸 아련한 척,,, 진정한 사랑을 기다리는 척,,, 비로소 사랑을 깨달은 척,,,"
10,"""인생도 인생만의 계획이 있답니다."""
6,감독 본인 인생을 투영시켜 매번 이렇게 표현하는것도 재주다.
2,로맨스로 포장한 불륜 느낌인데.. 달달한 영화인 줄 알고 남자친구랑 보러갔다가 당황스럽게 나왔네요..
