score,reple
10,"앨리는 잭슨에게 사랑을, 잭슨은 앨리에게 세상을 선물했다"
10,인생에서 어떤 사람을 만나는지에 따라 인생이 바뀔 수 있다..
10,"연기,연출,음악 하나도 빠지는게 없다.올해 본 최고의 음악영화."
10,형 후진할때 충열된 눈 연출 진짜 절제하면서 잘담았어요 노래는말할것두없구요ㅜ 와 브레들리
10,비긴어게인 라라랜드 보다 더 재밌었다
10,무지션은 12개의 음을 자기의 방식대로 만들어가는 것이라 했다. 마지막 5분은 서로의 마음을 합쳐 부른 노래가 모든 장면이 돌아와 내 마음에 박혀서 눈물을 안 흘릴 수가 없었다 올해 최고의 음악영화 이다
10,녹음된 게 아니라 죄다 라이브였다니...
10,가슴이 먹먹하고 눈물이 줄줄..왜 때문이지? 영화보고 나와서 바로 내일날짜로 다시 예매했다.같이간 바보멍청이 같은 남편의 팝콘 씹어 먹는 소리가 너무 거슬려서 영화의 초반을 1정도 놓친것 같아 나혼자 조용히 다시 보고 싶다. 평일 낮에..조용히
9,"Always remember us this way영화 속 잭슨과 앨리가 오랜 기간, 가슴 속에서 잊혀지지 않을 거 같다.두고두고 회자 될 영화"
10,"브래들리 쿠퍼의 연출력, 레이디 가가의 연기와 가창력, 마음을 울리는 음악. 무엇 하나 빠진 것이 없었던 완벽한 영화."
10,"해외에서 왜 그토록 호평받았는지, 박평식이 왜 7점 줬는지 알겠고 오랜만에 잘만든 음악영화 하나 본느낌. 가가가 캐스팅 제의왔을때 모든 노래를 라이브로 찍지않으면 안하겠다는 조건으로 했다는데 그래서 더 대단하고 라이브장면도 실감나는듯.... 브래들리의 성공적인 첫 연출작 데뷔, 레이디가가의 엄청난 아티스트적 면모와 연기가 빛을 발하는 영화!!"
10,내가 빛을 잃더라도 상대가 빛났음 하는게 사랑인가
10,"브래들리 쿠퍼라는 배우에게 빠졌습니다. 영상, ost 전혀 만족스럽지 못한게 없었습니다"
9,"이 영화의 백미는, 함께 진심으로 노래했던 레이디가가를 정말 사랑한 브래들리 쿠퍼의 모습. 그랬기 때문에 팝스타 꿈을 이룬 레이디가가를 바라볼수밖에 없었고, 가수에게 치명적인 이명증에 알코올중독, 시상식에서 낸 사고까지. 미안함자괴감이 결합한 마지막."
10,깊게 여운이 남는 영화..영화가 끝나면 어느새 나도 잭슨이 그리워진다. 가가의 연기는 호평받아 마땅하고 오스카 주제가상은 따놓은 당상
9,마지막장면이..먹먹했다'I'll Never Love Again'이라는 곡이교차되는 장면이..참으로 먹먹했던..그런 영화였다..
10,이해 받지 못했던 남자의 슬픔이 북받친다. 이명도 어린시절의 아픔도 결국 가장사랑하는 사람들에게도 이해받지 못함.그는 노래에 자기가 하고싶은 말을 담았고 그걸 처절하게 남들에게 이해받기 위해 불렀던것. 마지막 곡 역시 아내에게 하고 싶었던 말이겠지.
10,코 이쁘기만 한데...
9,한명의 스타가 탄생하는동시에 또하나의 별은 진다
10,영화가 끝나지 않길 바랬다...
10,나 이런거 살아생전 처음 써보는데두번봐라레이디가가에 음색에 감탄할것이고브랜들리쿠퍼 연출력 뭐냐도대체 가수냐 감독이냐신이 쿠퍼에게 두개의능력을 다 줬다불공평하다 ㅋㅋㅋㅋ
10,"첫 감독작, 첫 주연작임에도 불구하고 연기가 대단함 OST도 아카데미 주제가상감임 최고입니다"
10,마지막 미쳤다 라라랜드가 소프트하다면 스타이즈본은 와일드하다
10,연출/음악가로서의 브레들리쿠퍼와 배우 레이디가가. 제목 그대로 스타이즈본.
10,남잔데 보는 내내 울었습니다 하아
10,레즈 ㄱ.ㅅ.ㄲ  ...ㅠ
10,여자 배우 연기 겁나 잘한다 했는데 나중에 보니 레이디가가.... 소름이 너무 돋았다 처음 전개가 너무 빠르다 생각했는데 뒤로 갈수록 현대에서 남자 여자 사이에 느끼는 감정을 똑같이 담아냈다 뻔한 스토리가 아닌게 신의한수라 생각함
8,내 단점이 가장 예쁘다고 말해주는 사람과의 사랑을 꿈꾸게 되는 영화
10,"""한 번 더 보고 싶어서."""
10,오랜만에 보는 음악 멜로 영화ㅠㅠㅠ 좋아용ㅠㅠ
10,진짜 안본사람 눈 안본사람 기억 삽니다....너무 좋아서 제 모든 기억을 잃고 다시 보고싶네요
10,알수없는 눈물들의 연속
10,레이디가가 귀호강 제대로 시켜주네요음악 영화 중 최고입니다
10,처음에는 재미없을것 같은데 진짜로 재미있었어요 강추합니다
10,잭은 가수였고 가수가 되고싶다던 앨리를 가수로 만들어 주었고 정작앨리는 가수보다 스타가 되고 싶었던게 아니었는지...잭은 그런 앨리를 바라보며 얼마나 외로웠을까
8,와...형 후진할때 충혈된눈 나만 엄청 인상적으로 봤던게아니구나 공감이 저리많다니. 역시 사람 다 비슷하군요.. 연출 최고였습니다.
10,"영화 초반까지 가가의 스토리가 마음을 울렸다면, 영화 중반이후부터 브래들리 쿠퍼의 눈빛, 스토리가 마음을 울린다. 사랑하지만 너무 사랑해서 자신의 상처를 모두 꺼내보일 수 없었던..."
9,마지막 I'll Never Love Again을 부르는 장면은 역대급.
10,어메이징 그자체입니다...두 주연 배우 모두 대단해요가을에 감성영화 보고 싶다면 스타 이즈 본!
10,"라라랜드보다 격정적이고, 위대한 쇼맨보다 진정성 있다. 격정적이고 진정성 있다 못해 후반부에 가서는 모질도록 슬픈게 단점이라면 단점."
10,얕은 곳 둘이서 함께 부르는 장면에서는 옴 몸에 소름이 쫙! 가가는 진짜 못하는게 뭐지.. 보는 동안 가가 노래실력에 감탄하면서 봤습니다 후반에는 눈물 다 쏟아버렸어요ㅠㅠㅠ
9,브래들리 쿠퍼가 이정도라니..
10,음악영화는 비긴어게인과 원스룰 이길영화는 없다고 생각했는데 레이디가가가 다 발라버리네
10,"연기 노래 스토리 어느 하나 빠지지 않은 수작. 브래들리 쿠퍼의 첫 감독작, 첫 노래 연기, 레이디가가의 첫 주연작이란게 안 믿기는 영화. 서로 서로의 본업이 아닌 작업을 했는데도 아쉬움이 느껴지지 않는다."
9,"가가의 연기, 처음이라 너무 놀랐고 앞으로가 너무나 기다려진다. 제일 압도되었던 건 브래들리 연기. 여태까지 알아왔던 브래들리 쿠퍼를 더 뛰어 넘어갔다. 누구의 평가를 받을 레벨에서 벗어난 경지에 오른 것 같다."
10,음악영화 좋아하면 무조건 보시길
10,감동적이고 여운이 남는다
10,감동의영화너무행복했어요
10,마지막 장면 보고 오열하느라 엔딩크레딧을 놓친 1인 ㅠㅠ꼭 다시 보고 싶은 영화
10,원래 평점 잘 안 다는데 진짜 최고에요
10,마지막 장면 보면서 감정이 마구 북받쳐 오름을 느꼈어요! 상업영화처럼 가볍지 않으면서 예술영화처럼 어렵진 않았어요. 전세대를 아우를 마스터피스라는 말에 공감했고요! 오늘 스크린에서 본 앨리는 가가 그 자체였네요. 행복했습니다! + 작사 작곡 가가!!
10,현실적이라 더 와닿았어요 좋은 영화 잘 보고 왔습니다
10,"한남자의  사랑에대한 불안, 우울증,죽음에대한 내면을 조용하고 선명하게 가사라는 도구로표현 한영화. 비슷한 경험을하지 않았다면 공감하기힘들고 단순한 음악심파영화."
10,너무너무너무 좋아요..인생영화ㅠㅠ
10,진짜 모든게 완벽하지만 그중에 OST.. 노래에 빨려들어가는줄 알았다... 꼭 한번더 봐야겠다..
10,저녁때 보시길 추천드립니다.. 가가 콘서트 실황 영상 보는 느낌으로 가가의 노래가 모든것을 압도하고 연기도 진짜 잘합니다 연출 데뷔작이란게 놀랍습니다. 귀가 호강했고 마음가운데 울림이 있는 대사가 몇개 있었어요 장면장면이 기억에 남을 영화 ..!
10,그냥 보시면 됩니다...
10,영화가 아무리 재미있었어도 한번도 댓글 단적없었는데 이건 달아야겠다 유명해져야해.꼭보세요 여러분 보는내내 감동적이고 눈물나고 그리고 꼭 영화관에서 보셔야하는게 큰화면에서 사운드 빵빵한곳에서 봐야함요 기타줄 튀길때마다 드럼한번칠때마다 심금을 울림
10,mx관에서  봐야  음악만으로  표값한다
10,진짜 말이 필요읎다 제발 그냥 보세요.영화를 본사람이면 내마음을 잘알것
10,끝나고 펑펑 울 시간만 좀 줬으면 너무 좋았을텐데 ㅜㅜㅜ 울다가 뚝 하고 집에 가서 마저 울었어요
10,브래들리 쿠퍼와 레이디 가가 그들이 가진 재능에 끝이 있을까.
10,"그의 선택은 그의 아버지가 마신 술로부터 빚어졌다. ""그건 너의 잘못이 아니다"""
10,여자친구랑 보러갔는데 보면서 자길래 슬펐습니다공감을 못해줘서
10,마지막에 울었습니다남자의 사랑이란
9,잭슨 생각하면 지금도 가슴이 먹먹ㅠ
10,형이 후진하면서 눈시울 빨개졌을때 입을 주먹으로 막고 울었음 와 ost들으니 다시보고싶네. . . ㅠ
10,불협화음 투성이인 남자는 그녀가 있어야만 화음이 된다...  절대로 잊혀지지 않을 엔딩장면..
10,마지막에 오열했습니다. 시사회로 보고왔는데 기대를 뛰어넘는 작품입니다.. 보고 난 후에 집에 와서 하루종일 ost 돌려듣게 될 겁니다 진짜로
10,레이디 가가 내한 언제에요?
10,영화 정말 자주보는데.. 와 이 영화 인생영화 중 하나로 꼽을것 같아요.. 진짜 좋았어요 너무 좋았어요ㅜㅜ 마지막에 눈물나고.. 다시 한 번 보러 갈 생각이에요! 레이디가가 정말 목소리 너무너무너무 좋고 연기 잘하네요.. 신이 내린 목소리 가창력..
