score,reple
10,졸라 잼있음 한번 보세요
10,스파이더맨 대신 이거 보길 잘했다 생각 드실겁니다 ㅎ 아날로그 사랑에 빠지게하는  영화
9,내용도 재밌고 넘버도 좋네요. 무엇보다 달달해서 좋았어요
10,음악과 연기에 너무 반해버렸네요! 강추강추!^^
8,"로맨틱하고 달콤한 러브스토리, 재미있게 보았습니다."
10,정말 강추에요 꼭 보세요
8,공연장에 있는듯해 박수 찰 뻔 했어요.. 너무유쾌하고 재밌어요.. 그리고 크리스마스 되기전에 가까운곳 에서 인연을 찾아봐야 겠어요.. 사랑하고 싶은 영화였어요~~^^
7,초반부는 조금 지루할 수 있는데 뒤로 갈수록 재밌어집니다.가벼운 뮤지컬 한편 본 기분입니다.음악은 오케스트라가 뮤지컬을 할 때 즉석에서 연주를 해서그런지 정말 좋았습니다. 그렇지만 원작을 스크린에 담아내는건 조금 한계가 있었던 것 같습니다.
10,재밌게 봤어요ㅋㅋㅋ 추천
10,다운받아 보았지만 정말 최고다
10,여기서 보는 것도 웅장한데 직접가서보는건 어떨까
10,늦었지만 정말 재미있었음 . 직접 보지 못한게 아쉬울 정도
10,재밌어요!!!!꼭보세요
10,노래가 너무 좋아요~ 굳~~
9,재밌게 잘봤어요. 뮤지컬을 보는 느낌이 진짜 색달랐어요.
10,진짜 사랑스러운영화였어영
8,"여주의 연기도 좋고, 기대 보다는 재미있었지만, 넘버가 좀 약한듯"
9,아주 재밌었어요  롯데시네마 월드타워도  시설 굳굳 !
10,무대장치가 너무 아기자기하고 예뻐요!
10,재밌어요 유쾌하고 사랑스럽고  노래는 중독성있습니다ㅎ
10,첨엔 무대 위에서의 공연이라 어떨까 했는데스토리 연기 와. 너무나 멋진 뮤지컬입니다.옛스럽긴 하지만 2 시간 시간 가는줄 모르고 엄청 잘 봤습니다
10,좋은 시간이었습니다  앞으로 좋은 뮤지컬 마니마니 상영해주세요
9,재미있게 잘 보았습니다. 역시 노래는 전달력이 강함을 느낌
8,뮤지컬을 영화스크린으로 관람해도 유쾌하고 흥미롭네요 ! ^^
10,정말 추천 드려요..  브로드웨이 뮤지컬 경험 특별했어요... 보시면 후회하지 않아요..
10,완전 꿀잼~~브로드웨이 뮤지컬?식당주인 ㅋ
9,부산촌놈 브로드웨이 구경하다
10,
10,볼거리도 풍성하고 넘버들도 참 좋네요! 뮤지컬 보러 가고 싶어요~
7,익살스럽고 사랑스럽다ㅋㅋ 그리고 생각지못한 반가운 얼굴들을 봐서 더 좋은ㅋㅋ
10,천연덕스러운 연기 너무 웃겨요ㅋㅋ 첫 넘버랑 크리스마스 기간에 정신없이 물건파는 넘버가 제일 좋았어요! 인형의 집처럼 건물이 열리고 닫히면서 배경이 되는 것도 흥미롭네요. 암전이 많긴 하지만 사랑스러운 극 잘 보았습니다
10,시간가는 줄 모르고 봤다
10,너무 재밌어요ㅜㅜ 꼭 보세요!
10,오랫만에 벅찬 감동의 향연이었습니다.
8,관람나이가 전령층이라 7세 둘째도 데리고 갔는데 ㅜㅜ힘들어하더군요
2,기대하고 보다가 너무 지루해서 한시간만에 나옴. 너무 올드 스타일 뮤지컬. 작위적인 설정.
